,MVT_GT_Albuquerque-Santa Fe NM
2017-01-01,24.0
2017-01-15,31.0
2017-01-22,23.0
2017-01-29,19.0
2017-02-05,22.0
2017-04-30,25.0
2017-05-21,40.0
2017-07-02,65.0
2017-07-16,23.0
2017-07-30,62.0
2017-08-20,31.0
2017-09-17,22.0
2017-09-24,42.0
2017-10-01,35.0
2017-10-15,28.0
2017-10-22,22.0
2017-11-12,31.0
2017-12-10,30.0
2018-01-28,23.0
2018-02-25,40.0
2018-03-11,74.0
2018-03-18,21.0
2018-04-08,35.0
2018-04-15,32.0
2018-04-22,100.0
2018-05-06,26.0
2018-05-13,17.0
2018-05-27,71.0
2018-06-03,16.0
2018-07-01,48.0
2018-07-08,31.0
2018-07-15,26.0
2018-07-22,19.0
2018-08-12,42.0
2018-10-07,28.0
2018-10-28,26.0
2018-11-11,43.0
2018-11-18,24.0
2018-12-09,45.0
2018-12-30,44.0
2019-01-06,23.0
2019-02-03,28.0
2019-02-24,18.0
2019-03-17,67.0
2019-05-05,33.0
2019-05-26,56.0
2019-06-16,49.0
2019-07-07,43.0
2019-07-28,25.0
2019-08-25,70.0
2019-09-01,22.0
2019-09-22,20.0
2019-09-29,19.0
2019-10-13,16.0
2019-11-17,81.0
2019-12-15,19.0
2020-01-26,38.0
2020-03-15,47.0
2020-03-29,30.0
2020-04-05,14.0
2020-05-10,21.0
2020-05-17,14.0
2020-06-14,29.0
2020-06-21,32.0
2020-08-09,15.0
2020-08-30,20.0
2020-09-20,16.0
2020-09-27,20.0
2020-10-25,27.0
2020-11-15,23.0
2020-12-06,54.0
2021-01-10,44.0
2021-01-17,19.0
2021-01-24,16.0
2021-02-28,40.0
2021-03-28,18.0
2021-04-11,56.0
2021-06-06,54.0
2021-06-13,22.0
2021-06-20,16.0
2021-07-11,24.0
2021-08-01,40.0
2021-08-22,18.0
2021-08-29,23.0
2021-10-17,41.0
2021-11-28,26.0
2021-12-12,27.0
2021-12-19,44.0
2022-01-09,40.0
2022-01-23,23.0
2022-02-06,19.0
2022-02-13,38.0
2022-02-20,31.0
2022-02-27,21.0
2022-03-06,27.0
2022-03-13,26.0
2022-03-20,21.0
2022-04-03,24.0
2022-04-10,12.0
2022-04-17,19.0
2022-05-22,96.0
2022-06-12,24.0
2022-06-26,51.0
2022-07-17,32.0
2022-08-14,16.0
2022-09-11,27.0
2022-10-02,32.0
2022-10-23,18.0
2022-11-13,17.0
2022-11-20,49.0
2022-12-04,22.0
2022-12-18,37.0
