date,Albuquerque-Santa Fe NM
2017-01-01,25.6
2017-01-08,25.0
2017-01-22,76.0
2017-01-29,41.0
2017-02-05,34.0
2017-02-12,65.25
2017-02-19,62.0
2017-02-26,22.0
2017-03-12,41.667
2017-03-26,23.0
2017-04-09,40.667
2017-04-23,26.0
2017-04-30,68.0
2017-05-14,39.0
2017-05-21,44.2
2017-06-11,61.4
2017-06-18,100.0
2017-06-25,23.0
2017-07-02,51.375
2017-07-16,20.0
2017-07-30,53.0
2017-08-06,38.2
2017-08-20,49.8
2017-08-27,40.125
2017-09-03,16.0
2017-09-17,55.0
2017-09-24,60.5
2017-10-01,29.667
2017-10-15,25.667
2017-10-22,91.0
2017-10-29,24.0
2017-11-05,43.0
2017-11-12,45.0
2017-11-19,46.5
2017-12-24,33.0
2017-12-31,20.5
2018-01-14,27.979
2018-01-28,20.782
2018-02-04,27.828
2018-02-11,25.816
2018-02-25,32.394
2018-03-11,27.925
2018-04-01,32.852
2018-04-08,27.967
2018-04-22,36.971
2018-04-29,29.802
2018-05-06,22.426
2018-05-13,29.671
2018-05-20,31.865
2018-06-03,27.239
2018-06-10,20.796
2018-06-24,24.846
2018-07-01,38.32
2018-07-08,26.816
2018-07-15,17.124
2018-07-22,25.874
2018-07-29,24.154
2018-08-05,11.882
2018-08-12,48.429
2018-08-19,32.693
2018-08-26,39.071
2018-09-02,35.059
2018-09-16,21.199
2018-09-23,52.595
2018-09-30,21.661
2018-10-07,22.668
2018-10-21,25.376
2018-10-28,44.79
2018-11-04,52.227
2018-11-11,28.203
2018-11-18,36.916
2018-11-25,22.416
2018-12-02,35.471
2018-12-09,33.513
2018-12-16,32.0
2018-12-23,23.0
2018-12-30,27.208
2019-01-06,60.114
2019-01-13,24.841
2019-01-27,34.0
2019-02-03,25.6
2019-02-10,27.06
2019-02-24,26.675
2019-03-03,26.909
2019-03-10,64.585
2019-03-17,34.0
2019-03-24,17.277
2019-04-07,24.98
2019-04-14,45.257
2019-04-21,29.484
2019-04-28,34.641
2019-05-05,23.417
2019-05-19,31.459
2019-06-16,18.867
2019-06-23,13.131
2019-06-30,40.061
2019-07-07,16.576
2019-07-14,42.953
2019-07-21,18.017
2019-07-28,37.993
2019-08-04,68.264
2019-08-11,26.929
2019-08-18,31.086
2019-08-25,27.72
2019-09-01,26.575
2019-09-08,28.796
2019-09-15,21.0
2019-09-22,20.115
2019-09-29,21.107
2019-10-06,37.597
2019-10-13,41.767
2019-10-20,19.195
2019-10-27,26.0
2019-11-03,23.098
2019-11-10,28.0
2019-11-17,38.245
2019-11-24,22.049
2019-12-01,29.438
2019-12-08,28.569
2019-12-15,28.065
2019-12-22,20.018
2019-12-29,31.016
2020-01-05,41.682
2020-01-12,48.0
2020-01-19,9.772
2020-01-26,41.409
2020-02-02,26.909
2020-02-09,43.378
2020-02-16,27.328
2020-02-23,9.967
2020-03-08,20.509
2020-03-22,62.225
2020-04-12,14.186
2020-04-19,16.191
2020-05-03,74.08
2020-05-17,24.632
2020-05-24,16.263
2020-05-31,23.775
2020-06-14,19.556
2020-06-21,20.114
2020-06-28,16.039
2020-07-05,45.441
2020-07-12,29.071
2020-07-19,31.912
2020-07-26,24.0
2020-08-02,16.338
2020-08-09,19.807
2020-08-16,33.462
2020-08-23,16.059
2020-08-30,19.182
2020-09-06,24.044
2020-09-13,28.562
2020-09-20,31.41
2020-09-27,28.151
2020-10-04,36.391
2020-10-11,44.257
2020-10-18,17.861
2020-10-25,38.162
2020-11-15,13.131
2020-11-22,28.456
2020-11-29,11.838
2020-12-06,54.705
2020-12-13,38.86
2020-12-27,30.666
2021-01-03,20.474
2021-01-24,36.893
2021-01-31,39.141
2021-02-07,37.588
2021-02-14,31.304
2021-02-21,23.0
2021-02-28,30.224
2021-03-07,29.889
2021-03-14,24.515
2021-03-21,22.944
2021-03-28,43.177
2021-04-04,43.424
2021-04-11,44.0
2021-04-18,25.987
2021-04-25,21.335
2021-05-02,23.889
2021-05-09,40.741
2021-05-16,25.874
2021-05-30,22.271
2021-06-06,41.223
2021-06-13,20.763
2021-06-20,24.463
2021-07-04,26.909
2021-07-11,50.149
2021-07-18,32.058
2021-07-25,51.62
2021-08-01,18.017
2021-08-15,39.991
2021-08-22,50.0
2021-08-29,24.804
2021-09-05,33.025
2021-09-12,21.0
2021-09-19,20.127
2021-09-26,17.253
2021-10-03,45.341
2021-10-10,68.847
2021-10-17,54.07
2021-10-31,46.416
2021-11-07,22.0
2021-11-14,45.336
2021-11-21,29.653
2021-11-28,39.127
2021-12-05,40.073
2021-12-12,40.978
2021-12-19,48.528
2021-12-26,34.361
2022-01-02,49.049
2022-01-16,56.0
2022-01-23,38.482
2022-01-30,11.064
2022-02-06,40.523
2022-02-13,20.116
2022-02-20,31.008
2022-02-27,24.463
2022-03-06,24.0
2022-03-13,26.0
2022-03-20,31.294
2022-04-03,21.64
2022-04-10,19.836
2022-04-17,20.817
2022-04-24,16.888
2022-05-01,21.589
2022-05-08,33.025
2022-05-15,32.384
2022-05-22,34.606
2022-05-29,25.906
2022-06-05,26.248
2022-06-12,36.256
2022-06-19,19.58
2022-06-26,34.542
2022-07-03,24.221
2022-07-10,30.135
2022-07-17,16.266
2022-07-31,25.798
2022-08-07,23.446
2022-08-14,23.696
2022-08-21,22.128
2022-08-28,34.678
2022-09-04,69.261
2022-09-11,21.439
2022-10-02,48.306
2022-10-09,19.43
2022-10-16,24.827
2022-10-30,18.957
2022-11-06,32.934
2022-11-13,22.487
2022-11-27,25.882
2022-12-04,10.308
2022-12-11,24.088
2022-12-18,24.672
