,MVT_GT_Atlanta GA
2017-01-01,37.0
2017-01-08,38.0
2017-01-15,17.0
2017-01-22,46.0
2017-01-29,26.0
2017-02-05,33.0
2017-02-19,20.0
2017-02-26,14.0
2017-03-05,15.0
2017-03-26,10.0
2017-04-02,18.0
2017-04-09,11.0
2017-04-16,24.0
2017-04-23,9.0
2017-04-30,34.0
2017-05-07,20.0
2017-05-14,28.0
2017-05-21,51.0
2017-06-04,31.0
2017-06-11,74.0
2017-06-18,32.0
2017-06-25,15.0
2017-07-02,39.0
2017-07-09,33.0
2017-07-16,56.0
2017-07-23,43.0
2017-07-30,15.0
2017-08-06,29.0
2017-08-13,22.0
2017-08-20,44.0
2017-08-27,71.0
2017-09-03,26.0
2017-09-10,18.0
2017-09-17,16.0
2017-10-01,25.0
2017-10-08,13.0
2017-10-15,17.0
2017-10-22,30.0
2017-10-29,10.0
2017-11-05,43.0
2017-11-12,62.0
2017-11-19,35.0
2017-11-26,17.0
2017-12-17,16.0
2017-12-24,27.0
2017-12-31,18.0
2018-01-07,39.0
2018-01-14,38.0
2018-01-21,32.0
2018-01-28,29.0
2018-02-04,28.0
2018-02-11,33.0
2018-02-18,27.0
2018-02-25,13.0
2018-03-04,13.0
2018-03-11,29.0
2018-03-18,12.0
2018-03-25,39.0
2018-04-01,25.0
2018-04-08,42.0
2018-04-15,30.0
2018-04-22,27.0
2018-04-29,31.0
2018-05-06,31.0
2018-05-27,15.0
2018-06-03,18.0
2018-06-10,14.0
2018-06-17,14.0
2018-06-24,10.0
2018-07-01,31.0
2018-07-08,26.0
2018-07-15,43.0
2018-07-22,13.0
2018-07-29,56.0
2018-08-05,20.0
2018-08-12,31.0
2018-08-19,38.0
2018-08-26,36.0
2018-09-02,22.0
2018-09-09,16.0
2018-09-16,44.0
2018-09-23,59.0
2018-09-30,26.0
2018-10-07,45.0
2018-10-14,38.0
2018-10-21,26.0
2018-10-28,19.0
2018-11-04,15.0
2018-11-11,32.0
2018-11-18,18.0
2018-11-25,30.0
2018-12-02,26.0
2018-12-09,39.0
2018-12-16,17.0
2018-12-23,31.0
2018-12-30,46.0
2019-01-06,37.0
2019-01-13,35.0
2019-01-20,32.0
2019-02-03,47.0
2019-02-17,45.0
2019-03-03,36.0
2019-03-17,27.0
2019-04-14,16.0
2019-04-21,21.0
2019-04-28,28.0
2019-05-05,53.0
2019-05-12,27.0
2019-05-19,31.0
2019-05-26,24.0
2019-06-02,24.0
2019-06-09,27.0
2019-06-16,31.0
2019-06-23,16.0
2019-06-30,40.0
2019-07-07,19.0
2019-07-14,23.0
2019-07-21,26.0
2019-07-28,34.0
2019-08-04,23.0
2019-08-11,21.0
2019-08-18,40.0
2019-08-25,28.0
2019-09-01,46.0
2019-09-08,22.0
2019-09-15,45.0
2019-09-22,14.0
2019-09-29,23.0
2019-10-06,10.0
2019-10-13,23.0
2019-10-20,22.0
2019-11-03,28.0
2019-11-10,11.0
2019-11-17,29.0
2019-11-24,12.0
2019-12-01,59.0
2019-12-08,25.0
2019-12-15,10.0
2019-12-22,22.0
2019-12-29,31.0
2020-01-05,33.0
2020-01-12,22.0
2020-01-26,22.0
2020-02-09,55.0
2020-02-16,37.0
2020-02-23,34.0
2020-03-08,23.0
2020-03-22,14.0
2020-04-05,17.0
2020-04-12,9.0
2020-04-19,17.0
2020-04-26,29.0
2020-05-03,31.0
2020-05-10,19.0
2020-05-17,21.0
2020-05-24,9.0
2020-05-31,27.0
2020-06-07,17.0
2020-06-14,23.0
2020-06-21,23.0
2020-06-28,28.0
2020-07-05,30.0
2020-07-12,14.0
2020-07-19,19.0
2020-07-26,20.0
2020-08-02,33.0
2020-08-09,37.0
2020-08-16,27.0
2020-08-23,32.0
2020-08-30,34.0
2020-09-06,30.0
2020-09-13,27.0
2020-09-20,28.0
2020-09-27,35.0
2020-10-04,15.0
2020-10-11,16.0
2020-11-01,11.0
2020-11-08,16.0
2020-11-15,24.0
2020-11-22,19.0
2020-11-29,23.0
2020-12-06,53.0
2020-12-13,48.0
2020-12-20,10.0
2020-12-27,35.0
2021-01-03,32.0
2021-01-10,34.0
2021-01-17,27.0
2021-01-24,36.0
2021-01-31,17.0
2021-02-07,30.0
2021-02-14,25.0
2021-02-21,11.0
2021-03-14,44.0
2021-03-21,23.0
2021-03-28,21.0
2021-04-04,35.0
2021-04-25,14.0
2021-05-02,26.0
2021-05-09,41.0
2021-05-16,10.0
2021-05-23,100.0
2021-06-06,32.0
2021-06-13,21.0
2021-06-20,14.0
2021-07-11,40.0
2021-07-18,48.0
2021-07-25,28.0
2021-08-01,37.0
2021-08-15,21.0
2021-08-29,40.0
2021-09-05,35.0
2021-09-12,48.0
2021-09-19,26.0
2021-09-26,12.0
2021-10-10,23.0
2021-10-17,25.0
2021-10-24,13.0
2021-11-07,38.0
2021-11-14,13.0
2021-11-21,32.0
2021-11-28,22.0
2021-12-05,24.0
2021-12-12,48.0
2021-12-19,31.0
2021-12-26,17.0
2022-01-02,35.0
2022-01-09,14.0
2022-01-16,24.0
2022-01-23,12.0
2022-01-30,36.0
2022-02-06,46.0
2022-02-13,24.0
2022-02-20,21.0
2022-03-06,16.0
2022-03-13,20.0
2022-03-20,18.0
2022-03-27,39.0
2022-04-03,17.0
2022-04-10,26.0
2022-04-17,11.0
2022-04-24,49.0
2022-05-08,18.0
2022-05-15,29.0
2022-05-22,21.0
2022-05-29,30.0
2022-06-12,21.0
