date,Atlanta GA
2017-01-01,48.034
2017-01-08,42.222
2017-01-15,19.145
2017-01-22,42.735
2017-01-29,40.342
2017-02-05,49.06
2017-02-19,15.385
2017-02-26,14.188
2017-03-05,15.385
2017-03-12,18.462
2017-03-19,23.59
2017-03-26,10.256
2017-04-02,35.214
2017-04-09,11.282
2017-04-16,17.778
2017-04-23,22.051
2017-04-30,26.154
2017-05-07,29.06
2017-05-14,35.214
2017-05-21,58.462
2017-05-28,17.231
2017-06-04,47.179
2017-06-11,59.658
2017-06-18,34.53
2017-06-25,30.769
2017-07-02,34.017
2017-07-09,54.359
2017-07-16,32.308
2017-07-23,54.359
2017-07-30,24.274
2017-08-06,20.513
2017-08-13,26.667
2017-08-20,51.795
2017-08-27,61.197
2017-09-03,35.214
2017-09-10,18.462
2017-09-17,23.077
2017-10-01,23.077
2017-10-08,17.607
2017-10-15,16.667
2017-10-22,46.154
2017-10-29,20.513
2017-11-05,60.171
2017-11-12,43.932
2017-11-19,38.291
2017-11-26,23.419
2017-12-03,22.564
2017-12-10,26.667
2017-12-17,19.829
2017-12-24,37.949
2017-12-31,28.718
2018-01-07,51.111
2018-01-14,51.795
2018-01-21,39.658
2018-01-28,28.718
2018-02-04,27.009
2018-02-11,44.786
2018-02-18,31.111
2018-02-25,20.171
2018-03-04,34.53
2018-03-11,30.598
2018-03-18,16.581
2018-03-25,32.308
2018-04-01,31.624
2018-04-08,47.35
2018-04-15,45.128
2018-04-22,18.291
2018-04-29,32.65
2018-05-06,23.932
2018-05-13,21.333
2018-05-20,30.154
2018-05-27,15.385
2018-06-03,63.761
2018-06-10,28.376
2018-06-17,19.487
2018-06-24,10.256
2018-07-01,42.735
2018-07-08,24.274
2018-07-15,55.043
2018-07-22,25.299
2018-07-29,41.197
2018-08-05,34.872
2018-08-12,27.521
2018-08-19,40.513
2018-08-26,29.231
2018-09-02,32.479
2018-09-09,21.538
2018-09-16,79.145
2018-09-23,36.068
2018-09-30,25.812
2018-10-07,67.009
2018-10-14,29.573
2018-10-21,29.231
2018-10-28,19.487
2018-11-04,19.658
2018-11-11,30.256
2018-11-18,16.752
2018-11-25,43.59
2018-12-02,44.615
2018-12-09,21.197
2018-12-16,15.726
2018-12-23,31.795
2018-12-30,50.598
2019-01-06,42.906
2019-01-13,28.205
2019-01-20,44.786
2019-02-03,55.043
2019-02-10,34.872
2019-02-17,48.034
2019-02-24,76.923
2019-03-03,62.393
2019-03-17,21.709
2019-04-14,16.41
2019-04-21,16.41
2019-04-28,25.299
2019-05-05,67.863
2019-05-12,27.692
2019-05-19,35.214
2019-05-26,22.906
2019-06-02,35.556
2019-06-09,20.0
2019-06-16,21.709
2019-06-23,19.829
2019-06-30,53.846
2019-07-07,45.812
2019-07-14,32.137
2019-07-21,37.607
2019-07-28,16.923
2019-08-04,32.991
2019-08-11,12.991
2019-08-18,30.94
2019-08-25,35.556
2019-09-01,32.65
2019-09-08,42.051
2019-09-15,31.624
2019-09-22,18.632
2019-09-29,28.718
2019-10-06,15.385
2019-10-13,23.59
2019-10-20,20.855
2019-10-27,27.692
2019-11-03,38.632
2019-11-10,26.667
2019-11-17,51.111
2019-11-24,12.308
2019-12-01,56.923
2019-12-08,89.744
2019-12-15,35.043
2019-12-22,36.068
2019-12-29,31.795
2020-01-05,30.427
2020-01-12,22.564
2020-01-19,26.462
2020-01-26,23.419
2020-02-02,20.308
2020-02-09,38.462
2020-02-16,43.761
2020-02-23,38.12
2020-03-01,35.897
2020-03-08,30.427
2020-03-22,44.103
2020-03-29,16.41
2020-04-05,32.821
2020-04-12,27.35
2020-04-19,18.974
2020-04-26,29.744
2020-05-03,24.957
2020-05-10,25.47
2020-05-17,24.103
2020-05-24,9.231
2020-05-31,14.017
2020-06-07,17.436
2020-06-14,25.299
2020-06-21,33.846
2020-06-28,34.872
2020-07-05,39.316
2020-07-12,14.359
2020-07-19,27.009
2020-07-26,28.376
2020-08-02,34.53
2020-08-09,37.094
2020-08-16,23.932
2020-08-23,36.068
2020-08-30,26.325
2020-09-06,24.786
2020-09-13,34.53
2020-09-20,27.009
2020-09-27,36.581
2020-10-04,24.786
2020-10-11,23.248
2020-10-18,26.872
2020-10-25,30.564
2020-11-01,36.923
2020-11-08,22.393
2020-11-15,18.632
2020-11-22,19.487
2020-11-29,22.564
2020-12-06,41.538
2020-12-13,43.248
2020-12-20,34.188
2020-12-27,49.573
2021-01-03,45.641
2021-01-10,28.889
2021-01-17,27.692
2021-01-24,40.171
2021-01-31,35.556
2021-02-07,23.077
2021-02-14,25.641
2021-02-21,11.282
2021-02-28,27.692
2021-03-07,14.359
2021-03-14,32.308
2021-03-21,22.735
2021-03-28,22.393
2021-04-04,55.556
2021-04-11,29.538
2021-04-18,19.487
2021-04-25,54.53
2021-05-02,35.043
2021-05-09,44.444
2021-05-16,48.376
2021-05-23,100.0
2021-05-30,31.59
2021-06-06,32.65
2021-06-13,20.684
2021-06-20,27.35
2021-06-27,20.513
2021-07-04,29.744
2021-07-11,58.803
2021-07-18,59.316
2021-07-25,32.991
2021-08-01,20.855
2021-08-08,48.205
2021-08-15,36.752
2021-08-22,12.308
2021-08-29,44.444
2021-09-05,37.607
2021-09-12,40.513
2021-09-19,29.915
2021-09-26,30.256
2021-10-03,25.641
2021-10-10,23.59
2021-10-17,28.034
2021-10-24,13.333
2021-10-31,16.41
2021-11-07,41.88
2021-11-14,13.333
2021-11-21,30.598
2021-11-28,38.632
2021-12-05,22.906
2021-12-12,50.085
2021-12-19,34.872
2021-12-26,17.436
2022-01-02,32.479
2022-01-09,14.359
2022-01-16,44.103
2022-01-23,18.291
2022-01-30,28.376
2022-02-06,36.752
2022-02-13,16.923
2022-02-20,26.667
2022-03-06,35.897
2022-03-13,35.897
2022-03-20,18.462
2022-03-27,25.299
2022-04-03,22.051
2022-04-10,33.333
2022-04-17,11.282
2022-04-24,37.436
2022-05-01,44.923
2022-05-08,24.444
2022-05-15,70.769
2022-05-22,46.325
2022-05-29,31.453
2022-06-12,48.034
2022-06-19,54.872
2022-06-26,20.513
2022-07-03,36.068
2022-07-10,48.205
2022-07-17,25.641
2022-07-24,63.077
2022-07-31,13.333
2022-08-07,39.145
2022-08-14,38.974
2022-08-21,28.034
2022-08-28,29.744
2022-09-04,51.795
2022-09-11,30.427
2022-09-18,40.855
2022-09-25,25.641
2022-10-02,18.462
2022-10-09,24.615
2022-10-16,22.393
2022-10-23,36.581
2022-10-30,26.325
2022-11-06,56.752
2022-11-13,75.043
2022-11-20,31.453
2022-11-27,43.692
2022-12-04,45.641
2022-12-11,44.615
2022-12-18,56.752
2022-12-25,16.068
