date,Austin TX
2017-01-08,32.571
2017-01-15,42.0
2017-01-22,24.0
2017-02-05,23.25
2017-02-12,34.667
2017-02-19,100.0
2017-02-26,19.333
2017-03-05,46.25
2017-03-12,49.333
2017-03-26,44.0
2017-04-09,26.5
2017-04-16,35.667
2017-04-23,25.0
2017-04-30,25.0
2017-05-07,17.333
2017-05-14,35.714
2017-05-21,36.5
2017-05-28,48.8
2017-06-04,40.0
2017-06-11,37.286
2017-06-18,35.0
2017-06-25,36.0
2017-07-09,29.0
2017-07-23,23.2
2017-07-30,50.143
2017-08-13,23.0
2017-08-20,19.0
2017-08-27,32.333
2017-09-03,22.0
2017-09-10,14.333
2017-09-17,59.0
2017-09-24,35.8
2017-10-01,22.667
2017-10-08,22.8
2017-10-15,42.167
2017-10-22,28.6
2017-10-29,27.0
2017-11-05,18.0
2017-11-19,24.667
2017-11-26,39.0
2017-12-03,20.0
2017-12-10,23.25
2017-12-17,33.0
2018-01-07,36.421
2018-01-14,31.637
2018-01-21,22.056
2018-01-28,28.947
2018-02-04,40.035
2018-02-11,29.0
2018-02-25,29.015
2018-03-11,81.95
2018-03-18,60.0
2018-04-01,35.447
2018-04-08,19.412
2018-04-15,17.823
2018-04-22,24.487
2018-04-29,31.53
2018-05-06,28.604
2018-05-13,39.166
2018-05-20,87.983
2018-05-27,36.018
2018-06-03,27.621
2018-06-10,22.0
2018-06-17,24.574
2018-06-24,25.733
2018-07-08,22.864
2018-07-15,37.462
2018-07-22,26.65
2018-07-29,23.167
2018-08-05,40.489
2018-08-12,46.572
2018-08-19,43.0
2018-08-26,18.366
2018-09-02,28.833
2018-09-09,16.19
2018-09-23,24.667
2018-09-30,26.625
2018-10-07,28.836
2018-10-14,23.845
2018-10-21,32.88
2018-10-28,39.829
2018-11-04,23.333
2018-11-11,27.387
2018-11-18,70.972
2018-11-25,23.65
2018-12-02,30.507
2018-12-09,20.0
2018-12-16,35.0
2018-12-23,49.979
2018-12-30,37.887
2019-01-06,28.881
2019-01-13,24.67
2019-01-27,36.534
2019-02-03,35.568
2019-02-10,40.676
2019-02-17,59.0
2019-02-24,22.056
2019-03-03,40.065
2019-03-17,33.789
2019-03-24,38.0
2019-04-07,29.1
2019-04-14,56.641
2019-04-21,38.009
2019-04-28,21.707
2019-05-05,39.819
2019-05-12,43.864
2019-05-19,44.066
2019-05-26,20.689
2019-06-23,55.872
2019-06-30,59.622
2019-07-07,29.352
2019-07-14,45.0
2019-07-21,27.311
2019-07-28,55.935
2019-08-04,30.169
2019-08-11,24.725
2019-08-18,28.248
2019-08-25,26.104
2019-09-01,33.448
2019-09-08,14.689
2019-09-29,19.708
2019-10-06,20.0
2019-10-20,26.673
2019-10-27,15.0
2019-11-24,22.308
2019-12-08,38.021
2019-12-22,22.056
2020-01-05,34.899
2020-01-12,23.46
2020-01-19,39.464
2020-01-26,34.869
2020-02-02,87.285
2020-02-09,16.0
2020-02-16,26.756
2020-02-23,20.823
2020-03-08,27.118
2020-03-22,18.693
2020-03-29,19.828
2020-04-05,24.969
2020-04-12,58.429
2020-04-19,17.155
2020-04-26,32.88
2020-05-03,20.836
2020-05-10,16.897
2020-05-17,28.386
2020-05-24,19.684
2020-06-07,25.065
2020-06-14,20.0
2020-06-21,24.787
2020-07-05,13.0
2020-07-12,20.0
2020-07-19,18.742
2020-07-26,23.639
2020-08-02,21.559
2020-08-09,47.0
2020-08-16,22.5
2020-08-23,50.415
