,MVT_GT_Bakersfield CA
2017-02-12,33.0
2017-03-26,41.0
2017-04-02,68.0
2017-04-23,56.0
2017-04-30,27.0
2017-05-14,20.0
2017-06-04,23.0
2017-06-25,21.0
2017-09-17,33.0
2017-10-01,39.0
2017-10-29,25.0
2017-11-12,42.0
2017-12-31,49.0
2018-02-25,23.0
2018-03-04,39.0
2018-04-22,25.0
2018-06-24,55.8541092088545
2018-07-15,30.0
2018-12-09,27.0
2019-01-06,93.0
2019-01-27,18.0
2019-04-28,23.0
2019-06-16,56.512383678536914
2019-06-23,20.7214205640038
2019-07-21,19.0
2019-07-28,33.0
2019-09-29,21.297359570741044
2019-10-20,22.0
2019-12-08,100.0
2020-03-29,13.0
2020-05-03,25.993603543792073
2020-05-10,20.0
2020-06-28,18.145481557266557
2020-07-12,37.0
2020-08-02,17.607512053897935
2020-08-23,25.0
2020-09-06,29.0
2020-09-20,24.0
2020-10-18,20.0
2020-11-08,43.0
2020-11-15,18.0
2020-12-13,21.0
2021-01-03,39.0
2021-01-17,19.0
2021-02-14,20.0
2021-04-18,17.0
2021-04-25,46.15786523580347
2021-05-02,20.0
2021-06-06,45.0
2021-06-13,37.40487162463898
2021-06-27,18.0
2021-07-04,22.797359570741044
2021-07-11,17.0
2021-08-01,18.0
2021-08-29,34.86050566506243
2021-09-19,28.0
2021-10-03,21.68345106063518
2021-11-07,23.0
2021-11-21,27.0
2018-01-07,22.594719141482084
2018-01-21,33.3541092088545
2018-02-04,47.34131629643865
2018-03-25,77.46760848508143
2018-06-03,45.18943828296417
2018-06-17,35.50598722232899
2018-07-08,18.290963114533117
2018-07-29,34.430048215591746
2018-09-16,33.3541092088545
2018-09-30,30.12629218864278
2018-11-25,25.82253616169381
2018-12-02,44.113499276226925
2018-12-23,67.78415742444625
2019-04-21,23.670658148219324
2019-06-02,34.430048215591746
2019-06-30,47.34131629643865
2019-08-04,41.96162126275244
2019-08-11,24.746597154956568
2019-09-01,17.215024107795873
2019-09-22,24.746597154956568
2019-11-03,21.51878013474484
2019-11-17,40.8856822560152
2019-12-22,29.050353181905535
2020-01-19,33.3541092088545
2020-04-19,13.987207087584148
2020-04-26,16.13908510105863
2020-05-17,39.80974324927796
2020-08-09,19.366902121270357
2020-08-16,21.51878013474484
2020-09-27,36.581926229066234
2020-10-11,25.82253616169381
2021-02-21,17.215024107795873
2021-02-28,45.18943828296417
2021-03-14,39.80974324927796
2021-05-30,23.670658148219324
2021-07-25,18.290963114533117
2021-08-08,18.290963114533117
2021-10-17,45.18943828296417
2021-10-31,107.5939006737242
2021-11-28,19.366902121270357
2022-02-20,38.733804242540714
2022-02-27,24.746597154956568
2022-04-03,12.911268080846906
2022-05-01,12.911268080846906
2022-06-12,38.733804242540714
2022-07-10,18.290963114533117
2022-08-07,21.51878013474484
2022-10-30,26.89847516843105
2022-11-13,48.41725530317589
2022-11-20,27.974414175168295
2022-12-11,16.13908510105863
2022-12-25,21.51878013474484
