date,Bakersfield CA
2017-01-22,42.753
2017-01-29,31.136
2017-02-12,34.969
2017-02-19,30.671
2017-03-19,24.165
2017-03-26,41.204
2017-04-02,63.201
2017-04-23,52.048
2017-04-30,24.032
2017-05-14,26.721
2017-05-28,26.024
2017-06-04,23.979
2017-06-25,19.518
2017-07-16,33.459
2017-07-23,21.841
2017-08-06,21.377
2017-09-17,35.504
2017-10-01,27.219
2017-10-29,23.236
2017-11-05,19.518
2017-11-12,39.036
2017-11-19,19.518
2017-12-10,21.996
2017-12-17,30.361
2017-12-24,27.418
2017-12-31,36.779
2018-01-07,28.349
2018-01-21,38.555
2018-02-04,30.712
2018-02-11,17.854
2018-02-18,58.554
2018-02-25,21.377
2018-03-04,32.988
2018-03-18,19.261
2018-03-25,42.279
2018-04-01,34.563
2018-04-08,20.862
2018-04-22,23.236
2018-04-29,26.809
2018-05-06,20.691
2018-05-20,60.957
2018-05-27,22.282
2018-06-03,42.726
2018-06-10,52.914
2018-06-17,25.251
2018-06-24,31.847
2018-07-01,29.254
2018-07-08,17.0
2018-07-15,24.148
2018-07-22,32.138
2018-07-29,31.657
2018-08-05,53.846
2018-08-12,25.094
2018-09-09,17.716
2018-09-16,28.954
2018-09-30,28.0
2018-10-28,38.106
2018-11-18,17.854
2018-11-25,32.398
2018-12-02,33.184
2018-12-09,28.864
2018-12-16,21.425
2018-12-23,87.195
2018-12-30,65.627
2019-01-06,86.436
2019-01-13,31.703
2019-01-27,20.157
2019-02-17,39.28
2019-02-24,25.094
2019-03-03,41.065
2019-03-10,69.103
2019-03-17,19.518
2019-03-24,16.069
2019-03-31,20.447
2019-04-21,19.481
2019-04-28,26.299
2019-05-12,36.602
2019-06-02,32.0
2019-06-16,52.206
2019-06-23,19.432
2019-06-30,47.316
2019-07-07,21.446
2019-07-14,17.659
2019-07-21,25.39
2019-07-28,30.671
2019-08-04,42.496
2019-08-11,31.14
2019-08-18,21.022
2019-08-25,17.387
2019-09-01,20.944
2019-09-15,33.923
2019-09-22,23.0
2019-09-29,18.99
2019-10-20,21.934
2019-11-03,20.0
2019-11-17,38.0
2019-11-24,23.168
2019-12-01,32.795
2019-12-08,92.942
2019-12-15,20.514
2019-12-22,27.0
2019-12-29,16.73
2020-01-12,23.236
2020-01-19,60.136
2020-02-02,66.901
2020-02-16,29.838
2020-02-23,48.836
2020-03-01,17.659
2020-03-08,13.403
2020-03-29,12.638
2020-04-05,18.065
2020-04-12,29.46
2020-04-19,17.999
2020-04-26,21.241
2020-05-03,31.598
2020-05-10,18.588
2020-05-17,35.879
2020-06-14,24.592
2020-06-21,25.094
2020-06-28,16.775
2020-07-12,28.069
2020-07-19,24.109
2020-07-26,18.997
2020-08-02,16.608
2020-08-09,22.11
2020-08-16,24.42
2020-08-23,23.236
2020-09-06,28.602
2020-09-13,36.894
2020-09-20,23.902
2020-09-27,34.0
2020-10-11,46.852
2020-10-18,18.588
2020-10-25,37.646
2020-11-01,43.743
2020-11-08,39.965
2020-11-15,20.447
2020-11-22,27.883
2020-12-13,19.518
2020-12-20,15.852
2021-01-03,36.557
2021-01-17,19.27
2021-01-24,17.854
2021-01-31,43.241
2021-02-07,41.824
2021-02-14,18.588
2021-02-21,16.0
2021-02-28,42.0
2021-03-14,21.61
2021-03-21,25.176
2021-04-04,29.778
2021-04-11,28.322
2021-04-18,18.248
2021-04-25,28.425
2021-05-02,20.447
2021-05-09,16.962
2021-05-16,37.191
2021-05-23,22.306
2021-05-30,22.0
2021-06-06,32.274
2021-06-13,29.968
2021-06-20,21.425
2021-06-27,16.73
2021-07-04,55.681
2021-07-11,23.975
2021-07-18,22.318
2021-07-25,17.0
2021-08-01,16.915
2021-08-08,17.0
2021-08-22,57.812
2021-08-29,22.809
2021-09-12,19.358
2021-09-19,37.998
2021-10-03,26.647
2021-10-17,39.542
2021-10-24,19.896
2021-10-31,100.0
2021-11-07,21.686
2021-11-21,21.255
2021-11-28,19.632
2021-12-12,23.311
2021-12-26,21.425
2022-01-02,34.389
2022-01-09,26.782
2022-01-16,22.318
2022-01-30,22.308
2022-02-06,32.53
2022-02-13,29.062
2022-02-20,24.283
2022-02-27,18.406
2022-03-06,14.284
2022-03-13,15.8
2022-03-20,14.062
2022-04-03,12.0
2022-04-10,19.596
2022-04-17,33.031
2022-04-24,25.622
2022-05-01,13.588
2022-05-08,20.447
2022-05-15,15.882
2022-05-29,27.883
2022-06-05,49.259
2022-06-12,25.417
2022-06-19,26.937
2022-06-26,26.343
2022-07-10,17.0
2022-07-17,20.533
2022-07-24,53.119
2022-07-31,28.243
2022-08-07,29.592
2022-08-21,25.881
2022-08-28,33.459
2022-09-18,13.941
2022-09-25,21.006
2022-10-02,13.012
2022-10-09,23.738
2022-10-16,18.526
2022-10-23,19.518
2022-10-30,25.0
2022-11-06,30.977
2022-11-13,45.0
2022-11-20,25.716
2022-11-27,32.733
2022-12-04,28.723
2022-12-11,24.158
2022-12-18,72.03
2022-12-25,33.657
