,MVT_GT_Baltimore MD
2017-01-15,39.0
2017-01-29,24.0
2017-03-05,21.0
2017-03-12,26.0
2017-03-19,21.0
2017-04-02,52.0
2017-04-09,33.0
2017-04-23,56.0
2017-05-14,21.0
2017-06-04,30.0
2017-06-18,45.0
2017-07-09,46.0
2017-07-16,25.0
2017-07-30,21.0
2017-08-06,36.0
2017-09-10,33.0
2017-09-17,19.0
2017-09-24,67.0
2017-10-01,21.0
2017-10-22,30.0
2017-10-29,34.0
2017-11-19,100.0
2017-11-26,34.0
2017-12-31,40.0
2018-01-21,75.74855832234411
2018-03-11,16.43791303675927
2018-03-25,45.14913499340646
2018-04-22,19.770215095194946
2018-05-27,30.099423328937643
2018-07-08,43.26093362111602
2018-07-22,23.046617839775845
2018-08-05,38.096329504244665
2018-09-30,63.03114871631096
2018-11-04,23.046617839775845
2018-11-25,42.31683293497079
2018-12-02,37.152228818099445
2018-12-09,23.990718525921068
2018-12-16,24.934819212066294
2018-12-23,27.767121270501967
2019-02-10,23.990718525921068
2019-03-03,41.372732248825564
2019-03-31,39.04043019038989
2019-04-14,31.987624701228093
2019-04-28,18.826114409049723
2019-05-12,56.42244391329439
2019-06-23,22.10251715363062
2019-07-07,51.75783979642304
2019-08-25,50.813739110277815
2019-09-01,31.043524015082866
2019-09-08,18.826114409049723
2019-09-22,33.87582607351854
2019-09-29,20.71431578134017
2019-10-20,31.987624701228093
2019-10-27,27.267121270501967
2019-11-03,27.267121270501967
2019-11-17,23.990718525921068
2019-12-01,42.81683293497079
2020-01-12,18.826114409049723
2020-01-19,58.81064528558484
2020-02-02,20.21431578134017
2020-03-22,17.882013722904496
2020-03-29,77.13675969463455
2020-04-12,20.71431578134017
2020-04-19,14.105610978323597
2020-04-26,19.270215095194946
2020-05-10,13.661510292178372
2020-05-17,19.770215095194946
2020-06-14,20.71431578134017
2020-06-21,23.046617839775845
2020-06-28,17.882013722904496
2020-08-09,39.04043019038989
2020-10-18,21.158416467485395
2020-10-25,39.98453087653512
2020-11-01,29.65532264279242
2020-12-06,75.24855832234411
2020-12-13,54.090141854858715
2020-12-20,24.934819212066294
2021-01-03,16.93791303675927
2021-01-10,21.158416467485395
2021-02-07,56.92244391329439
2021-02-14,63.03114871631096
2021-03-07,31.987624701228093
2021-04-04,22.10251715363062
2021-04-18,18.826114409049723
2021-05-02,27.767121270501967
2021-05-09,52.20194048256826
2021-05-16,55.034242541003934
2021-05-23,24.934819212066294
2021-05-30,17.382013722904496
2021-06-13,59.25474597173006
2021-07-11,51.25783979642304
2021-07-18,35.26402744580899
2021-07-25,44.70503430726124
2021-08-01,38.096329504244665
2021-08-15,29.15532264279242
2021-08-22,20.21431578134017
2021-08-29,88.91006861452249
2021-09-12,25.37891989821152
2021-10-03,40.92863156268034
2021-10-31,17.882013722904496
2021-11-07,56.92244391329439
2021-11-21,56.92244391329439
2021-12-05,20.71431578134017
2021-12-26,59.25474597173006
2022-01-09,19.54043019038989
2022-01-23,37.30445763619888
2022-02-06,30.198846657875286
2022-02-13,17.764027445808992
2022-02-20,17.764027445808992
2022-03-06,19.54043019038989
2022-04-03,27.534242541003938
2022-04-10,37.30445763619888
2022-05-01,43.521867242232034
2022-05-08,16.875826073518542
2022-05-22,27.534242541003938
2022-05-29,15.099423328937643
2022-06-19,34.63985351932753
2022-07-03,23.09323567955169
2022-07-24,25.75783979642304
2022-07-31,33.751652147037085
2022-08-28,18.65222881809944
2022-09-25,21.31683293497079
2022-10-09,22.20503430726124
2022-10-30,38.19265900848933
2022-11-06,46.18647135910338
2022-11-13,22.20503430726124
2022-11-20,15.099423328937643
2022-11-27,21.31683293497079
2022-12-11,63.95049880491237
2022-12-18,37.30445763619888
2022-12-25,17.764027445808992
