date,Baltimore MD
2017-01-01,24.0
2017-01-08,49.0
2017-01-15,39.0
2017-01-22,44.0
2017-01-29,24.0
2017-02-05,69.0
2017-02-26,32.0
2017-03-05,31.0
2017-03-12,26.0
2017-03-19,22.0
2017-03-26,51.0
2017-04-02,52.0
2017-04-09,26.0
2017-04-16,43.0
2017-04-23,56.0
2017-04-30,25.667
2017-05-14,55.0
2017-06-04,32.667
2017-06-18,42.556
2017-07-09,46.0
2017-07-16,24.0
2017-07-30,19.5
2017-08-06,41.667
2017-08-20,39.0
2017-09-03,27.5
2017-09-10,25.667
2017-09-17,43.167
2017-09-24,59.5
2017-10-01,22.5
2017-10-15,76.667
2017-10-22,28.0
2017-10-29,52.5
2017-11-19,100.0
2017-11-26,36.143
2017-12-17,34.0
2017-12-24,46.833
2017-12-31,43.6
2018-01-14,35.031
2018-01-21,57.117
2018-01-28,23.02
2018-02-04,39.0
2018-02-25,33.029
2018-03-04,44.038
2018-03-11,23.249
2018-03-18,53.046
2018-03-25,32.682
2018-04-15,40.266
2018-04-22,19.784
2018-05-13,20.0
2018-05-20,19.0
2018-05-27,35.389
2018-06-03,47.732
2018-06-10,55.51
2018-06-24,86.575
2018-07-01,55.048
2018-07-08,34.775
2018-07-15,38.0
2018-07-22,23.063
2018-08-05,38.123
2018-08-12,30.0
2018-08-19,42.273
2018-08-26,37.354
2018-09-09,33.029
2018-09-16,51.045
2018-09-30,63.075
2018-10-07,29.516
2018-11-04,22.694
2018-11-18,41.524
2018-11-25,44.458
2018-12-02,40.242
2018-12-09,28.902
2018-12-16,24.765
2018-12-23,29.657
2018-12-30,31.027
2019-02-03,77.067
2019-02-10,24.007
2019-03-03,41.253
2019-03-10,62.054
2019-03-31,39.068
2019-04-14,47.873
2019-04-28,18.839
2019-05-05,33.0
2019-05-12,40.157
2019-05-26,32.528
2019-06-02,23.02
2019-06-16,50.0
2019-06-23,22.569
2019-07-07,49.417
2019-07-21,44.765
2019-08-25,38.522
2019-09-01,35.696
2019-09-08,18.839
2019-09-15,16.0
2019-09-22,66.95
2019-09-29,20.299
2019-10-06,65.057
2019-10-20,38.688
2019-10-27,34.911
2019-11-03,27.453
2019-11-10,21.333
2019-11-17,26.516
2019-11-24,21.01
2019-12-01,47.41
2019-12-08,31.528
2019-12-15,20.0
2019-12-29,29.0
2020-01-05,31.027
2020-01-12,23.932
2020-01-19,64.646
2020-02-02,27.63
2020-02-09,20.01
2020-02-23,46.524
2020-03-01,23.02
2020-03-15,39.034
2020-03-22,17.894
2020-03-29,77.357
2020-04-05,18.016
2020-04-12,25.377
2020-04-19,14.115
2020-04-26,31.587
2020-05-03,31.517
2020-05-10,13.671
2020-05-17,38.392
2020-05-24,21.0
2020-05-31,34.023
2020-06-07,29.0
2020-06-14,18.281
2020-06-21,21.297
2020-06-28,17.894
2020-07-05,40.0
2020-07-12,17.0
2020-07-19,23.52
2020-08-02,36.031
2020-08-09,39.068
2020-08-16,50.0
2020-08-23,17.508
2020-09-06,17.0
2020-09-13,17.015
2020-09-20,53.046
2020-09-27,49.0
2020-10-11,22.513
2020-10-18,27.012
2020-10-25,31.006
2020-11-01,33.162
2020-11-29,19.0
2020-12-06,51.243
2020-12-13,33.823
2020-12-20,21.476
2020-12-27,44.533
2021-01-03,28.726
2021-01-10,43.365
2021-01-24,66.0
2021-01-31,20.507
2021-02-07,35.323
2021-02-14,62.76
2021-02-21,30.52
2021-03-07,32.01
2021-03-21,67.558
2021-03-28,37.0
2021-04-04,31.827
2021-04-11,20.017
2021-04-18,40.634
2021-05-02,39.916
2021-05-09,29.702
2021-05-16,58.036
2021-05-23,43.809
2021-05-30,45.405
2021-06-06,73.564
2021-06-13,34.327
2021-06-20,19.0
2021-07-11,50.997
2021-07-18,54.513
2021-07-25,37.285
2021-08-01,34.342
2021-08-15,28.879
2021-08-22,27.419
2021-08-29,72.583
2021-09-05,33.0
2021-09-12,33.761
2021-09-26,28.024
2021-10-03,50.34
2021-10-10,53.0
2021-10-17,43.016
2021-10-24,19.517
2021-10-31,18.421
2021-11-07,56.647
2021-11-14,19.51
2021-11-21,52.011
2021-11-28,41.036
2021-12-05,20.562
2021-12-12,25.011
2021-12-19,21.0
2021-12-26,41.499
2022-01-02,51.089
2022-01-09,19.568
2022-01-23,45.17
2022-02-06,29.943
2022-02-13,17.789
2022-02-20,19.275
2022-02-27,22.013
2022-03-06,27.815
2022-03-13,12.0
2022-03-20,19.0
2022-03-27,17.0
2022-04-03,27.275
2022-04-10,27.354
2022-04-17,20.827
2022-04-24,23.04
2022-05-01,28.202
2022-05-08,22.086
2022-05-15,16.0
2022-05-22,31.662
2022-05-29,14.56
2022-06-05,25.0
2022-06-12,29.0
2022-06-19,32.012
2022-06-26,31.667
2022-07-03,31.184
2022-07-24,29.94
2022-07-31,25.399
2022-08-07,22.038
2022-08-28,18.678
2022-09-04,59.528
2022-09-11,16.513
2022-09-18,27.018
2022-09-25,17.173
2022-10-02,30.0
2022-10-09,38.442
2022-10-16,25.044
2022-10-23,14.0
2022-10-30,39.661
2022-11-06,28.316
2022-11-13,29.217
2022-11-20,15.12
2022-11-27,19.46
2022-12-11,50.802
2022-12-18,31.475
2022-12-25,19.914
