,MVT_GT_Boston MA-Manchester NH
2017-01-08,33.0
2017-02-05,25.0
2017-02-12,12.0
2017-02-19,26.0
2017-02-26,22.0
2017-03-05,16.0
2017-03-19,46.0
2017-04-02,16.0
2017-04-09,40.0
2017-04-30,12.0
2017-05-07,22.0
2017-05-14,17.0
2017-05-21,33.0
2017-06-04,17.0
2017-06-11,12.0
2017-06-18,46.0
2017-06-25,42.0
2017-07-02,40.0
2017-07-09,21.0
2017-07-16,17.0
2017-08-27,19.0
2017-09-03,19.0
2017-10-22,11.0
2017-11-05,32.0
2017-11-12,24.0
2017-12-03,31.0
2017-12-17,19.0
2017-12-24,22.0
2017-12-31,13.0
2018-01-07,11.0
2018-01-14,56.0
2018-01-21,14.0
2018-01-28,14.958870454318227
2018-02-11,24.41088598435616
2018-02-18,49.0
2018-02-25,16.458870454318227
2018-03-04,16.945160605757636
2018-03-11,18.44973055527783
2018-04-01,11.472580302878818
2018-05-06,44.38118131247488
2018-05-13,14.458870454318227
2018-05-27,15.95430050479803
2018-06-03,13.961155429078326
2018-06-10,10.0
2018-07-08,11.0
2018-07-15,14.961155429078326
2018-07-29,15.0
2018-08-05,22.442875630997538
2018-08-12,15.0
2018-08-19,29.899461110555666
2018-08-26,15.956585479558129
2018-09-02,27.0
2018-09-16,17.97029532811872
2018-09-30,12.0
2018-10-07,25.417740908636453
2018-10-14,20.442875630997538
2018-10-28,18.97029532811872
2018-11-04,10.0
2018-11-11,19.0
2018-11-18,33.91774090863645
2018-11-25,25.41088598435616
2018-12-09,18.945160605757636
2018-12-30,24.936020706717244
2019-01-06,12.97029532811872
2019-01-13,24.931450757197048
2019-01-20,20.94973055527783
2019-02-17,10.0
2019-02-24,25.938305681477342
2019-03-03,35.0
2019-04-07,20.468010353358622
2019-04-14,24.0
2019-05-05,10.0
2019-05-12,15.968010353358622
2019-06-16,44.33548181727291
2019-06-23,17.463440403838426
2019-07-14,16.0
2019-07-28,20.452015530037933
2019-08-11,36.0
2019-08-18,28.952015530037933
2019-08-25,24.420025883396555
2019-09-29,23.433735731957142
2019-10-06,17.0
2019-10-13,23.0
2019-10-20,14.461155429078326
2019-10-27,21.95658547955813
2019-11-03,53.0
2019-11-10,19.452015530037933
2019-12-08,15.0
2019-12-22,16.952015530037933
2020-01-05,19.47029532811872
2020-01-12,19.461155429078325
2020-02-16,20.95430050479803
2020-02-23,22.952015530037933
2020-03-01,15.958870454318227
2020-03-15,17.0
2020-04-12,26.922310858156653
2020-04-26,25.92459583291675
2020-05-03,13.972580302878818
2020-05-24,20.47029532811872
2020-05-31,13.0
2020-06-14,14.456585479558129
2020-06-28,13.961155429078326
2020-07-05,31.963440403838426
2020-07-12,22.0
2020-07-26,25.447445580517737
2020-08-02,24.44059065623744
2020-08-16,15.952015530037931
2020-08-23,22.95658547955813
2020-09-06,20.0
2020-09-13,13.956585479558129
2020-09-27,20.94973055527783
2020-10-11,25.92459583291675
2020-10-25,36.46572537859852
2020-11-08,17.458870454318227
2020-11-15,11.47029532811872
2020-11-22,20.468010353358622
2020-12-06,17.0
2020-12-13,21.0
2020-12-27,23.0
2021-01-03,19.968010353358622
2021-01-17,14.972580302878818
2021-01-24,21.0
2021-02-07,14.461155429078326
2021-02-14,15.0
2021-02-28,31.0
2021-03-07,13.472580302878818
2021-03-14,23.95658547955813
2021-03-21,99.77150252399015
2021-03-28,26.0
2021-04-04,20.465725378598524
2021-04-18,41.0
2021-05-02,28.906316034835964
2021-05-16,25.45658547955813
2021-05-23,23.438305681477342
2021-06-20,25.0
2021-06-27,52.34005176679311
2021-07-04,23.945160605757636
2021-07-11,45.39717613579557
2021-07-25,47.80349217063153
2021-08-15,20.0
2021-09-12,12.972580302878818
2021-09-19,22.0
2021-09-26,16.0
2021-10-03,22.438305681477342
2021-10-17,18.44059065623744
2021-10-24,13.0
2021-11-07,14.0
2021-11-28,30.41088598435616
2021-12-12,22.95658547955813
2018-03-18,16.922310858156653
2018-04-08,55.74408282686897
2018-04-22,18.913170959116258
2018-06-17,16.922310858156653
2018-06-24,28.86747146391429
2018-07-01,15.926880807676849
2018-07-22,16.922310858156653
2018-09-09,14.931450757197046
2018-09-23,11.945160605757636
2018-12-16,10.949730555277833
2019-02-10,21.899461110555666
2019-03-24,23.89032121151527
2019-03-31,12.94059065623744
2019-05-19,12.94059065623744
2019-09-22,58.73037297830838
2019-12-01,12.94059065623744
2019-12-15,19.90860100959606
2020-01-26,20.904031060075862
2020-02-02,25.88118131247488
2020-02-09,56.73951287734877
2020-03-08,12.94059065623744
2020-04-19,42.80349217063153
2020-05-10,8.958870454318227
2020-06-07,9.95430050479803
2020-08-09,15.926880807676849
2020-08-30,20.904031060075862
2020-09-20,23.89032121151527
2020-10-04,19.90860100959606
2020-10-18,27.872041413434484
2020-11-29,18.913170959116258
2021-01-10,24.885751261995075
2021-04-11,35.83548181727291
2021-05-09,14.931450757197046
2021-05-30,23.89032121151527
2021-06-13,23.89032121151527
2021-08-22,13.936020706717242
2021-11-21,21.899461110555666
2021-12-05,22.89489116103547
2021-12-19,62.71209318022759
2021-12-26,34.84005176679311
2022-01-02,13.936020706717242
2022-01-09,15.926880807676849
2022-01-23,26.876611362954684
2022-01-30,11.945160605757636
2022-02-06,43.79892222111133
2022-02-20,21.899461110555666
2022-02-27,11.945160605757636
2022-03-06,30.858331564873893
2022-03-13,16.922310858156653
2022-03-20,26.876611362954684
2022-03-27,15.926880807676849
2022-04-03,20.904031060075862
2022-04-10,21.899461110555666
2022-04-24,20.904031060075862
2022-05-01,17.917740908636453
2022-05-15,11.945160605757636
2022-05-22,9.95430050479803
2022-05-29,11.945160605757636
2022-06-05,11.945160605757636
2022-06-12,10.949730555277833
2022-06-26,19.90860100959606
2022-07-03,15.926880807676849
2022-07-10,20.904031060075862
2022-07-17,11.945160605757636
2022-07-24,44.79435227159114
2022-08-07,34.84005176679311
2022-08-14,15.926880807676849
2022-08-21,28.86747146391429
2022-08-28,13.936020706717242
2022-09-04,11.945160605757636
2022-09-11,41.808062120151725
2022-09-18,14.931450757197046
2022-10-02,19.90860100959606
2022-10-09,13.936020706717242
2022-10-16,16.922310858156653
2022-10-23,26.876611362954684
2022-10-30,21.899461110555666
2022-11-13,10.949730555277833
2022-11-20,18.913170959116258
2022-12-11,37.826341918232515
2022-12-18,16.922310858156653
