date,Boston MA-Manchester NH
2017-01-08,29.16
2017-01-15,13.812
2017-01-22,31.797
2017-02-05,27.769
2017-02-12,22.33
2017-02-19,28.057
2017-02-26,18.129
2017-03-05,28.776
2017-03-12,36.45
2017-03-19,21.87
2017-03-26,38.905
2017-04-02,18.992
2017-04-09,29.006
2017-04-16,42.301
2017-04-23,26.33
2017-04-30,27.193
2017-05-07,18.992
2017-05-14,40.286
2017-05-21,48.487
2017-05-28,31.078
2017-06-11,23.021
2017-06-18,26.474
2017-06-25,37.294
2017-07-02,50.646
2017-07-09,25.467
2017-07-23,48.056
2017-07-30,28.085
2017-08-06,44.123
2017-08-13,25.898
2017-08-20,14.043
2017-08-27,37.84
2017-09-03,18.186
2017-09-10,46.329
2017-09-17,21.006
2017-09-24,30.091
2017-10-01,32.805
2017-10-15,16.115
2017-10-29,27.625
2017-11-05,20.719
2017-11-12,26.33
2017-11-19,28.057
2017-11-26,27.625
2017-12-03,29.927
2017-12-10,17.496
2017-12-17,40.286
2017-12-24,22.637
2017-12-31,30.886
2018-01-14,24.925
2018-01-21,16.191
2018-01-28,17.074
2018-02-04,23.31
2018-02-11,18.153
2018-02-18,13.248
2018-02-25,29.374
2018-03-04,38.345
2018-03-11,33.751
2018-03-18,36.241
2018-04-01,16.28
2018-04-08,14.465
2018-04-15,35.77
2018-04-22,33.88
2018-04-29,23.021
2018-05-06,48.232
2018-05-13,27.952
2018-05-20,38.419
2018-05-27,25.463
2018-06-03,29.927
2018-06-17,26.667
2018-06-24,35.635
2018-07-01,15.462
2018-07-08,33.227
2018-07-15,16.69
2018-07-22,20.743
2018-07-29,30.86
2018-08-05,45.688
2018-08-12,33.417
2018-08-19,35.77
2018-08-26,33.94
2018-09-02,33.472
2018-09-09,30.97
2018-09-16,36.395
2018-09-23,15.272
2018-09-30,19.689
2018-10-07,28.741
2018-10-14,29.65
2018-10-28,29.588
2018-11-04,22.22
2018-11-11,21.782
2018-11-18,40.072
2018-11-25,35.848
2018-12-02,33.27
2018-12-09,25.88
2018-12-23,29.952
2018-12-30,32.87
2019-01-06,15.398
2019-01-13,17.106
2019-01-20,22.637
2019-01-27,21.544
2019-02-03,51.435
2019-02-10,22.479
2019-02-17,27.333
2019-02-24,53.847
2019-03-03,26.94
2019-03-10,18.001
2019-03-24,26.216
2019-03-31,15.731
2019-04-07,23.459
2019-04-14,36.066
2019-04-28,19.184
2019-05-05,42.859
2019-05-19,18.236
2019-05-26,20.061
2019-06-02,25.171
2019-06-09,17.311
2019-06-16,30.014
2019-06-23,14.963
2019-06-30,21.87
2019-07-21,28.365
2019-07-28,33.836
2019-08-04,31.654
2019-08-18,30.584
2019-08-25,25.101
2019-09-08,16.519
2019-09-15,14.967
2019-09-22,18.764
2019-09-29,22.672
2019-10-06,21.508
2019-10-13,27.003
2019-10-20,18.979
2019-10-27,26.429
2019-11-03,33.605
2019-11-10,23.021
2019-11-17,29.927
2019-11-24,25.013
2019-12-01,19.872
2019-12-08,16.864
2019-12-15,22.321
2019-12-22,44.972
2019-12-29,25.179
2020-01-05,15.24
2020-01-12,38.051
2020-01-19,28.261
2020-01-26,23.455
2020-02-02,14.996
2020-02-09,37.958
2020-02-16,39.74
2020-02-23,27.553
2020-03-15,14.963
2020-03-22,15.361
2020-03-29,15.165
2020-04-05,10.359
2020-04-12,41.706
2020-04-19,60.186
2020-04-26,24.564
2020-05-03,13.859
2020-05-10,13.38
2020-05-17,9.661
2020-05-24,26.15
2020-05-31,22.31
2020-06-07,14.133
2020-06-14,18.417
2020-06-21,16.27
2020-06-28,24.362
2020-07-05,18.02
2020-07-12,27.691
2020-07-19,13.812
2020-07-26,30.313
2020-08-02,41.977
2020-08-09,21.962
2020-08-16,29.554
2020-08-23,27.457
2020-08-30,27.522
2020-09-06,17.577
2020-09-13,20.532
2020-09-20,41.264
2020-09-27,28.972
2020-10-04,33.96
2020-10-11,31.877
2020-10-18,38.59
2020-10-25,28.898
2020-11-01,13.395
2020-11-08,21.102
2020-11-15,13.812
2020-11-22,17.266
2020-11-29,26.8
2020-12-06,26.211
2020-12-13,23.062
2020-12-20,26.093
2020-12-27,35.88
2021-01-03,23.847
2021-01-10,19.484
2021-01-17,17.399
2021-01-24,32.996
2021-02-14,44.256
2021-02-21,16.526
2021-02-28,17.399
2021-03-14,21.503
2021-03-21,100.0
2021-03-28,41.862
2021-04-04,43.162
2021-04-11,30.093
2021-04-18,21.392
