date,Chicago IL
2017-01-01,13.672
2017-01-08,36.506
2017-01-15,34.955
2017-01-22,28.167
2017-01-29,35.888
2017-02-05,16.742
2017-02-12,17.817
2017-02-19,28.652
2017-02-26,18.778
2017-03-05,38.009
2017-03-12,18.071
2017-03-19,22.195
2017-03-26,15.95
2017-04-02,19.344
2017-04-09,17.308
2017-04-16,21.38
2017-04-23,32.692
2017-04-30,23.529
2017-05-07,32.579
2017-05-14,46.946
2017-05-21,26.471
2017-05-28,20.798
2017-06-04,46.606
2017-06-11,22.805
2017-06-18,22.059
2017-06-25,21.38
2017-07-02,100.0
2017-07-09,32.919
2017-07-16,39.367
2017-07-23,27.376
2017-07-30,31.561
2017-08-06,28.281
2017-08-13,32.579
2017-08-20,24.289
2017-08-27,20.588
2017-09-03,14.593
2017-09-10,33.371
2017-09-17,25.452
2017-09-24,24.548
2017-10-01,21.584
2017-10-08,15.562
2017-10-15,18.937
2017-10-22,33.371
2017-10-29,41.516
2017-11-05,49.887
2017-11-12,49.434
2017-11-19,17.534
2017-11-26,32.692
2017-12-03,31.448
2017-12-10,21.041
2017-12-17,33.258
2017-12-24,30.136
2017-12-31,47.851
2018-01-07,23.152
2018-01-14,25.295
2018-01-21,40.294
2018-01-28,12.543
2018-02-04,32.394
2018-02-11,24.651
2018-02-18,38.902
2018-02-25,26.96
2018-03-04,26.642
2018-03-11,22.201
2018-03-18,44.508
2018-03-25,16.206
2018-04-01,33.835
2018-04-08,36.308
2018-04-15,42.074
2018-04-22,19.506
2018-04-29,37.954
2018-05-06,19.336
2018-05-13,22.827
2018-05-20,16.064
2018-05-27,29.9
2018-06-03,17.994
2018-06-10,37.937
2018-06-17,22.085
2018-06-24,23.926
2018-07-01,20.395
2018-07-08,23.04
2018-07-15,29.623
2018-07-22,25.508
2018-07-29,21.14
2018-08-05,29.238
2018-08-12,38.479
2018-08-19,27.74
2018-08-26,23.877
2018-09-02,26.95
2018-09-09,39.589
2018-09-16,24.528
2018-09-23,26.234
2018-09-30,26.495
2018-10-07,27.764
2018-10-14,23.92
2018-10-21,33.618
2018-10-28,29.343
2018-11-04,18.038
2018-11-11,31.567
2018-11-18,19.713
2018-11-25,27.674
2018-12-02,25.014
2018-12-09,27.023
2018-12-16,54.794
2018-12-23,23.536
2018-12-30,36.918
2019-01-06,30.675
2019-01-13,52.326
2019-01-20,24.85
2019-01-27,22.066
2019-02-03,44.445
2019-02-10,23.189
2019-02-17,25.62
2019-02-24,20.828
2019-03-03,20.273
2019-03-10,22.696
2019-03-17,22.133
2019-03-24,18.097
2019-03-31,13.472
2019-04-07,30.303
2019-04-14,33.48
2019-04-21,49.423
2019-04-28,35.171
2019-05-05,29.724
2019-05-12,20.783
2019-05-19,19.648
2019-05-26,16.73
2019-06-02,23.296
2019-06-09,13.319
