,MVT_GT_Colorado Springs-Pueblo CO
2017-01-29,21.0
2017-03-19,32.0
2017-04-02,23.0
2017-06-04,22.0
2017-06-25,100.0
2017-07-09,23.0
2017-09-10,22.0
2017-10-08,20.0
2017-11-05,73.0
2017-12-17,25.0
2018-01-07,38.416903723178635
2018-01-14,54.766290334676384
2018-02-11,51.11378789015054
2018-02-18,34.851275667521335
2018-03-11,51.11378789015054
2018-03-18,28.95939638960111
2018-05-20,22.15439150054943
2018-06-10,31.19877322299549
2018-07-08,66.9631745016483
2018-09-09,32.111898834126954
2018-09-16,23.980642722812348
2018-11-18,28.04627077846965
2018-11-25,19.91501466715505
2018-12-23,29.872522000732573
2019-01-13,22.15439150054943
2019-02-24,20.828140278286508
2019-03-03,18.588763444892127
2019-05-26,47.04815983449324
2019-06-02,22.15439150054943
2019-07-14,19.001889056023586
2019-09-15,42.982531778835934
2019-10-06,44.80878300109886
2019-11-10,19.001889056023586
2019-11-24,54.766290334676384
2019-12-08,28.95939638960111
2019-12-15,37.590652500915716
2019-12-22,36.177526889784254
2019-12-29,43.3956573899674
2020-01-05,19.91501466715505
2020-03-08,15.849386611497746
2020-04-05,14.023135389234826
2020-06-14,16.762512222629205
2020-06-28,40.74315494544156
2020-07-05,30.285647611864032
2020-07-26,52.94003911241346
2020-08-23,15.849386611497746
2020-08-30,27.133145167338192
2020-09-06,17.175637833760668
2020-10-04,39.8300293343101
2020-11-15,45.22190861223032
2020-11-29,15.849386611497746
2020-12-06,20.828140278286508
2020-12-27,16.262512222629205
2021-01-31,35.2644012786528
2021-04-11,22.15439150054943
2021-05-02,17.175637833760668
2021-05-23,23.980642722812348
2021-06-27,19.001889056023586
2021-07-11,25.80689394507527
2021-07-25,79.1600586686202
2021-08-15,37.090652500915716
2021-08-29,27.133145167338192
2021-09-05,26.22001955620673
2021-09-19,43.8956573899674
2021-10-03,24.89376833394381
2021-10-17,37.090652500915716
2021-11-07,82.81256111314603
2021-11-21,47.04815983449324
2021-12-05,29.872522000732573
2021-12-19,31.19877322299549
2022-02-06,33.876300112779745
2022-03-06,19.830029334310098
2022-03-13,16.525024445258413
2022-03-20,21.482531778835938
2022-04-17,11.567517111680889
2022-05-08,14.872522000732573
2022-06-05,31.397546445990987
2022-06-12,46.270068446723556
2022-07-10,19.830029334310098
2022-07-17,40.48630989088311
2022-09-18,45.44381722446064
2022-10-23,20.656280556573016
2022-12-18,20.656280556573016
