date,Colorado Springs-Pueblo CO
2017-01-15,42.0
2017-03-05,40.5
2017-03-12,64.0
2017-03-19,59.0
2017-04-16,27.0
2017-04-30,19.0
2017-05-21,25.0
2017-05-28,39.0
2017-06-04,74.0
2017-07-09,62.0
2017-07-23,37.0
2017-07-30,31.0
2017-08-13,26.0
2017-08-20,20.0
2017-09-03,20.0
2017-09-10,50.0
2017-09-24,30.0
2017-10-01,44.0
2017-10-08,55.0
2017-10-29,35.0
2017-11-05,29.0
2017-11-19,41.5
2017-12-24,68.0
2017-12-31,41.667
2018-01-07,40.339
2018-01-28,41.942
2018-02-04,16.957
2018-02-18,44.749
2018-03-18,23.679
2018-04-22,35.22
2018-05-13,35.0
2018-05-20,22.978
2018-06-03,30.869
2018-06-17,29.0
2018-07-01,18.763
2018-07-08,59.0
2018-07-15,28.0
2018-07-29,18.263
2018-08-05,23.499
2018-08-12,32.5
2018-08-19,31.979
2018-09-02,23.179
2018-09-30,41.887
2018-10-21,26.54
2018-10-28,19.0
2018-11-11,35.22
2018-11-18,24.985
2018-11-25,32.09
2018-12-02,33.0
2018-12-09,33.464
2018-12-30,20.0
2019-01-06,29.0
2019-01-27,22.276
2019-02-03,16.055
2019-02-10,19.0
2019-02-24,18.263
2019-05-12,28.346
2019-05-19,42.637
2019-05-26,55.0
2019-06-09,43.046
2019-06-16,56.0
2019-07-07,76.5
2019-07-14,53.956
2019-07-21,53.089
2019-08-04,18.631
2019-08-11,20.0
2019-08-25,39.0
2019-09-15,29.901
2019-09-22,54.0
2019-09-29,47.0
2019-10-06,33.964
2019-10-13,22.0
2019-10-20,24.082
2019-11-10,16.055
2019-11-24,47.963
2019-12-01,19.937
2019-12-08,23.166
2019-12-15,24.596
2019-12-22,18.763
2019-12-29,29.43
2020-01-05,57.991
2020-01-26,35.04
2020-03-08,24.0
2020-03-15,46.346
2020-03-22,52.0
2020-04-05,47.0
2020-04-12,19.416
2020-05-03,40.727
2020-05-10,18.0
2020-05-24,30.304
2020-05-31,41.0
2020-06-14,27.693
2020-06-28,48.0
2020-07-05,23.0
2020-07-12,21.083
2020-07-19,24.0
2020-07-26,17.0
2020-08-16,22.499
2020-08-23,14.0
2020-08-30,50.886
2020-09-13,19.079
2020-10-11,24.138
2020-10-18,22.776
2020-12-13,28.346
2021-01-03,24.082
2021-01-17,24.082
2021-01-31,33.013
2021-02-07,29.901
2021-02-28,26.79
2021-03-07,28.0
2021-03-21,45.956
2021-04-11,22.0
2021-04-18,29.645
2021-05-02,46.0
2021-05-23,100.0
2021-07-04,38.436
2021-07-11,57.0
2021-07-25,36.065
2021-08-08,18.763
2021-08-22,25.0
2021-08-29,24.533
2021-09-12,27.202
2021-09-19,26.0
2021-10-03,21.5
2021-10-31,36.176
2021-11-28,27.999
2021-12-12,33.502
2021-12-19,18.763
2021-12-26,21.805
2022-01-02,50.817
2022-01-09,43.495
2022-01-23,15.304
2022-02-06,30.0
2022-02-20,22.0
2022-03-13,16.109
2022-03-20,48.964
2022-03-27,32.0
2022-04-03,18.0
2022-04-17,43.495
2022-04-24,15.304
2022-05-08,13.693
2022-06-05,21.0
2022-06-19,33.428
2022-07-10,15.304
2022-07-17,45.0
2022-07-24,34.817
2022-07-31,50.652
2022-08-07,46.879
2022-09-04,20.179
2022-09-11,41.078
2022-09-18,26.874
2022-10-23,20.136
2022-11-06,24.969
2022-11-13,14.901
2022-11-20,24.0
2022-11-27,67.659
