date,Columbus OH
2017-01-01,25.787
2017-01-29,20.796
2017-02-05,22.46
2017-02-12,29.114
2017-02-19,29.946
2017-02-26,44.088
2017-03-05,18.301
2017-03-12,36.601
2017-03-19,22.46
2017-04-02,19.964
2017-04-09,42.424
2017-04-16,21.129
2017-04-23,16.637
2017-05-07,16.637
2017-05-14,56.981
2017-05-21,29.281
2017-06-11,32.442
2017-06-18,17.469
2017-06-25,29.614
2017-07-02,19.964
2017-07-09,28.782
2017-07-16,14.973
2017-07-23,43.672
2017-07-30,19.132
2017-08-13,30.778
2017-08-20,78.193
2017-08-27,44.088
2017-09-10,35.353
2017-09-17,39.513
2017-09-24,16.637
2017-10-15,22.46
2017-10-22,19.132
2017-10-29,25.621
2017-11-12,37.433
2017-12-24,32.858
2018-01-07,22.074
2018-01-14,31.438
2018-02-11,30.641
2018-02-18,45.969
2018-02-25,24.344
2018-03-18,20.46
2018-03-25,39.546
2018-04-15,16.58
2018-05-06,25.788
2018-05-13,83.215
2018-05-20,24.019
2018-05-27,34.809
2018-06-03,20.625
2018-06-24,28.84
2018-07-08,44.305
2018-07-22,39.381
2018-07-29,35.026
2018-08-05,46.742
2018-08-12,47.167
2018-08-19,28.711
2018-09-02,32.686
2018-09-16,14.056
2018-09-23,27.07
2018-10-07,36.528
2018-10-14,26.648
2018-10-21,25.187
2018-11-04,26.928
2018-11-11,18.043
2018-11-18,28.867
2018-12-09,49.855
2018-12-16,26.648
2018-12-23,27.295
2019-01-06,40.341
2019-01-13,27.331
2019-01-20,43.999
2019-02-10,53.328
2019-02-24,21.24
2019-03-10,34.943
2019-03-17,64.494
2019-03-31,40.837
2019-04-07,35.678
2019-04-14,20.352
2019-04-28,17.182
2019-05-05,14.971
2019-05-12,18.488
2019-05-26,28.785
2019-06-02,18.131
2019-06-16,38.197
2019-06-30,42.183
2019-07-28,25.221
2019-08-04,20.566
2019-08-11,24.036
2019-08-18,41.599
2019-08-25,54.018
2019-09-01,27.967
2019-09-08,22.168
2019-09-15,34.097
2019-09-29,18.131
2019-10-06,18.216
2019-10-20,19.088
2019-10-27,24.136
2019-11-03,36.066
2019-11-17,17.627
2019-11-24,43.249
2019-12-01,16.8
2019-12-08,29.112
2019-12-15,32.108
2019-12-22,23.829
2019-12-29,26.648
2020-01-12,19.046
2020-01-19,24.753
2020-01-26,31.201
2020-02-02,23.121
2020-02-09,32.435
2020-02-16,18.024
2020-02-23,28.717
2020-03-01,49.531
2020-03-22,25.603
2020-04-05,36.651
2020-04-12,11.81
2020-04-19,20.434
2020-05-24,21.409
2020-05-31,18.623
2020-06-07,28.498
2020-06-14,19.764
2020-06-21,27.509
2020-07-12,22.074
2020-07-19,74.782
2020-07-26,19.348
2020-08-02,29.172
2020-08-09,26.658
2020-08-16,40.933
2020-08-23,15.906
2020-08-30,21.769
2020-09-06,18.255
2020-09-13,24.951
2020-09-20,22.318
2020-09-27,16.8
2020-10-04,29.161
2020-10-18,54.984
2020-11-01,27.648
2020-11-08,28.513
2020-11-15,31.692
2020-11-22,33.206
2020-11-29,17.449
2020-12-13,56.739
2020-12-20,20.566
2020-12-27,17.627
2021-01-03,45.584
2021-01-10,26.512
2021-01-31,18.907
2021-02-14,20.876
2021-02-28,48.826
2021-03-14,25.121
2021-03-21,20.209
2021-04-18,30.951
2021-04-25,30.504
2021-05-09,20.885
2021-05-16,50.421
2021-05-23,19.046
2021-05-30,18.131
2021-06-06,26.494
2021-06-13,55.885
2021-06-27,23.419
2021-07-04,39.821
2021-07-11,52.128
2021-07-18,37.922
2021-08-08,35.847
2021-08-15,28.821
2021-08-22,14.056
2021-08-29,32.063
2021-09-26,20.209
2021-10-03,14.693
2021-10-17,32.702
2021-10-24,29.23
2021-11-07,25.184
2021-11-14,29.381
2021-11-28,35.003
2021-12-05,20.609
2021-12-12,37.052
2021-12-19,40.013
2021-12-26,24.067
2022-01-02,56.104
2022-01-09,53.38
2022-01-16,47.578
2022-01-23,33.847
2022-02-06,18.675
2022-02-13,21.865
2022-02-20,25.004
2022-02-27,29.136
2022-03-06,25.317
2022-03-13,21.757
2022-03-20,35.867
2022-03-27,37.834
2022-04-03,36.468
2022-04-10,16.204
2022-04-24,23.621
2022-05-01,27.52
2022-05-08,32.656
2022-05-22,60.41
2022-06-12,26.663
2022-06-19,31.319
2022-06-26,28.847
2022-07-03,29.136
2022-07-10,70.661
2022-07-17,33.603
2022-07-24,56.793
2022-07-31,25.439
2022-08-07,25.373
2022-08-14,18.926
2022-08-21,21.498
2022-09-04,30.221
2022-09-11,39.295
2022-09-18,23.088
2022-09-25,13.466
2022-10-02,21.953
2022-10-09,33.27
2022-10-16,22.819
2022-10-23,23.362
2022-10-30,20.596
2022-11-13,23.733
2022-11-20,25.818
2022-11-27,27.994
2022-12-04,41.572
2022-12-11,22.323
2022-12-18,100.0
2022-12-25,24.763
