,MVT_GT_Dallas-Ft. Worth TX
2017-01-08,47.0
2017-01-22,64.0
2017-01-29,23.0
2017-02-05,23.0
2017-02-12,23.0
2017-02-26,31.0
2017-03-05,50.0
2017-03-12,52.0
2017-03-26,38.0
2017-04-02,23.0
2017-04-09,45.0
2017-04-16,30.0
2017-04-23,43.0
2017-04-30,29.0
2017-05-14,64.0
2017-06-04,40.0
2017-06-11,21.0
2017-06-18,44.0
2017-06-25,38.0
2017-07-09,43.0
2017-07-16,47.0
2017-07-23,55.0
2017-07-30,64.0
2017-08-06,51.0
2017-08-13,13.0
2017-08-27,68.0
2017-09-03,23.0
2017-09-10,23.0
2017-09-17,21.0
2017-09-24,41.0
2017-10-01,60.0
2017-10-15,59.0
2017-10-22,41.0
2017-10-29,23.0
2017-11-05,19.0
2017-11-12,34.0
2017-11-19,19.0
2017-11-26,21.0
2017-12-03,24.0
2017-12-10,43.0
2017-12-17,82.0
2017-12-24,35.0
2018-01-07,39.0
2018-01-14,28.0
2018-01-21,35.0
2018-01-28,53.0
2018-02-11,73.0
2018-02-25,22.0
2018-03-11,39.0
2018-03-18,33.0
2018-03-25,27.0
2018-04-01,26.0
2018-04-08,33.0
2018-04-22,32.0
2018-04-29,19.0
2018-05-06,71.0
2018-05-13,51.0
2018-05-20,73.0
2018-05-27,30.0
2018-06-10,70.0
2018-06-17,17.0
2018-06-24,41.0
2018-07-01,44.0
2018-07-08,14.0
2018-07-15,24.0
2018-07-22,35.0
2018-08-12,49.0
2018-08-19,61.0
2018-08-26,28.0
2018-09-02,56.0
2018-09-09,29.0
2018-09-16,34.0
2018-09-23,17.0
2018-09-30,71.0
2018-10-07,45.0
2018-10-14,18.0
2018-10-21,57.0
2018-10-28,15.0
2018-11-04,39.0
2018-11-11,68.0
2018-11-18,17.0
2018-11-25,37.0
2018-12-02,36.0
2018-12-09,26.0
2018-12-16,39.0
2018-12-23,38.0
2018-12-30,41.0
2019-01-06,41.0
2019-01-13,21.0
2019-01-20,52.0
2019-01-27,24.0
2019-02-03,97.0
2019-02-10,29.0
2019-02-24,19.0
2019-03-03,56.0
2019-03-10,30.0
2019-03-17,36.0
2019-03-24,47.0
2019-03-31,24.0
2019-04-07,28.0
2019-04-21,44.0
2019-04-28,33.0
2019-05-05,27.0
2019-05-12,53.0
2019-05-19,71.0
2019-05-26,32.0
2019-06-02,17.0
2019-06-09,69.0
2019-07-07,46.0
2019-07-14,23.0
2019-07-21,19.0
2019-07-28,49.0
2019-08-04,36.0
2019-08-11,82.0
2019-08-18,55.0
2019-08-25,39.0
2019-09-01,22.0
2019-09-08,14.0
2019-09-29,39.0
2019-10-06,40.0
2019-10-13,32.0
2019-10-20,39.0
2019-10-27,20.0
2019-11-03,65.0
