date,Dallas-Ft. Worth TX
2017-01-01,33.769
2017-01-08,31.086
2017-01-15,17.891
2017-01-22,23.929
2017-01-29,27.06
2017-02-05,33.546
2017-02-12,19.009
2017-02-19,18.786
2017-02-26,44.28
2017-03-05,25.047
2017-03-12,12.3
2017-03-19,12.076
2017-03-26,20.351
2017-04-02,23.929
2017-04-09,33.098
2017-04-16,25.718
2017-04-23,32.428
2017-04-30,14.984
2017-05-07,17.891
2017-05-14,54.791
2017-05-21,29.073
2017-05-28,34.888
2017-06-04,31.757
2017-06-11,24.153
2017-06-18,46.069
2017-06-25,17.891
2017-07-02,19.68
2017-07-09,20.575
2017-07-16,26.389
2017-07-23,45.287
2017-07-30,51.437
2017-08-06,28.849
2017-08-13,20.351
2017-08-20,11.461
2017-08-27,15.207
2017-09-03,15.207
2017-09-10,20.127
2017-09-17,24.153
2017-09-24,38.018
2017-10-01,29.297
2017-10-08,7.827
2017-10-15,31.98
2017-10-22,19.904
2017-10-29,46.964
2017-11-05,11.629
2017-11-12,22.364
2017-11-19,41.82
2017-11-26,17.22
2017-12-03,29.073
2017-12-10,34.664
2017-12-17,11.741
2017-12-24,20.127
2017-12-31,23.035
2018-01-07,18.73
2018-01-14,27.767
2018-01-21,17.867
2018-01-28,31.314
2018-02-04,25.694
2018-02-11,32.43
2018-02-18,27.83
2018-02-25,10.064
2018-03-04,16.773
2018-03-11,18.74
2018-03-18,20.127
2018-03-25,22.364
2018-04-01,31.309
2018-04-08,20.382
2018-04-15,23.482
2018-04-22,21.117
2018-04-29,19.877
2018-05-06,36.921
2018-05-13,27.539
2018-05-20,14.793
2018-05-27,24.212
2018-06-03,22.815
2018-06-10,19.18
2018-06-17,14.536
2018-06-24,14.287
2018-07-01,21.723
2018-07-08,30.837
2018-07-15,16.773
2018-07-22,54.517
2018-08-05,26.141
2018-08-12,10.736
2018-08-19,17.446
2018-08-26,27.99
2018-09-02,27.286
2018-09-09,32.18
2018-09-16,26.17
2018-09-23,43.864
2018-09-30,40.037
2018-10-07,34.5
2018-10-14,21.0
2018-10-21,32.585
2018-10-28,25.05
2018-11-04,29.358
2018-11-11,35.522
2018-11-25,21.246
2018-12-02,19.039
2018-12-09,31.171
2018-12-16,25.889
2018-12-23,19.654
2018-12-30,24.186
2019-01-06,35.759
2019-01-13,21.893
2019-01-20,29.775
2019-01-27,25.722
2019-02-03,50.039
2019-02-10,25.553
2019-02-17,27.483
2019-02-24,32.625
2019-03-03,10.064
2019-03-10,33.607
2019-03-17,34.5
2019-03-24,15.013
2019-03-31,27.063
2019-04-07,17.613
2019-04-14,20.157
2019-04-21,33.968
2019-04-28,22.339
2019-05-05,21.026
2019-05-12,24.882
2019-05-19,49.68
2019-05-26,24.771
2019-06-02,18.312
2019-06-09,21.667
2019-06-16,38.721
2019-06-23,20.746
2019-06-30,42.944
2019-07-07,41.545
2019-07-14,36.678
2019-07-21,24.607
2019-07-28,21.445
2019-08-04,33.997
2019-08-11,51.695
2019-08-18,37.66
2019-08-25,35.114
2019-09-01,15.238
2019-09-08,15.688
2019-09-15,22.058
2019-09-22,12.3
2019-09-29,14.091
2019-10-06,25.246
2019-10-13,25.33
2019-10-20,17.894
2019-10-27,44.284
2019-11-03,30.272
2019-11-10,16.916
2019-11-17,41.437
2019-11-24,11.182
2019-12-01,42.721
2019-12-15,15.183
2019-12-22,25.667
2019-12-29,15.88
2020-01-05,14.986
2020-01-12,31.678
2020-01-19,15.183
2020-01-26,33.971
2020-02-02,35.339
2020-02-09,23.235
2020-02-16,24.995
2020-02-23,16.972
2020-03-01,14.96
2020-03-08,18.173
2020-03-15,12.3
2020-03-22,12.3
2020-03-29,11.799
2020-04-05,23.404
2020-04-12,20.325
2020-04-19,23.261
2020-04-26,16.773
2020-05-03,21.304
2020-05-10,19.935
2020-05-17,42.077
2020-05-24,42.021
2020-05-31,17.195
2020-06-07,19.009
2020-06-14,35.117
2020-06-21,10.094
2020-06-28,31.704
2020-07-05,10.121
2020-07-12,15.383
2020-07-19,25.19
2020-07-26,11.468
2020-08-02,30.557
2020-08-09,26.643
2020-08-16,25.873
2020-08-23,17.475
2020-08-30,23.067
2020-09-06,19.711
2020-09-13,25.052
2020-09-20,18.145
2020-09-27,12.805
2020-10-04,19.516
2020-10-11,22.338
2020-10-18,100.0
2020-10-25,14.764
2020-11-01,17.642
2020-11-08,17.166
2020-11-15,42.72
2020-11-22,33.354
2020-11-29,16.942
2020-12-06,15.803
2020-12-13,16.773
2020-12-20,22.367
2020-12-27,29.021
2021-01-03,17.891
2021-01-10,39.758
2021-01-17,23.234
2021-01-24,27.902
2021-01-31,18.564
2021-02-07,13.003
2021-02-14,16.105
2021-02-21,27.93
2021-02-28,19.879
2021-03-07,18.591
2021-03-14,16.773
2021-03-21,15.803
2021-03-28,32.852
2021-04-04,20.857
2021-04-11,22.096
2021-04-18,35.259
2021-04-25,11.468
2021-05-02,35.757
2021-05-09,14.791
2021-05-16,29.326
2021-05-23,29.051
2021-05-30,26.335
2021-06-06,27.93
2021-06-13,40.54
2021-06-20,26.837
2021-06-27,39.086
2021-07-04,28.462
2021-07-11,16.782
2021-07-18,31.259
2021-07-25,41.603
2021-08-01,16.834
2021-08-08,46.802
2021-08-15,17.841
2021-08-22,45.319
2021-08-29,27.287
2021-09-05,23.459
2021-09-12,31.76
2021-09-19,40.987
2021-09-26,14.987
2021-10-10,22.364
2021-10-17,22.923
2021-10-24,31.313
2021-10-31,27.035
2021-11-07,26.622
2021-11-14,20.127
2021-11-21,14.536
2021-11-28,30.474
2021-12-05,19.432
2021-12-12,35.787
2021-12-19,28.433
2021-12-26,31.985
2022-01-02,19.686
2022-01-09,29.073
2022-01-16,26.226
2022-01-23,12.921
2022-01-30,36.906
2022-02-06,32.159
2022-02-13,45.188
2022-02-20,23.49
2022-02-27,37.861
2022-03-06,24.828
2022-03-13,26.512
2022-03-20,29.245
2022-03-27,23.319
2022-04-03,24.776
2022-04-10,24.385
2022-04-17,39.932
2022-04-24,36.742
2022-05-01,24.44
2022-05-08,20.417
2022-05-15,36.064
2022-05-22,14.038
2022-05-29,28.95
2022-06-05,13.815
2022-06-12,19.964
2022-06-19,38.698
2022-06-26,30.317
2022-07-03,34.422
2022-07-10,49.771
2022-07-17,16.777
2022-07-24,32.772
2022-07-31,13.983
2022-08-07,33.558
2022-08-14,36.744
2022-08-21,21.139
2022-08-28,47.09
2022-09-04,51.836
2022-09-11,39.65
2022-09-18,26.228
2022-09-25,13.433
2022-10-02,47.254
2022-10-09,12.3
2022-10-16,17.891
2022-10-23,27.685
2022-10-30,63.525
2022-11-06,24.553
2022-11-13,40.709
2022-11-20,17.787
2022-11-27,25.893
2022-12-04,20.587
2022-12-11,12.92
2022-12-18,26.171
2022-12-25,27.123
