date,Denver CO
2017-01-01,22.542
2017-01-08,32.203
2017-01-22,26.12
2017-01-29,31.845
2017-02-12,38.286
2017-02-19,20.395
2017-02-26,20.037
2017-03-05,16.638
2017-03-12,28.983
2017-04-02,17.533
2017-04-16,22.542
2017-05-07,44.011
2017-05-28,67.984
2017-06-04,25.047
2017-06-11,37.212
2017-06-18,24.689
2017-06-25,53.672
2017-07-02,31.13
2017-07-09,16.102
2017-07-23,19.322
2017-08-06,46.158
2017-08-13,59.039
2017-08-20,20.395
2017-08-27,23.616
2017-09-03,60.112
2017-09-10,19.322
2017-09-17,21.469
2017-09-24,34.35
2017-10-01,26.836
2017-10-08,19.322
2017-10-22,47.768
2017-10-29,56.355
2017-11-05,37.034
2017-11-12,15.565
2017-11-19,26.836
2017-11-26,18.248
2017-12-03,22.542
2017-12-10,70.847
2017-12-24,60.649
2017-12-31,18.248
2018-01-07,31.341
2018-01-14,37.993
2018-01-21,27.49
2018-01-28,59.37
2018-02-04,17.44
2018-02-18,29.529
2018-02-25,48.166
2018-03-04,27.901
2018-03-11,19.555
2018-03-18,20.866
2018-03-25,53.544
2018-04-01,34.551
2018-04-08,44.206
2018-04-15,18.248
2018-04-22,20.266
2018-05-13,36.833
2018-05-20,33.955
2018-05-27,29.298
2018-06-03,38.25
2018-06-10,19.322
2018-06-17,23.632
2018-06-24,38.644
2018-07-01,28.027
2018-07-08,24.083
2018-07-22,23.829
2018-07-29,29.754
2018-08-05,31.92
2018-08-12,22.905
2018-08-19,55.822
2018-08-26,38.696
2018-09-02,21.366
2018-09-09,54.099
2018-09-16,29.246
2018-09-23,45.756
2018-09-30,72.681
2018-10-07,22.166
2018-10-14,20.865
2018-10-21,46.948
2018-10-28,53.672
2018-11-04,24.407
2018-11-11,30.076
2018-11-25,32.267
2018-12-02,31.916
2018-12-09,24.793
2018-12-16,53.679
2018-12-23,34.716
2018-12-30,36.294
2019-01-06,41.324
2019-01-20,39.328
2019-01-27,36.968
2019-02-03,23.005
2019-02-10,28.333
2019-02-17,36.37
2019-02-24,36.174
2019-03-03,22.012
2019-03-10,39.632
2019-03-17,32.53
2019-03-24,49.583
2019-03-31,20.971
2019-04-07,26.869
2019-04-14,16.611
2019-04-21,22.666
2019-04-28,34.936
2019-05-05,21.216
2019-05-12,34.35
2019-05-19,67.495
2019-05-26,42.124
2019-06-02,20.788
2019-06-09,56.755
2019-06-16,27.843
2019-06-23,22.666
2019-06-30,21.141
2019-07-07,33.814
2019-07-14,54.968
2019-07-21,19.507
2019-07-28,39.865
2019-08-04,35.177
2019-08-11,30.876
2019-09-01,28.333
2019-09-08,26.482
2019-09-15,17.589
2019-09-22,35.48
2019-09-29,23.378
2019-10-06,19.014
2019-10-13,19.628
2019-10-20,50.06
2019-10-27,21.25
2019-11-03,36.833
2019-11-10,30.194
2019-12-01,34.031
2019-12-08,38.644
2019-12-15,42.772
2019-12-22,35.015
2019-12-29,31.166
2020-01-05,27.623
2020-01-12,37.169
2020-01-19,34.35
2020-01-26,23.449
2020-02-02,28.887
2020-02-09,19.322
2020-02-16,31.027
2020-02-23,20.69
2020-03-01,35.652
2020-03-08,17.052
2020-03-15,26.979
2020-03-22,16.069
2020-03-29,15.583
2020-04-05,45.837
2020-04-12,29.75
2020-04-19,26.783
