date,Detroit MI
2017-01-01,22.825
2017-01-08,29.889
2017-01-15,34.78
2017-01-22,43.838
2017-01-29,28.803
2017-02-05,33.693
2017-02-12,49.997
2017-02-19,75.539
2017-02-26,21.738
2017-03-05,37.316
2017-03-12,51.084
2017-03-19,33.693
2017-03-26,17.39
2017-04-02,18.477
2017-04-09,19.021
2017-04-16,20.107
2017-04-23,34.78
2017-04-30,38.584
2017-05-14,36.954
2017-05-21,34.237
2017-05-28,51.627
2017-06-11,32.063
2017-06-18,20.651
2017-06-25,39.671
2017-07-02,40.215
2017-07-09,22.825
2017-07-16,20.651
2017-07-23,23.912
2017-07-30,24.998
2017-08-06,26.085
2017-08-13,33.15
2017-08-20,44.562
2017-08-27,53.257
2017-09-10,32.607
2017-09-17,15.216
2017-09-24,33.15
2017-10-08,41.302
2017-10-15,42.932
2017-11-05,24.998
2017-11-12,29.346
2017-11-26,24.636
2017-12-17,44.019
2017-12-24,28.259
2017-12-31,21.194
2018-01-07,33.441
2018-01-14,23.188
2018-01-21,32.743
2018-01-28,33.693
2018-02-04,18.852
2018-02-18,51.674
2018-02-25,27.057
2018-03-04,26.629
2018-03-11,18.216
2018-03-25,20.945
2018-04-01,24.805
2018-04-08,31.767
2018-04-15,43.896
2018-04-22,33.256
2018-04-29,42.389
2018-05-06,53.749
2018-05-13,30.674
2018-05-20,55.564
2018-05-27,27.278
2018-06-03,20.651
2018-06-10,27.785
2018-06-24,19.021
2018-07-01,28.259
2018-07-08,23.912
2018-07-15,17.39
2018-07-22,55.431
2018-07-29,38.041
2018-08-05,44.348
2018-08-12,29.495
2018-08-19,43.526
2018-08-26,26.629
2018-09-02,30.792
2018-09-09,29.243
2018-09-16,19.634
2018-09-23,61.409
2018-10-07,19.844
2018-10-14,25.518
2018-10-21,38.697
2018-11-25,16.728
2018-12-16,41.302
2018-12-30,32.634
2019-01-06,52.171
2019-01-13,28.984
2019-01-20,100.0
2019-01-27,32.607
2019-02-03,19.941
2019-02-10,28.774
2019-02-17,19.709
2019-02-24,21.738
2019-03-03,25.694
2019-03-10,33.693
2019-03-17,28.884
2019-03-24,31.408
2019-03-31,22.553
2019-04-14,20.651
2019-04-21,50.219
2019-04-28,30.759
2019-05-05,48.189
2019-05-12,19.723
2019-05-19,50.432
2019-05-26,20.837
2019-06-02,35.248
2019-06-09,46.964
2019-06-16,20.651
2019-06-23,18.852
2019-06-30,33.693
2019-07-07,29.51
2019-07-14,17.39
2019-07-21,38.593
2019-07-28,29.098
2019-08-04,50.051
2019-08-11,72.947
2019-08-18,44.263
2019-08-25,41.302
2019-09-01,28.803
2019-09-08,35.121
2019-09-15,21.548
2019-09-22,17.86
2019-09-29,33.0
2019-10-06,21.738
2019-10-13,21.738
2019-10-20,32.244
2019-10-27,27.821
2019-11-03,29.72
2019-11-10,29.472
2019-11-17,23.651
2019-11-24,14.854
2019-12-01,26.368
2019-12-08,18.674
2019-12-15,21.415
2019-12-22,28.984
2019-12-29,18.705
2020-01-05,33.228
2020-01-12,67.54
2020-01-19,31.117
2020-01-26,37.178
2020-02-02,20.107
2020-02-09,61.518
2020-02-16,48.185
2020-02-23,30.184
2020-03-15,26.085
2020-03-22,28.803
2020-03-29,30.455
2020-04-05,19.964
2020-04-12,21.829
2020-04-19,18.477
2020-05-10,17.86
2020-05-24,35.867
2020-05-31,40.033
2020-06-07,36.729
2020-06-21,42.081
2020-06-28,27.526
2020-07-05,24.866
2020-07-12,27.782
2020-07-19,26.306
2020-07-26,32.743
2020-08-02,28.803
2020-08-09,28.259
2020-08-16,31.83
2020-08-23,20.651
2020-08-30,16.847
2020-09-06,22.825
2020-09-13,20.028
2020-09-20,21.738
2020-09-27,31.385
2020-10-04,30.514
2020-10-11,40.614
2020-10-18,35.72
2020-10-25,42.665
2020-11-01,25.49
2020-11-08,27.716
2020-11-15,21.738
2020-11-22,30.035
2020-11-29,35.867
2020-12-06,23.912
2020-12-13,26.069
2020-12-20,21.738
2020-12-27,40.215
2021-01-03,17.09
2021-01-10,31.098
2021-01-17,27.782
2021-01-24,27.077
2021-01-31,24.998
2021-02-07,51.595
2021-02-14,16.303
2021-02-21,29.011
2021-02-28,45.08
2021-03-07,33.0
2021-03-14,23.005
2021-03-28,27.983
2021-04-04,32.441
2021-04-11,37.052
2021-04-18,41.302
2021-04-25,26.085
2021-05-02,42.991
2021-05-09,20.651
2021-05-23,55.431
2021-05-30,16.303
2021-06-06,53.02
2021-06-13,31.751
2021-06-20,27.927
2021-06-27,25.542
2021-07-04,54.344
2021-07-11,46.33
2021-07-18,28.975
2021-07-25,24.998
2021-08-01,41.238
2021-08-08,46.818
2021-08-15,27.636
2021-08-29,23.213
2021-09-05,27.172
2021-09-19,35.068
2021-09-26,23.368
2021-10-03,94.334
2021-10-17,24.277
2021-10-24,31.984
2021-10-31,35.867
2021-11-07,23.912
2021-11-14,38.241
2021-11-21,23.813
2021-11-28,40.758
2021-12-05,21.738
2021-12-12,34.728
2021-12-19,24.998
2021-12-26,29.203
2022-01-02,57.663
2022-01-16,41.282
2022-01-30,30.676
2022-02-06,44.582
2022-02-13,36.712
2022-02-20,32.607
2022-02-27,20.895
2022-03-06,24.241
2022-03-13,46.826
2022-03-20,28.967
2022-03-27,37.0
2022-04-03,30.868
2022-04-10,39.961
2022-04-17,27.077
2022-04-24,21.52
2022-05-01,27.416
2022-05-08,26.904
2022-05-15,25.863
2022-05-22,39.563
2022-05-29,38.268
2022-06-05,37.032
2022-06-12,50.877
2022-06-19,66.739
2022-06-26,34.346
2022-07-03,28.911
2022-07-10,35.63
2022-07-17,36.244
2022-07-24,24.509
2022-07-31,29.889
2022-08-07,45.718
2022-08-14,48.634
2022-08-21,52.981
2022-08-28,51.508
2022-09-04,32.743
2022-09-11,50.593
2022-09-18,39.339
2022-09-25,22.202
2022-10-02,63.014
2022-10-09,55.414
2022-10-16,41.302
2022-10-23,38.697
2022-10-30,20.485
2022-11-06,38.67
2022-11-13,48.909
2022-11-20,18.004
2022-11-27,38.465
2022-12-04,34.732
2022-12-11,27.25
2022-12-18,41.673
2022-12-25,24.572
