,MVT_GT_El Paso TX
2017-01-01,40.0
2017-04-09,72.0
2017-04-16,25.0
2017-04-30,77.0
2017-05-28,20.0
2017-06-18,24.0
2017-07-02,23.0
2017-07-16,21.0
2017-07-30,31.0
2017-09-03,47.0
2017-09-10,19.0
2017-11-19,38.0
2017-12-31,52.0
2018-01-21,18.0
2018-01-28,25.0
2018-03-04,43.0
2018-03-18,58.0
2018-05-13,28.0
2018-05-27,26.0
2018-07-01,100.0
2018-08-19,23.0
2018-09-30,33.0
2018-11-18,42.0
2018-12-16,41.0
2019-01-13,18.0
2019-01-20,38.66373897707231
2019-05-19,28.76813384813385
2019-06-02,23.0
2019-08-18,33.0
2019-09-01,39.0
2019-09-29,28.0
2019-10-27,19.0
2019-11-24,32.0
2019-12-29,43.0
2020-01-05,22.0
2020-01-26,19.0
2020-03-29,59.0
2020-04-26,30.51208923208923
2020-06-07,29.0
2020-11-08,30.0
2020-12-06,27.93077077077077
2020-12-13,22.0
2020-12-27,18.0
2021-01-24,14.0
2021-01-31,15.0
2021-03-14,34.79121025787693
2021-04-11,15.0
2021-06-06,16.0
2021-06-20,21.0
2021-07-25,39.978025644692316
2021-08-15,44.0
2021-09-26,32.0
2021-10-17,29.0
2021-10-31,41.0
2021-11-07,38.0
2018-03-25,55.002204108870785
2018-04-01,57.56044616044617
2018-04-22,24.30329948996616
2018-06-17,24.30329948996616
2018-07-08,25.582420515753853
2018-08-26,44.76923590256924
2018-09-02,33.257146670480005
2018-10-21,67.79341436674771
2018-10-28,33.257146670480005
2018-11-25,55.002204108870785
2018-12-02,35.815388722055395
2018-12-23,26.861541541541545
2019-01-06,113.84177129510464
2019-01-27,35.815388722055395
2019-03-10,95.93407693407694
2019-03-24,57.56044616044617
2019-03-31,24.30329948996616
2019-04-14,65.23517231517232
2019-05-05,26.861541541541545
2019-05-26,127.91210257876926
2019-06-23,33.257146670480005
2019-10-06,118.95825539825542
2019-10-13,25.582420515753853
2019-11-10,44.76923590256924
2019-12-01,21.745057438390774
2019-12-15,23.024178464178465
2020-07-05,40.93187282520616
2020-07-19,42.21099385099386
2020-10-04,25.582420515753853
2020-10-18,98.49231898565233
2020-10-25,23.024178464178465
2021-01-03,19.18681538681539
2021-01-10,35.815388722055395
2021-03-07,19.18681538681539
2021-05-09,53.72308308308309
2021-05-30,28.140662567329237
2021-07-18,26.861541541541545
2021-09-12,42.21099385099386
2021-10-03,25.582420515753853
2021-10-24,35.815388722055395
2021-11-14,29.41978359311693
2022-02-13,44.76923590256924
2022-02-20,39.65275179941847
2022-03-13,35.815388722055395
2022-04-17,29.41978359311693
2022-05-01,30.69890461890462
2022-05-22,21.745057438390774
2022-06-26,24.30329948996616
2022-07-17,31.978025644692316
2022-07-24,20.46593641260308
2022-09-11,24.30329948996616
2022-10-02,17.907694361027698
2022-10-16,17.907694361027698
2022-10-23,26.861541541541545
2022-12-04,31.978025644692316
2022-12-11,16.628573335240002
2022-12-18,43.49011487678155
