date,El Paso TX
2017-01-01,30.186
2017-01-22,35.217
2017-01-29,24.309
2017-02-12,34.126
2017-03-05,38.177
2017-03-19,26.802
2017-04-09,43.475
2017-04-16,27.347
2017-04-23,39.268
2017-04-30,35.128
2017-05-28,18.699
2017-06-11,28.049
2017-06-18,55.474
2017-06-25,46.748
2017-07-02,21.504
2017-07-16,19.634
2017-07-23,33.97
2017-07-30,28.984
2017-08-20,20.569
2017-09-03,29.217
2017-09-10,44.41
2017-09-17,35.528
2017-10-01,76.043
2017-10-15,31.788
2017-11-05,34.593
2017-11-19,32.857
2017-11-26,27.114
2017-12-10,33.658
2017-12-17,25.244
2017-12-31,38.2
2018-01-14,31.788
2018-01-21,24.543
2018-01-28,23.374
2018-03-04,36.997
2018-03-18,54.227
2018-03-25,37.022
2018-04-01,45.0
2018-04-15,23.374
2018-04-22,26.351
2018-04-29,30.854
2018-05-13,58.902
2018-05-27,44.063
2018-06-10,29.045
2018-06-17,19.0
2018-07-01,65.213
2018-07-08,25.052
2018-07-22,43.008
2018-08-05,47.717
2018-08-19,39.105
2018-08-26,35.351
2018-09-02,26.993
2018-09-09,27.737
2018-09-16,48.754
2018-09-30,41.939
2018-10-14,61.707
2018-10-21,46.744
2018-10-28,25.649
2018-11-04,33.347
2018-11-18,60.806
2018-11-25,36.274
2018-12-02,30.225
2018-12-16,38.333
2018-12-23,33.237
2018-12-30,71.68
2019-01-06,61.142
2019-01-13,49.553
2019-01-20,32.407
2019-01-27,28.0
2019-02-03,39.418
2019-02-17,29.491
2019-02-24,33.964
2019-03-03,40.455
2019-03-10,55.078
2019-03-24,44.649
2019-03-31,35.142
2019-04-07,54.539
2019-04-14,45.972
2019-04-21,86.639
2019-05-05,26.425
2019-05-12,52.115
2019-05-19,25.652
2019-05-26,100.0
2019-06-02,21.504
2019-06-16,46.748
2019-06-23,30.127
2019-07-14,26.179
2019-07-28,47.717
2019-08-04,67.542
2019-08-11,47.683
2019-08-18,37.718
2019-08-25,26.97
2019-09-01,43.274
2019-09-08,22.439
2019-09-15,49.553
2019-09-22,27.114
2019-09-29,33.892
2019-10-06,69.953
2019-10-13,20.0
2019-10-20,40.203
2019-10-27,32.1
2019-11-10,35.0
2019-11-17,30.854
2019-11-24,49.241
2019-12-01,21.49
2019-12-15,31.294
2019-12-22,40.203
2019-12-29,40.203
2020-01-05,20.569
2020-01-26,17.764
2020-02-02,43.567
2020-02-09,93.495
2020-02-23,19.634
2020-03-01,24.309
2020-03-15,19.709
2020-03-29,48.15
2020-04-19,25.244
2020-04-26,46.547
2020-05-03,21.504
2020-05-10,19.709
2020-05-17,39.863
2020-05-24,20.569
2020-05-31,39.946
2020-06-07,22.25
2020-06-21,22.439
2020-06-28,54.227
2020-07-05,32.0
2020-07-19,34.885
2020-07-26,22.127
2020-08-16,29.919
2020-08-23,23.218
2020-08-30,27.114
2020-09-06,50.176
2020-09-27,29.919
2020-10-04,20.0
2020-10-11,38.568
2020-10-18,77.0
2020-10-25,30.721
2020-11-08,60.305
2020-11-22,21.504
2020-11-29,64.512
2020-12-06,23.563
2020-12-13,20.569
2020-12-20,37.398
2020-12-27,16.829
2021-01-03,18.188
2021-01-10,28.0
2021-01-17,51.932
2021-01-24,19.4
2021-01-31,14.024
2021-02-21,28.008
2021-03-07,15.0
2021-03-14,22.152
2021-03-21,45.813
2021-04-04,25.244
2021-04-11,14.024
2021-04-18,24.309
2021-05-02,25.711
2021-05-09,43.914
2021-05-16,29.919
2021-05-23,54.227
2021-05-30,23.311
2021-06-06,43.008
2021-06-13,31.12
2021-06-20,19.634
2021-06-27,39.268
2021-07-11,41.138
2021-07-18,23.038
2021-07-25,40.103
2021-08-01,64.512
2021-08-08,35.528
2021-08-15,41.138
2021-08-22,93.495
2021-09-12,32.413
2021-09-19,28.908
2021-09-26,58.381
2021-10-03,20.0
2021-10-17,27.114
2021-10-24,28.0
2021-10-31,42.122
2021-11-07,30.514
2021-11-14,23.0
2021-11-28,23.374
2021-12-19,26.179
2021-12-26,63.577
2022-01-09,27.412
2022-01-16,24.346
2022-01-23,60.612
2022-02-06,24.309
2022-02-13,37.29
2022-02-20,23.745
2022-02-27,19.936
2022-03-06,31.472
2022-03-13,29.832
2022-03-20,25.327
2022-03-27,38.381
2022-04-17,25.038
2022-04-24,14.64
2022-05-01,25.57
2022-05-08,45.813
2022-05-22,18.112
2022-05-29,45.813
2022-06-26,31.097
2022-07-03,74.759
2022-07-10,30.527
2022-07-17,31.198
2022-07-24,18.378
2022-08-07,49.528
2022-08-21,58.763
2022-09-04,45.727
2022-09-11,25.15
2022-09-25,19.634
2022-10-02,21.462
2022-10-09,40.203
2022-10-16,21.184
2022-10-23,22.374
2022-10-30,27.1
2022-11-20,38.498
2022-11-27,21.901
2022-12-04,24.649
2022-12-11,48.231
2022-12-18,23.461
