date,Fresno-Visalia CA
2017-01-01,38.333
2017-01-08,23.667
2017-01-15,29.0
2017-01-22,29.333
2017-02-19,40.333
2017-02-26,26.667
2017-03-05,45.0
2017-03-12,38.0
2017-03-19,61.167
2017-04-02,21.0
2017-04-16,50.0
2017-04-23,21.0
2017-04-30,35.0
2017-05-07,59.0
2017-05-14,23.0
2017-05-28,38.333
2017-06-25,49.0
2017-07-09,70.0
2017-07-23,27.0
2017-07-30,28.0
2017-08-06,19.333
2017-08-13,38.0
2017-08-27,37.333
2017-09-03,27.0
2017-09-10,20.0
2017-09-17,25.333
2017-09-24,20.0
2017-10-01,32.0
2017-10-08,40.25
2017-10-15,28.0
2017-10-22,50.0
2017-11-19,30.5
2017-11-26,26.0
2017-12-10,27.333
2017-12-17,29.833
2017-12-24,77.0
2017-12-31,35.0
2018-01-07,24.0
2018-01-21,47.0
2018-02-11,21.566
2018-02-18,21.0
2018-02-25,51.0
2018-03-04,38.0
2018-03-11,15.688
2018-03-18,23.531
2018-03-25,43.5
2018-04-01,58.0
2018-04-08,20.0
2018-04-15,31.333
2018-05-13,28.709
2018-05-27,48.575
2018-06-03,21.0
2018-06-24,68.5
2018-07-08,32.0
2018-07-15,20.49
2018-07-22,46.0
2018-07-29,34.0
2018-08-12,49.0
2018-08-19,30.044
2018-08-26,22.0
2018-09-02,31.042
2018-09-09,41.891
2018-09-16,69.313
2018-09-23,41.834
2018-09-30,48.323
2018-10-07,22.215
2018-10-14,21.899
2018-10-21,66.59
2018-11-04,33.0
2018-11-11,50.93
2018-11-25,27.333
2018-12-09,39.458
2018-12-16,34.942
2019-01-06,26.898
2019-01-13,22.0
2019-02-10,53.908
2019-02-24,24.0
2019-03-03,42.0
2019-03-10,24.0
2019-03-31,52.0
2019-04-14,30.0
2019-04-28,56.938
2019-05-05,54.0
2019-05-19,52.0
2019-06-02,22.0
2019-06-09,55.0
2019-06-16,23.508
2019-06-23,49.0
2019-06-30,38.236
2019-07-14,57.0
2019-07-21,34.0
2019-07-28,36.0
2019-08-04,26.412
2019-08-11,24.688
2019-08-18,21.233
2019-09-01,25.0
2019-09-08,30.333
2019-09-15,24.514
2019-09-29,25.3
2019-10-13,86.0
2019-10-27,28.427
2019-11-03,30.5
2019-11-10,44.0
2019-11-17,71.0
2019-11-24,25.0
2019-12-15,52.941
2019-12-22,55.0
2019-12-29,25.0
2020-01-05,86.931
2020-01-12,35.0
2020-01-19,22.0
2020-01-26,29.0
2020-02-02,19.213
2020-02-09,32.024
2020-02-16,22.602
2020-02-23,23.38
2020-03-01,26.146
2020-03-08,22.0
2020-03-15,36.836
2020-03-22,28.912
2020-04-12,21.608
2020-04-19,14.0
2020-04-26,23.0
2020-05-24,36.667
2020-05-31,30.0
2020-06-07,29.0
2020-06-14,18.0
2020-07-05,28.667
2020-07-19,23.398
2020-08-02,27.0
2020-08-09,21.0
2020-08-16,45.193
2020-08-23,27.583
2020-08-30,55.85
2020-09-13,19.0
2020-09-20,17.194
2020-10-04,36.333
2020-10-11,63.0
2020-11-01,25.0
2020-11-15,33.99
2020-11-22,46.073
2020-11-29,24.0
2020-12-06,30.333
2020-12-13,43.0
2020-12-27,39.535
2021-01-10,21.0
2021-01-24,26.795
2021-01-31,38.0
2021-02-07,17.0
2021-02-14,34.099
2021-02-21,66.0
2021-02-28,33.994
2021-03-07,23.675
2021-03-14,33.5
2021-03-21,24.516
2021-03-28,25.0
2021-04-04,27.0
2021-04-11,42.483
2021-04-18,19.74
2021-04-25,29.096
2021-05-02,37.903
2021-05-09,41.333
2021-05-16,36.111
2021-05-30,48.0
2021-06-06,62.0
2021-06-20,100.0
2021-06-27,31.479
2021-07-04,24.181
2021-07-11,48.667
2021-07-18,31.0
2021-08-01,24.0
2021-08-08,50.0
2021-08-15,18.302
2021-09-05,20.5
2021-09-19,44.0
2021-09-26,20.267
2021-10-03,19.0
2021-10-24,43.321
2021-10-31,34.0
2021-11-07,34.938
2021-11-21,40.0
2021-12-05,46.0
2021-12-12,42.5
2021-12-19,48.695
2021-12-26,39.07
2022-01-02,52.251
2022-01-09,42.632
2022-01-23,34.063
2022-01-30,30.962
2022-02-13,18.163
2022-02-27,25.0
2022-03-06,27.889
2022-03-27,59.667
2022-04-03,15.406
2022-04-10,34.0
2022-04-17,18.236
2022-04-24,22.667
2022-05-01,18.441
2022-05-08,48.0
2022-05-15,46.496
2022-05-22,14.743
2022-05-29,24.0
2022-06-05,31.0
2022-06-19,29.913
2022-06-26,22.0
2022-07-31,23.333
2022-08-07,27.719
2022-08-28,42.0
2022-09-11,21.983
2022-09-18,28.0
2022-09-25,34.612
2022-10-02,35.462
2022-10-09,44.0
2022-10-23,35.0
2022-10-30,21.446
2022-11-06,30.524
2022-11-13,19.0
2022-12-04,29.559
2022-12-18,23.0
