date,Houston TX
2017-01-01,97.762
2017-01-08,40.103
2017-01-15,23.293
2017-01-22,19.277
2017-01-29,39.96
2017-02-12,32.53
2017-02-19,100.0
2017-02-26,66.954
2017-03-05,43.029
2017-03-12,28.055
2017-03-19,36.833
2017-03-26,39.357
2017-04-02,45.382
2017-04-09,44.406
2017-04-16,17.47
2017-04-23,54.217
2017-04-30,40.964
2017-05-07,25.301
2017-05-14,73.15
2017-05-21,49.914
2017-05-28,46.299
2017-06-04,40.361
2017-06-11,43.718
2017-06-18,35.972
2017-06-25,40.275
2017-07-02,70.568
2017-07-09,23.924
2017-07-16,44.578
2017-07-23,34.596
2017-08-06,38.21
2017-08-13,47.504
2017-08-20,37.177
2017-08-27,27.367
2017-09-03,65.06
2017-09-10,48.537
2017-09-17,32.329
2017-09-24,27.711
2017-10-01,59.639
2017-10-08,40.103
2017-10-15,24.699
2017-10-22,60.442
2017-10-29,31.727
2017-11-05,20.683
2017-11-12,94.148
2017-11-19,47.59
2017-11-26,43.373
2017-12-03,19.793
2017-12-10,66.781
2017-12-17,33.735
2017-12-24,37.349
2017-12-31,43.89
2018-01-07,24.631
2018-01-14,21.336
2018-01-21,31.363
2018-01-28,43.045
2018-02-04,68.906
2018-02-11,48.339
2018-02-18,45.438
2018-02-25,14.246
2018-03-04,50.402
2018-03-11,35.803
2018-03-18,30.049
2018-03-25,40.464
2018-04-01,50.9
2018-04-08,64.648
2018-04-15,43.694
2018-04-22,51.023
2018-04-29,38.934
2018-05-06,17.118
2018-05-13,51.088
2018-05-20,33.034
2018-05-27,29.354
2018-06-03,61.597
2018-06-10,56.023
2018-06-17,36.598
2018-06-24,46.662
2018-07-01,37.677
2018-07-08,20.663
2018-07-15,48.551
2018-07-22,26.827
2018-07-29,24.989
2018-08-05,22.686
2018-08-12,30.165
2018-08-19,27.37
2018-08-26,41.427
2018-09-02,30.412
2018-09-09,28.025
2018-09-16,34.019
2018-09-23,93.515
2018-09-30,49.481
2018-10-07,36.015
2018-10-14,70.505
2018-10-21,19.57
2018-10-28,28.197
2018-11-04,20.496
