,MVT_GT_Jacksonville FL
2017-04-23,55.0
2017-04-30,31.0
2017-05-07,81.0
2017-06-04,30.0
2017-06-11,41.0
2017-06-18,45.0
2017-07-02,37.0
2017-07-09,53.0
2017-07-16,31.0
2017-07-23,52.0
2017-07-30,72.0
2017-08-27,35.0
2017-09-10,29.0
2017-10-08,27.0
2017-11-12,31.0
2017-11-19,28.0
2017-12-03,25.0
2017-12-31,18.0
2018-01-07,78.0
2018-02-04,23.0
2018-02-11,32.0
2018-02-18,21.0
2018-03-18,42.0
2018-03-25,21.0
2018-04-29,33.0
2018-05-13,24.0
2018-05-20,20.0
2018-06-17,24.0
2018-06-24,23.0
2018-08-12,43.0
2018-09-30,29.0
2018-10-28,29.0
2018-11-18,30.0
2018-12-02,33.0
2018-12-09,25.0
2018-12-16,33.0
2019-01-20,27.0
2019-01-27,20.0
2019-02-24,40.0
2019-03-03,47.0
2019-03-17,41.0
2019-03-31,42.0
2019-04-14,82.0
2019-04-21,35.0
2019-05-05,38.0
2019-05-12,36.0
2019-05-19,28.0
2019-07-07,25.0
2019-08-04,22.0
2019-08-18,21.0
2019-09-01,67.0
2019-09-15,32.0
2019-09-22,21.0
2019-11-10,24.0
2019-11-24,36.0
2019-12-08,42.0
2019-12-29,20.0
2020-01-05,32.0
2020-02-09,19.0
2020-02-16,54.0
2020-03-29,13.0
2020-04-05,15.0
2020-05-10,25.0
2020-05-17,17.0
2020-05-31,16.0
2020-06-07,14.0
2020-06-14,33.0
2020-06-21,14.0
2020-07-05,23.0
2020-07-26,14.0
2020-08-09,83.0
2020-09-20,14.0
2020-09-27,25.0
2020-11-22,30.0
2020-12-13,100.0
2020-12-27,21.0
2021-01-03,36.0
2021-01-10,29.0
2021-01-17,25.0
2021-01-31,51.0
2021-02-14,19.0
2021-02-21,15.0
2021-03-07,29.0
2021-04-11,40.0
2021-04-18,21.0
2021-04-25,46.0
2021-05-02,16.0
2021-06-06,17.0
2021-08-08,42.0
2021-08-15,32.0
2021-08-22,67.0
2021-10-10,26.0
2021-12-12,21.0
2022-01-02,19.0
2022-01-09,20.0
2022-01-30,37.0
2022-03-13,32.0
2022-03-20,16.0
2022-04-10,15.0
2022-04-24,12.0
2022-05-01,97.0
2022-06-12,15.0
2022-06-19,21.0
2022-08-21,19.0
2022-08-28,24.0
2022-09-04,39.0
2022-09-11,21.0
2022-09-18,14.0
2022-09-25,14.0
2022-10-02,15.0
2022-10-09,16.0
2022-10-16,21.0
2022-11-13,30.0
2022-11-27,16.0
2022-12-18,30.0
2022-12-25,51.0
