date,Jacksonville FL
2017-01-01,17.988
2017-01-08,44.97
2017-01-15,18.987
2017-01-29,17.988
2017-02-05,76.949
2017-02-26,26.982
2017-03-05,30.979
2017-03-12,36.531
2017-03-26,27.981
2017-04-02,20.986
2017-04-16,30.979
2017-04-23,35.476
2017-05-07,30.979
2017-05-14,34.977
2017-05-21,31.979
2017-06-04,10.993
2017-06-11,33.311
2017-06-18,27.981
2017-07-02,51.965
2017-07-09,30.979
2017-07-23,47.468
2017-08-06,26.982
2017-08-13,34.977
2017-08-27,17.988
2017-09-03,18.987
2017-10-08,31.979
2017-10-15,41.639
2017-10-22,21.153
2017-10-29,59.294
2017-11-12,28.481
2017-11-19,20.986
2017-12-10,26.857
2017-12-17,26.982
2017-12-31,27.482
2018-01-07,20.237
2018-02-11,31.636
2018-02-18,20.0
2018-02-25,27.239
2018-03-25,34.028
2018-04-01,16.989
2018-04-15,24.419
2018-04-22,31.715
2018-05-13,39.405
2018-05-20,23.993
2018-05-27,24.983
2018-06-03,26.882
2018-06-10,31.56
2018-06-17,20.986
2018-06-24,41.972
2018-07-01,18.832
2018-07-08,17.5
2018-07-22,47.968
2018-07-29,14.99
2018-08-05,36.057
2018-08-12,19.987
2018-08-19,22.985
2018-08-26,21.989
2018-09-02,22.757
2018-09-16,35.116
2018-09-23,16.989
2018-09-30,21.371
2018-10-07,60.778
2018-10-14,32.978
2018-10-21,14.994
2018-10-28,33.977
2018-11-04,46.219
2018-11-11,26.73
2018-11-18,33.484
2018-11-25,25.046
2018-12-02,47.623
2018-12-16,26.059
2018-12-23,69.213
2019-01-06,30.615
2019-01-13,12.0
2019-01-20,43.679
2019-01-27,15.995
2019-02-03,27.072
2019-02-10,36.975
2019-02-17,25.483
2019-03-03,53.714
2019-03-10,41.407
2019-03-17,20.986
2019-03-24,25.964
2019-03-31,15.495
2019-04-21,31.979
2019-04-28,34.869
2019-05-12,25.896
2019-05-19,26.96
2019-05-26,21.985
2019-06-09,40.161
2019-06-16,22.101
2019-06-23,23.227
2019-07-07,20.523
2019-07-14,50.966
2019-07-21,18.51
2019-08-11,12.0
2019-08-18,29.622
2019-09-01,23.984
2019-09-08,18.987
2019-09-29,38.112
2019-10-20,52.826
2019-10-27,24.847
2019-11-03,22.318
2019-11-10,32.011
2019-11-17,11.997
2019-11-24,23.235
2019-12-01,20.986
2019-12-08,27.981
2019-12-15,14.729
2019-12-22,29.773
2019-12-29,19.552
2020-01-05,26.32
2020-01-12,13.494
2020-01-19,26.314
2020-01-26,13.0
2020-02-09,26.882
2020-02-16,18.987
2020-03-01,46.871
2020-03-08,11.0
2020-03-22,12.991
2020-03-29,13.241
2020-04-05,38.974
2020-04-12,15.015
2020-04-26,18.987
2020-05-03,13.0
2020-05-17,14.715
2020-05-24,31.979
2020-05-31,21.985
2020-06-07,37.975
2020-06-14,19.987
2020-06-21,13.991
2020-06-28,32.279
2020-07-05,17.988
2020-07-12,48.255
2020-07-19,42.0
2020-07-26,28.552
2020-08-02,26.982
2020-08-09,22.654
2020-08-23,18.987
2020-09-06,14.0
2020-09-13,25.78
2020-09-20,11.992
2020-09-27,18.771
2020-10-11,18.987
2020-10-18,20.449
2020-11-08,33.072
2020-11-15,26.982
2020-11-29,15.989
2020-12-06,14.99
2020-12-13,18.0
2020-12-20,12.0
2020-12-27,17.738
2021-01-03,18.096
2021-01-10,23.017
2021-01-17,9.0
2021-01-31,23.733
2021-02-14,41.461
2021-02-21,17.5
2021-03-07,12.747
2021-03-14,15.989
2021-03-21,24.983
2021-03-28,50.966
2021-04-11,10.0
2021-04-18,14.0
2021-04-25,15.593
2021-05-02,23.807
2021-05-09,18.441
2021-05-16,30.71
2021-05-23,12.991
2021-06-06,54.211
2021-06-13,16.948
2021-06-27,19.06
2021-07-04,20.496
2021-07-18,100.0
2021-07-25,28.388
2021-08-08,17.988
2021-08-15,36.342
2021-08-22,20.847
2021-08-29,19.987
2021-09-12,17.7
2021-09-19,12.0
2021-09-26,25.282
2021-10-03,27.801
2021-11-07,15.989
2021-11-14,19.987
2021-11-21,21.943
2021-11-28,14.995
2021-12-05,25.0
2021-12-12,21.173
2021-12-26,48.5
2022-01-02,16.989
2022-01-16,11.34
2022-01-30,35.153
2022-02-06,11.0
2022-02-13,17.011
2022-02-20,21.502
2022-02-27,21.985
2022-03-06,21.466
2022-03-20,21.253
2022-03-27,14.803
2022-04-03,7.005
2022-04-10,18.992
2022-04-17,10.993
2022-05-01,15.161
2022-05-08,26.832
2022-05-15,15.501
2022-05-29,9.339
2022-06-05,39.354
2022-06-26,14.0
2022-07-03,27.194
2022-07-10,20.5
2022-07-31,19.331
2022-08-07,13.833
2022-08-14,17.011
2022-08-21,31.021
2022-09-04,18.452
2022-09-11,22.505
2022-09-18,28.599
2022-09-25,30.02
2022-10-02,20.594
2022-10-09,18.987
2022-10-23,24.983
2022-10-30,21.641
2022-11-13,19.647
2022-11-27,19.504
2022-12-04,12.341
2022-12-11,11.992
2022-12-18,17.988
2022-12-25,26.164
