date,Kansas City MO
2017-01-01,36.61
2017-01-08,33.145
2017-01-15,50.847
2017-01-22,32.768
2017-01-29,31.638
2017-02-05,51.412
2017-02-12,33.522
2017-02-19,28.625
2017-02-26,48.399
2017-03-05,22.599
2017-03-19,33.616
2017-04-02,41.808
2017-04-09,28.249
2017-04-16,29.944
2017-04-23,29.944
2017-04-30,47.834
2017-05-07,28.249
2017-05-14,67.42
2017-05-21,27.401
2017-05-28,44.068
2017-06-04,46.328
2017-06-18,20.339
2017-06-25,35.593
2017-07-09,83.427
2017-07-16,36.441
2017-07-23,23.729
2017-07-30,45.198
2017-08-06,26.742
2017-08-13,25.989
2017-08-20,41.808
2017-08-27,68.927
2017-09-03,33.898
2017-09-10,25.424
2017-09-24,24.859
2017-10-01,19.209
2017-10-08,48.588
2017-10-15,67.232
2017-10-22,27.119
2017-11-05,30.132
2017-11-12,38.795
2017-11-19,28.249
2017-11-26,60.075
2017-12-03,35.876
2017-12-24,42.938
2017-12-31,40.678
2018-01-07,69.674
2018-01-14,19.209
2018-01-21,32.768
2018-01-28,67.937
2018-02-04,62.982
2018-02-11,47.598
2018-02-18,53.12
2018-02-25,25.341
2018-03-04,55.965
2018-03-11,29.379
2018-03-18,62.147
2018-03-25,66.656
2018-04-01,55.744
2018-04-08,25.989
2018-04-22,26.742
2018-04-29,38.731
2018-05-06,76.836
2018-05-13,57.551
2018-05-27,40.471
2018-06-10,38.418
2018-06-17,34.463
2018-06-24,38.983
2018-07-01,35.694
2018-07-08,85.866
2018-07-15,37.288
2018-07-22,27.119
2018-07-29,36.158
2018-08-05,54.854
2018-08-12,40.678
2018-08-19,74.576
2018-08-26,32.015
2018-09-09,45.763
2018-09-16,51.929
2018-09-23,42.185
2018-09-30,43.691
2018-10-07,53.107
2018-10-21,34.181
2018-11-04,33.333
2018-11-11,51.503
2018-11-18,52.848
2018-11-25,24.859
2018-12-02,29.901
2018-12-16,50.187
2018-12-23,53.711
2018-12-30,34.94
2019-01-06,41.808
2019-01-13,41.393
2019-01-20,64.745
2019-01-27,23.729
2019-02-03,42.256
2019-02-17,43.511
2019-02-24,61.379
2019-03-03,92.655
2019-03-17,33.136
2019-03-24,29.379
2019-03-31,32.768
2019-04-07,97.656
2019-04-14,41.259
2019-04-21,58.601
2019-04-28,32.768
2019-05-05,24.964
2019-05-12,59.887
2019-05-19,59.887
2019-05-26,63.64
2019-06-02,30.508
2019-06-09,53.959
2019-06-16,49.415
2019-06-30,29.944
2019-07-07,37.665
2019-07-14,33.488
2019-07-21,85.718
2019-07-28,59.415
2019-08-04,37.288
2019-08-18,36.158
2019-08-25,38.136
2019-09-01,64.053
2019-09-08,35.593
2019-09-15,38.983
2019-09-29,35.452
2019-10-06,57.613
2019-10-13,26.923
2019-10-20,30.016
2019-10-27,36.457
