,MVT_GT_Las Vegas NV
2017-01-08,38.0
2017-01-22,40.0
2017-01-29,17.0
2017-03-05,28.0
2017-03-12,19.0
2017-03-19,33.0
2017-03-26,31.0
2017-04-09,73.0
2017-05-07,32.0
2017-05-14,31.0
2017-06-11,35.0
2017-06-25,23.0
2017-07-09,48.0
2017-07-23,20.0
2017-07-30,36.0
2017-08-20,24.0
2017-08-27,20.0
2017-09-03,20.0
2017-09-10,16.0
2017-09-24,18.0
2017-11-12,58.0
2017-11-19,24.0
2017-12-10,36.0
2017-12-17,22.0
2018-02-04,34.0
2018-02-11,19.0
2018-02-18,16.0
2018-03-04,20.0
2018-03-11,33.0
2018-03-18,21.0
2018-04-01,38.0
2018-04-08,22.0
2018-05-13,37.0
2018-05-27,28.0
2018-06-17,37.0
2018-06-24,52.0
2018-07-01,23.0
2018-07-08,53.0
2018-08-05,24.0
2018-08-26,20.0
2018-09-09,24.0
2018-09-30,36.0
2018-11-11,38.0
2018-11-25,43.0
2018-12-09,39.0
2018-12-16,18.0
2019-02-10,52.0
2019-02-17,29.0
2019-04-07,19.0
2019-04-21,17.0
2019-05-12,29.0
2019-06-16,25.0
2019-06-23,28.0
2019-07-28,19.0
2019-08-04,20.0
2019-08-18,37.0
2019-08-25,65.0
2019-09-01,40.0
2019-09-22,23.0
2019-10-06,100.0
2019-10-13,27.0
2019-10-27,24.0
2019-11-10,16.0
2019-11-17,28.0
2019-12-08,19.0
2019-12-15,31.0
2019-12-22,17.0
2019-12-29,21.0
2020-01-05,44.0
2020-01-19,24.0
2020-02-16,18.0
2020-02-23,14.0
2020-03-08,23.0
2020-04-05,54.0
2020-04-12,58.0
2020-04-19,17.0
2020-04-26,14.0
2020-05-10,58.0
2020-05-24,17.0
2020-05-31,61.0
2020-06-28,20.0
2020-07-19,61.0
2020-07-26,50.0
2020-08-09,42.0
2020-08-16,40.0
2020-08-30,16.0
2020-09-06,17.0
2020-09-20,13.0
2020-11-01,20.0
2020-11-22,29.0
2020-12-13,64.0
2020-12-20,21.0
2020-12-27,54.0
2021-01-03,15.0
2021-01-10,40.0
2021-02-14,15.0
2021-03-07,35.0
2021-03-14,32.0
2021-04-04,39.0
2021-04-18,36.0
2021-04-25,83.0
2021-05-02,21.0
2021-05-09,16.0
2021-05-23,26.0
2021-05-30,62.0
2021-07-04,34.0
2021-07-25,15.0
2021-08-01,44.0
2021-09-12,18.0
2021-09-19,32.0
2021-10-03,33.0
2021-10-17,49.0
2021-10-24,18.0
2021-10-31,22.0
2021-11-07,22.0
2021-11-14,17.0
2021-11-21,25.0
2021-11-28,38.0
2021-12-19,25.0
2021-12-26,20.0
2022-01-02,25.0
2022-01-16,39.0
2022-01-23,21.0
2022-01-30,17.0
2022-02-06,26.0
2022-02-13,16.0
2022-02-20,27.0
2022-02-27,39.0
2022-03-13,90.0
2022-03-27,50.0
2022-04-03,20.0
2022-04-10,57.0
2022-04-17,19.0
2022-04-24,19.0
2022-05-01,48.0
2022-05-08,16.0
2022-05-15,26.0
2022-05-29,32.0
2022-06-12,29.0
2022-06-19,34.0
2022-06-26,37.0
2022-07-10,21.0
2022-07-17,93.0
2022-07-31,28.0
2022-08-14,23.0
2022-08-21,56.0
2022-08-28,45.0
2022-09-04,16.0
2022-09-18,17.0
2022-09-25,80.0
2022-10-23,17.0
2022-11-06,22.0
2022-11-20,28.0
2022-11-27,34.0
2022-12-11,15.0
2022-12-18,22.0
