date,Las Vegas NV
2017-01-01,42.093
2017-01-08,24.246
2017-01-22,41.997
2017-01-29,20.205
2017-02-05,45.258
2017-02-19,23.74
2017-02-26,40.409
2017-03-05,23.74
2017-03-12,25.256
2017-03-26,75.094
2017-04-09,29.297
2017-04-16,18.184
2017-04-23,24.65
2017-04-30,21.72
2017-05-07,25.256
2017-05-14,42.43
2017-05-21,30.812
2017-05-28,19.194
2017-06-04,24.414
2017-06-11,24.246
2017-06-18,24.39
2017-06-25,38.389
2017-07-02,30.884
2017-07-09,58.594
2017-07-16,24.246
2017-07-23,26.266
2017-07-30,20.205
2017-08-06,26.266
2017-08-13,31.317
2017-08-20,42.285
2017-08-27,44.883
2017-09-03,37.379
2017-09-10,32.075
2017-09-17,14.817
2017-09-24,19.7
2017-10-08,58.391
2017-10-15,39.736
2017-11-12,28.287
2017-11-19,36.368
2017-12-10,22.225
2017-12-17,22.225
2017-12-31,25.256
2018-01-07,55.563
2018-01-14,16.164
2018-01-21,25.429
2018-01-28,20.134
2018-02-04,30.958
2018-02-11,32.857
2018-03-04,32.625
2018-03-11,31.184
2018-03-18,40.512
2018-04-01,37.305
2018-04-08,40.229
2018-04-22,28.623
2018-05-06,49.799
2018-05-13,37.247
2018-05-20,45.385
2018-05-27,24.241
2018-06-03,60.685
2018-06-10,17.174
2018-06-17,33.508
2018-06-24,18.184
2018-07-01,39.399
2018-07-08,43.661
2018-07-15,43.362
2018-07-22,33.872
2018-07-29,22.439
2018-08-05,21.345
2018-08-12,22.444
2018-08-19,32.899
2018-08-26,28.198
2018-09-02,74.713
2018-09-09,26.985
2018-09-16,44.439
2018-09-23,17.338
2018-10-07,23.235
2018-10-14,26.058
2018-10-21,72.737
2018-11-11,29.46
2018-11-18,40.456
2018-11-25,25.256
2018-12-02,22.225
2018-12-09,32.276
2018-12-23,29.457
2018-12-30,78.062
2019-01-06,34.582
2019-01-13,42.322
2019-01-20,33.332
2019-01-27,37.088
2019-02-03,30.744
2019-02-10,18.742
2019-02-17,20.931
2019-02-24,35.577
2019-03-10,24.019
2019-03-17,41.341
2019-04-07,53.429
2019-04-14,17.174
2019-04-28,46.357
2019-05-05,42.935
2019-05-12,20.146
2019-05-19,25.856
2019-06-02,63.017
2019-06-09,26.898
2019-06-16,32.327
2019-06-23,16.16
2019-06-30,44.555
2019-07-07,30.744
2019-07-14,41.168
2019-07-21,50.512
2019-07-28,27.568
2019-08-04,23.102
2019-08-11,33.626
2019-08-18,17.036
2019-08-25,18.254
2019-09-01,13.803
2019-09-08,25.171
2019-09-15,29.288
2019-09-22,26.901
2019-09-29,30.812
2019-10-06,37.151
2019-10-13,46.471
2019-10-20,31.705
2019-10-27,27.584
2019-11-03,28.456
2019-11-10,21.116
2019-11-17,24.859
2019-12-01,26.127
2019-12-08,26.596
2019-12-15,79.097
2019-12-22,36.509
2019-12-29,33.004
2020-01-05,32.327
2020-01-12,20.205
2020-01-19,32.656
2020-02-02,60.614
2020-02-09,32.782
2020-02-16,16.333
2020-02-23,22.526
2020-03-01,21.748
2020-03-15,31.317
2020-03-22,34.61
2020-04-05,16.164
2020-04-12,25.248
2020-04-26,18.535
2020-05-03,14.143
2020-05-10,20.522
2020-05-17,15.153
2020-05-24,26.97
2020-05-31,40.577
2020-06-07,20.538
2020-06-21,27.276
2020-06-28,20.403
2020-07-05,33.499
2020-07-19,24.246
2020-07-26,38.907
2020-08-02,63.645
2020-08-09,37.348
2020-08-16,22.94
2020-08-23,18.713
2020-09-06,26.901
2020-09-13,16.872
2020-09-20,28.685
2020-09-27,73.747
2020-10-04,40.808
2020-10-11,37.884
2020-10-18,29.881
2020-10-25,22.225
2020-11-01,17.174
2020-11-08,19.135
2020-11-15,20.128
2020-11-22,40.88
2020-12-06,26.641
2020-12-13,17.174
2020-12-20,37.135
2020-12-27,44.94
2021-01-03,29.607
2021-01-10,24.882
2021-01-17,29.152
2021-01-24,39.896
2021-01-31,14.476
2021-02-07,46.849
2021-02-14,42.276
2021-02-21,19.797
2021-02-28,42.43
2021-03-07,25.99
2021-03-14,40.407
2021-03-21,21.215
2021-03-28,18.184
2021-04-04,22.73
2021-04-11,31.705
2021-04-18,23.092
2021-04-25,34.172
2021-05-02,22.244
2021-05-09,16.494
2021-05-16,25.925
2021-05-23,16.164
2021-05-30,27.171
2021-06-06,31.784
2021-06-13,38.389
