,MVT_GT_Los Angeles CA
2017-01-01,55.0
2017-01-08,56.0
2017-01-15,70.0
2017-01-22,38.0
2017-01-29,67.0
2017-02-05,50.0
2017-02-12,29.0
2017-02-19,61.0
2017-02-26,33.0
2017-03-05,49.0
2017-03-12,40.0
2017-03-19,74.0
2017-03-26,35.0
2017-04-02,45.0
2017-04-09,58.0
2017-04-16,44.0
2017-04-23,23.0
2017-04-30,51.0
2017-05-07,60.0
2017-05-14,52.0
2017-05-21,48.0
2017-05-28,55.0
2017-06-04,45.0
2017-06-11,67.0
2017-06-18,39.0
2017-06-25,57.0
2017-07-02,67.0
2017-07-09,70.0
2017-07-16,48.0
2017-07-23,58.0
2017-07-30,37.0
2017-08-06,57.0
2017-08-13,90.0
2017-08-20,38.0
2017-08-27,37.0
2017-09-03,52.0
2017-09-10,54.0
2017-09-17,58.0
2017-09-24,46.0
2017-10-01,51.0
2017-10-08,39.0
2017-10-15,44.0
2017-10-22,47.0
2017-10-29,78.0
2017-11-05,51.0
2017-11-12,72.0
2017-11-19,58.0
2017-11-26,62.0
2017-12-03,41.0
2017-12-10,33.0
2017-12-17,69.0
2017-12-24,78.0
2017-12-31,60.0
2018-01-07,45.82944384606371
2018-01-14,49.90484783206951
2018-01-21,50.923698828570956
2018-01-28,59.07450680058254
2018-02-04,57.03680480757964
2018-02-11,43.29174185306082
2018-02-18,74.35727174810427
2018-02-25,57.03680480757964
2018-03-04,52.96140082157385
2018-03-11,34.12208288454779
2018-03-18,71.80071875859991
2018-03-25,47.36714583906661
2018-04-01,57.03680480757964
2018-04-08,38.197486870553575
2018-04-15,50.423698828570956
2018-04-22,31.06552989504344
2018-04-29,58.05565580408109
2018-05-06,65.18761277959123
2018-05-13,52.96140082157385
2018-05-20,89.12118569912454
2018-05-27,70.78186776209847
2018-06-03,66.70646377609268
2018-06-10,54.999102814576744
2018-06-17,42.27289085655937
2018-06-24,52.96140082157385
2018-07-01,38.697486870553575
2018-07-08,33.10323188804634
2018-07-15,85.04578171311874
2018-07-22,52.96140082157385
2018-07-29,52.96140082157385
2018-08-05,58.05565580408109
2018-08-12,46.84829484256517
2018-08-19,45.82944384606371
2018-08-26,34.62208288454779
2018-09-02,59.57450680058254
2018-09-09,43.29174185306082
2018-09-16,46.84829484256517
2018-09-23,40.73518886355647
2018-09-30,44.81059284956227
2018-10-07,50.923698828570956
2018-10-14,33.10323188804634
2018-10-21,54.499102814576744
2018-10-28,43.29174185306082
2018-11-04,72.31956975510136
2018-11-11,45.82944384606371
2018-11-18,56.01795381107819
2018-11-25,44.81059284956227
2018-12-02,56.01795381107819
2018-12-09,52.96140082157385
2018-12-16,53.9802518180753
2018-12-23,83.00807972011584
2018-12-30,73.83842075160281
2019-01-06,36.65978487755068
2019-01-13,39.216337867055024
2019-01-20,42.77289085655937
2019-01-27,67.22531477259412
2019-02-03,85.04578171311874
2019-02-10,24.952423916034753
2019-02-17,48.88599683556806
2019-02-24,40.73518886355647
2019-03-03,52.96140082157385
2019-03-10,25.971274912536202
2019-03-17,51.442549825072405
2019-03-24,39.216337867055024
2019-03-31,43.79174185306082
2019-04-07,21.39587092653041
2019-04-14,35.140933881049236
2019-04-21,35.140933881049236
2019-04-28,47.86714583906661
2019-05-05,62.63105979008688
2019-05-12,44.81059284956227
2019-05-19,69.26301676559703
2019-05-26,47.86714583906661
2019-06-02,49.40484783206951
2019-06-09,59.07450680058254
2019-06-16,50.923698828570956
2019-06-23,45.82944384606371
2019-06-30,40.23518886355647
2019-07-07,53.4802518180753
2019-07-14,59.07450680058254
2019-07-21,43.29174185306082
2019-07-28,37.678635874052134
2019-08-04,53.9802518180753
2019-08-11,51.942549825072405
2019-08-18,68.74416576909557
2019-08-25,59.07450680058254
2019-09-01,99.80969566413901
2019-09-08,45.32944384606371
2019-09-15,57.03680480757964
2019-09-22,48.38599683556806
