date,Los Angeles CA
2017-01-01,43.946
2017-01-08,60.136
2017-01-15,69.796
2017-01-22,43.401
2017-01-29,53.061
2017-02-05,51.837
2017-02-12,38.639
2017-02-19,52.517
2017-02-26,47.211
2017-03-05,59.32
2017-03-12,33.061
2017-03-19,77.823
2017-03-26,35.102
2017-04-02,47.891
2017-04-09,57.687
2017-04-16,58.503
2017-04-23,29.932
2017-04-30,47.755
2017-05-07,53.333
2017-05-14,44.49
2017-05-21,44.49
2017-05-28,46.667
2017-06-04,51.429
2017-06-11,62.177
2017-06-18,52.381
2017-06-25,42.585
2017-07-02,55.102
2017-07-09,48.571
2017-07-16,35.374
2017-07-23,51.565
2017-07-30,58.776
2017-08-06,65.17
2017-08-13,100.0
2017-08-20,48.163
2017-08-27,38.095
2017-09-03,50.884
2017-09-10,48.98
2017-09-17,40.0
2017-09-24,67.891
2017-10-01,56.735
2017-10-08,41.633
2017-10-15,53.061
2017-10-22,55.51
2017-10-29,80.952
2017-11-05,42.313
2017-11-12,74.422
2017-11-19,55.238
2017-11-26,78.231
2017-12-03,35.51
2017-12-10,30.068
2017-12-17,48.844
2017-12-24,63.537
2017-12-31,45.714
2018-01-07,33.262
2018-01-14,37.716
2018-01-21,65.769
2018-01-28,57.35
2018-02-04,72.924
2018-02-11,43.741
2018-02-18,71.401
2018-02-25,57.65
2018-03-04,48.704
2018-03-11,35.722
2018-03-18,41.309
2018-03-25,66.173
2018-04-01,63.178
2018-04-08,47.289
2018-04-15,43.552
2018-04-22,27.03
2018-04-29,54.673
2018-05-06,71.035
2018-05-13,59.514
2018-05-20,92.431
2018-05-27,53.143
2018-06-03,75.482
2018-06-10,45.07
2018-06-17,44.892
2018-06-24,62.662
2018-07-01,38.773
2018-07-08,51.728
2018-07-15,71.868
2018-07-22,59.125
2018-07-29,53.336
2018-08-05,48.933
2018-08-12,58.728
2018-08-19,50.145
2018-08-26,44.398
2018-09-02,37.957
2018-09-09,46.04
2018-09-16,41.437
2018-09-23,63.919
2018-09-30,41.745
2018-10-07,56.146
2018-10-14,24.139
2018-10-21,56.974
2018-10-28,53.698
2018-11-04,52.681
2018-11-11,52.373
2018-11-18,54.379
2018-11-25,47.223
2018-12-02,61.802
2018-12-09,60.143
2018-12-16,54.28
2018-12-23,73.547
2018-12-30,68.165
2019-01-06,55.566
2019-01-13,29.133
2019-01-20,42.676
2019-01-27,54.356
2019-02-03,71.153
2019-02-10,41.126
2019-02-17,52.22
2019-02-24,51.391
2019-03-03,64.612
2019-03-10,32.982
2019-03-17,61.533
2019-03-24,49.232
2019-03-31,29.32
2019-04-07,34.755
2019-04-14,52.733
2019-04-21,38.922
2019-04-28,53.98
2019-05-05,62.172
2019-05-12,61.097
2019-05-19,57.612
2019-05-26,43.843
2019-06-02,65.663
2019-06-09,54.65
2019-06-16,59.489
2019-06-23,39.996
2019-06-30,46.62
2019-07-07,64.051
2019-07-14,44.697
2019-07-21,39.942
2019-07-28,52.042
2019-08-04,44.525
2019-08-11,50.057
2019-08-18,75.767
2019-08-25,64.006
2019-09-01,73.547
2019-09-08,52.938
2019-09-15,55.482
2019-09-22,50.809
2019-09-29,79.823
2019-10-06,33.369
2019-10-13,27.717
2019-10-20,56.144
2019-10-27,59.036
2019-11-03,60.394
2019-11-10,38.928
2019-11-17,54.77
2019-11-24,23.582
2019-12-01,51.637
2019-12-08,51.069
2019-12-15,28.766
2019-12-22,31.615
2019-12-29,33.449
2020-01-05,52.627
2020-01-12,65.447
2020-01-19,43.833
2020-01-26,46.203
2020-02-02,62.571
2020-02-09,51.147
2020-02-16,60.005
2020-02-23,69.443
2020-03-01,42.054
2020-03-08,26.834
2020-03-15,52.974
2020-03-22,25.534
2020-03-29,34.015
2020-04-05,49.41
2020-04-12,48.247
2020-04-19,31.443
2020-04-26,71.753
2020-05-03,56.687
2020-05-10,42.309
2020-05-17,50.729
2020-05-24,54.654
2020-05-31,66.787
2020-06-07,36.112
2020-06-14,37.85
2020-06-21,56.62
2020-06-28,41.43
2020-07-05,46.165
2020-07-12,46.886
2020-07-19,59.479
2020-07-26,71.857
2020-08-02,40.729
2020-08-09,38.328
2020-08-16,32.733
2020-08-23,53.892
2020-08-30,26.632
2020-09-06,28.533
2020-09-13,43.472
2020-09-20,49.615
2020-09-27,45.421
2020-10-04,52.282
2020-10-11,42.331
2020-10-18,50.974
2020-10-25,36.562
2020-11-01,52.909
2020-11-08,64.719
