,MVT_GT_Louisville KY
2017-01-29,23.0
2017-02-12,52.0
2017-03-05,15.0
2017-03-26,17.0
2017-04-09,27.0
2017-04-16,25.0
2017-06-18,16.0
2017-07-02,20.0
2017-07-09,20.0
2017-07-30,29.0
2017-08-13,43.0
2017-09-17,40.0
2017-09-24,20.0
2017-10-01,18.0
2017-11-12,22.0
2017-12-31,41.0
2018-01-07,30.0
2018-01-28,51.0
2018-04-01,36.0
2018-04-29,44.0
2018-05-13,19.0
2018-07-01,87.0
2018-07-08,19.0
2018-08-12,28.0
2018-09-02,21.0
2018-09-09,33.0
2018-11-25,16.0
2018-12-02,16.0
2018-12-16,16.0
2018-12-23,31.0
2018-12-30,33.0
2019-01-20,23.0
2019-02-03,38.0
2019-02-10,35.0
2019-03-17,22.0
2019-04-07,14.0
2019-05-12,34.0
2019-06-23,27.0
2019-07-07,17.0
2019-07-28,35.0
2019-08-04,24.0
2019-09-29,24.0
2019-10-06,15.0
2019-10-13,14.0
2019-10-20,23.0
2019-11-03,16.0
2019-12-08,26.0
2019-12-29,45.0
2020-02-02,28.0
2020-02-09,34.0
2020-02-23,12.0
2020-03-15,24.0
2020-03-22,15.0
2020-04-05,32.0
2020-04-12,16.0
2020-04-26,14.0
2020-05-10,20.0
2020-05-17,40.0
2020-06-28,20.0
2020-07-26,27.0
2020-08-02,29.0
2020-08-09,16.0
2020-08-16,26.0
2020-09-06,15.0
2020-09-27,14.0
2020-10-11,25.0
2020-11-01,16.0
2020-11-22,31.0
2020-12-06,55.0
2020-12-20,21.0
2021-01-10,19.0
2021-01-17,20.0
2021-01-24,30.0
2021-02-21,18.0
2021-03-21,33.0
2021-05-02,44.0
2021-06-06,30.0
2021-09-05,19.0
2021-09-12,25.0
2021-09-26,49.0
2021-10-17,22.0
2021-11-14,100.0
2021-12-19,20.0
2022-02-27,25.0
2022-03-27,40.0
2022-04-24,17.0
2022-05-01,12.0
2022-05-08,25.0
2022-05-22,15.0
2022-05-29,30.0
2022-06-05,17.0
2022-06-26,14.0
2022-07-24,22.0
2022-08-14,42.0
2022-08-28,44.0
2022-09-11,13.0
2022-09-25,22.0
2022-10-02,16.0
2022-10-09,86.0
2022-10-30,27.0
2022-11-13,16.0
