date,Louisville KY
2017-01-01,53.0
2017-01-15,26.5
2017-01-29,24.5
2017-02-26,37.0
2017-03-12,15.0
2017-03-26,17.0
2017-04-09,21.0
2017-04-16,24.0
2017-05-14,17.0
2017-06-04,23.0
2017-06-11,22.0
2017-07-30,49.25
2017-08-06,34.0
2017-10-01,39.0
2017-10-08,34.25
2017-10-22,49.0
2017-10-29,30.0
2017-11-05,23.0
2017-11-12,27.0
2017-11-26,17.0
2017-12-31,100.0
2018-02-25,54.803
2018-03-04,14.812
2018-03-25,19.0
2018-04-29,36.0
2018-05-13,17.183
2018-05-20,37.0
2018-05-27,59.492
2018-06-17,21.0
2018-07-15,28.0
2018-08-05,26.0
2018-08-12,18.0
2018-08-26,17.183
2018-09-02,50.0
2018-09-16,18.0
2018-09-30,19.0
2018-10-07,71.0
2018-10-14,28.168
2018-10-28,24.839
2018-11-04,27.667
2018-11-11,50.0
2018-11-18,61.16
2018-11-25,18.64
2018-12-30,28.168
2019-01-06,23.092
2019-01-27,39.152
2019-02-10,21.546
2019-02-24,73.0
2019-03-03,33.0
2019-03-31,27.0
2019-04-28,68.0
2019-05-05,15.269
2019-05-12,20.442
2019-05-26,91.202
2019-06-09,37.238
2019-06-16,47.265
2019-06-23,18.0
2019-07-07,16.226
2019-07-14,22.0
2019-07-28,51.0
2019-08-04,52.503
2019-08-11,19.906
2019-09-08,36.0
2019-09-15,24.339
2019-09-29,19.0
2019-10-06,15.225
2019-10-13,10.984
2019-10-27,33.0
2019-11-10,19.0
2019-11-17,22.925
2019-12-08,27.249
2019-12-29,33.0
2020-01-12,12.398
2020-01-26,34.0
2020-02-02,16.726
2020-02-09,25.333
2020-03-15,49.441
2020-03-22,15.0
2020-04-12,30.481
2020-04-19,18.14
2020-04-26,13.0
2020-05-17,19.0
2020-05-24,49.695
2020-05-31,53.964
2020-06-07,26.0
2020-06-14,20.714
2020-06-21,35.774
2020-06-28,16.0
2020-07-05,19.0
2020-07-26,17.0
2020-08-02,38.0
2020-08-09,27.0
2020-08-16,39.464
2020-08-23,40.231
2020-09-20,18.003
2020-09-27,100.0
2020-10-25,38.0
2020-11-01,49.0
2020-11-08,23.882
2020-11-15,37.238
2020-11-22,43.0
2021-01-03,25.796
2021-01-17,31.692
2021-01-24,13.855
2021-01-31,13.855
2021-02-28,32.0
2021-03-07,55.742
2021-03-14,26.014
2021-03-21,26.333
2021-03-28,42.023
2021-04-11,27.0
2021-04-18,33.0
2021-05-09,22.406
2021-05-30,26.0
2021-06-13,31.0
2021-07-04,53.964
2021-07-11,53.0
2021-07-18,37.667
2021-08-01,38.046
2021-08-08,24.0
2021-08-15,56.0
2021-08-22,20.0
2021-09-05,38.0
2021-09-12,17.183
2021-09-19,35.0
2021-09-26,68.0
2021-11-07,23.382
2021-11-21,27.211
2021-11-28,24.0
2021-12-05,25.796
2021-12-26,30.531
2022-01-02,31.0
2022-01-09,24.0
2022-01-16,24.679
2022-01-23,50.0
2022-01-30,24.82
2022-03-06,26.0
2022-03-13,28.0
2022-03-20,40.0
2022-03-27,31.0
2022-04-03,24.0
2022-04-17,24.006
2022-05-01,36.0
2022-05-08,25.148
2022-06-05,24.0
2022-06-12,22.851
2022-07-10,20.109
2022-07-17,21.0
2022-08-07,17.367
2022-08-14,21.023
2022-08-21,30.627
2022-08-28,25.963
2022-09-18,34.667
2022-09-25,42.713
2022-10-02,37.0
2022-10-09,29.718
2022-10-16,12.796
2022-11-06,16.453
2022-11-13,44.0
2022-12-04,25.593
2022-12-11,29.0
2022-12-18,13.711
