,MVT_GT_Memphis TN
2017-01-08,32.0
2017-01-15,12.0
2017-01-22,20.0
2017-01-29,17.0
2017-02-12,29.0
2017-03-05,28.0
2017-03-26,17.0
2017-04-09,17.0
2017-04-30,12.0
2017-05-14,31.0
2017-05-21,20.0
2017-06-04,68.0
2017-06-25,23.0
2017-07-16,15.0
2017-08-06,21.0
2017-09-03,17.0
2017-09-24,32.0
2017-10-01,18.0
2017-10-08,19.0
2017-10-29,13.0
2017-11-12,14.0
2017-11-19,38.0
2017-11-26,24.0
2018-01-07,16.0
2018-02-04,36.0
2018-02-25,13.0
2018-03-25,47.0
2018-04-15,28.0
2018-05-20,29.0
2018-06-17,13.0
2018-07-01,13.0
2018-07-22,18.0
2018-08-05,28.0
2018-08-12,15.0
2018-09-09,17.0
2018-09-16,42.0
2018-10-21,50.0
2018-11-25,12.0
2018-12-09,12.0
2018-12-30,30.0
2019-01-27,21.0
2019-02-10,18.0
2019-02-24,23.0
2019-03-17,14.0
2019-03-24,12.0
2019-04-21,18.0
2019-05-12,100.0
2019-06-30,15.0
2019-07-21,15.0
2019-07-28,24.0
2019-08-18,20.0
2019-09-08,24.0
2019-09-15,13.0
2019-09-29,65.0
2019-10-06,29.0
2019-10-20,55.0
2019-11-03,19.0
2019-12-01,12.0
2019-12-08,12.0
2019-12-15,20.0
2019-12-22,12.0
2019-12-29,69.0
2020-01-19,12.0
2020-01-26,24.0
2020-02-02,33.0
2020-02-16,14.0
2020-02-23,23.0
2020-04-19,27.0
2020-05-03,16.0
2020-05-24,14.0
2020-05-31,17.0
2020-06-14,18.0
2020-08-02,13.0
2020-08-23,43.0
2020-09-20,54.0
2020-09-27,27.0
2020-10-25,15.0
2020-12-13,12.0
2020-12-27,17.0
2021-01-03,39.0
2021-01-17,20.0
2021-03-21,40.0
2021-04-11,16.0
2021-05-09,14.0
2021-06-27,25.0
2021-07-11,12.0
2021-07-18,19.0
2021-08-22,12.0
2021-08-29,16.0
2021-09-05,33.0
2021-10-17,51.0
2021-10-24,26.0
2021-11-07,38.0
2021-12-05,27.0
2022-01-09,15.0
2022-01-23,16.0
2022-02-13,13.0
2022-02-20,25.0
2022-03-06,9.0
2022-04-10,10.0
2022-04-17,14.0
2022-05-01,8.0
2022-05-08,9.0
2022-05-15,13.0
2022-05-22,16.0
2022-06-05,21.0
2022-06-12,43.0
2022-07-10,12.0
2022-07-17,39.0
2022-08-07,11.0
2022-08-14,13.0
2022-08-21,10.0
2022-09-18,10.0
2022-10-30,19.0
2022-11-06,20.0
2022-11-13,22.0
2022-11-20,19.0
2022-11-27,16.0
2022-12-11,31.0
2022-12-18,14.0
