date,Memphis TN
2017-01-01,25.333
2017-01-08,41.75
2017-01-15,77.0
2017-01-22,34.6
2017-01-29,21.0
2017-02-05,18.0
2017-02-12,58.0
2017-02-19,57.667
2017-03-19,59.0
2017-04-02,29.5
2017-04-16,28.0
2017-04-23,33.0
2017-04-30,17.0
2017-05-14,25.8
2017-05-21,40.75
2017-05-28,21.0
2017-06-18,18.0
2017-06-25,24.5
2017-07-02,18.0
2017-07-09,24.0
2017-07-16,62.0
2017-07-23,22.0
2017-07-30,30.333
2017-08-06,34.8
2017-08-13,18.0
2017-08-20,13.0
2017-09-03,58.0
2017-09-10,14.0
2017-09-17,11.0
2017-09-24,20.0
2017-10-01,28.0
2017-10-08,40.2
2017-10-15,44.0
2017-10-22,21.0
2017-11-05,17.0
2017-11-19,34.0
2017-11-26,38.333
2017-12-03,40.0
2017-12-10,99.0
2017-12-17,17.0
2017-12-31,24.0
2018-01-07,74.854
2018-01-14,21.255
2018-01-21,39.83
2018-02-04,13.0
2018-02-11,46.894
2018-02-18,26.0
2018-02-25,15.0
2018-03-11,25.924
2018-03-18,57.102
2018-04-01,27.634
2018-04-08,25.0
2018-04-15,89.913
2018-04-22,26.226
2018-04-29,28.127
2018-05-20,40.0
2018-05-27,26.652
2018-06-10,34.989
2018-06-17,33.055
2018-06-24,25.639
2018-07-01,58.411
2018-07-08,23.023
2018-07-15,53.304
2018-08-05,34.82
2018-08-12,22.848
2018-08-26,15.0
2018-09-02,38.399
2018-09-09,32.0
2018-09-23,17.0
2018-09-30,27.665
2018-10-07,47.719
2018-10-21,23.979
2018-10-28,55.837
2018-11-04,38.229
2018-11-11,26.0
2018-11-25,32.65
2018-12-02,17.44
2018-12-09,27.5
2018-12-16,14.0
2018-12-23,23.163
2018-12-30,24.459
2019-01-06,14.0
2019-01-20,66.124
2019-01-27,54.483
2019-02-03,30.024
2019-02-10,19.913
2019-02-17,13.0
2019-02-24,20.46
2019-03-03,28.922
2019-03-17,55.329
2019-04-28,27.935
2019-05-05,19.435
2019-05-12,23.042
2019-05-19,12.304
2019-06-02,41.83
2019-06-09,23.381
2019-06-16,27.642
2019-07-07,16.0
2019-07-14,25.639
2019-07-21,100.0
2019-07-28,31.036
2019-08-04,21.588
2019-08-11,16.196
2019-08-18,27.833
2019-08-25,12.995
2019-09-01,24.718
2019-09-08,37.913
2019-09-15,13.0
2019-09-22,22.268
2019-09-29,53.079
2019-10-06,19.859
2019-10-20,25.924
2019-11-03,60.348
2019-11-17,19.229
2019-11-24,20.087
2019-12-01,20.242
2019-12-22,28.677
2019-12-29,41.123
2020-01-05,29.201
2020-01-19,25.567
2020-01-26,45.411
2020-02-02,26.0
2020-02-09,25.258
2020-03-08,22.527
2020-03-22,13.152
2020-04-05,21.729
2020-04-12,17.593
2020-04-19,22.442
2020-04-26,11.0
2020-05-03,12.0
2020-05-17,55.998
2020-05-31,17.083
2020-06-14,68.093
2020-06-21,29.439
2020-06-28,62.249
2020-07-05,40.674
2020-07-12,19.675
2020-07-19,16.0
2020-07-26,46.759
2020-08-02,19.96
2020-08-09,13.0
2020-08-23,35.696
2020-09-06,19.144
2020-09-13,11.0
2020-09-20,24.664
2020-10-04,19.483
2020-10-11,20.85
2020-11-08,25.5
2020-11-15,37.098
2020-11-22,11.0
2020-12-06,15.467
2020-12-13,20.5
2020-12-20,35.035
2020-12-27,13.0
2021-01-03,12.0
2021-01-17,20.0
2021-02-07,36.533
2021-02-14,24.859
2021-02-21,23.652
2021-02-28,28.626
2021-03-07,33.0
2021-03-14,31.844
2021-03-21,40.194
2021-03-28,20.452
2021-04-04,14.0
2021-04-11,21.506
2021-04-18,21.95
2021-05-02,13.12
2021-05-09,23.0
2021-05-23,14.5
2021-06-13,33.047
2021-06-27,45.357
2021-07-04,27.998
2021-07-11,24.983
2021-08-01,26.252
2021-08-08,11.0
2021-08-15,14.25
2021-08-22,15.0
2021-09-05,24.791
2021-09-19,20.906
2021-09-26,19.962
2021-10-03,26.521
2021-10-10,23.951
2021-10-17,27.93
2021-10-24,23.839
2021-10-31,23.533
2021-11-21,33.643
2021-12-05,39.098
2021-12-12,16.0
2021-12-19,25.408
2022-01-02,32.05
2022-01-09,40.597
2022-02-06,12.0
2022-02-13,18.162
2022-03-06,18.121
2022-03-13,27.0
2022-03-20,13.0
2022-03-27,30.982
2022-04-03,30.657
2022-04-10,38.723
2022-04-24,31.0
2022-05-01,38.839
2022-05-08,16.08
2022-05-15,21.367
2022-05-22,18.913
2022-06-26,11.979
2022-07-03,18.249
2022-07-10,45.066
2022-07-17,54.047
2022-07-31,84.126
2022-08-21,35.473
2022-08-28,10.087
2022-09-11,13.239
2022-09-18,43.703
2022-10-09,34.0
2022-10-16,21.674
2022-10-23,36.153
2022-10-30,11.979
2022-11-13,19.645
2022-11-20,19.0
2022-11-27,26.644
2022-12-04,50.473
2022-12-11,10.804
2022-12-25,20.174
