,MVT_GT_Miami-Ft. Lauderdale FL
2017-01-08,30.0
2017-01-15,38.0
2017-01-22,22.0
2017-01-29,80.0
2017-02-05,63.0
2017-02-12,21.0
2017-02-19,28.0
2017-02-26,43.0
2017-03-12,41.0
2017-03-19,30.0
2017-03-26,48.0
2017-04-09,55.0
2017-04-16,33.0
2017-04-23,19.0
2017-04-30,41.0
2017-05-07,27.0
2017-05-21,74.0
2017-06-18,25.0
2017-07-02,32.0
2017-08-06,34.0
2017-08-13,100.0
2017-08-20,22.0
2017-09-03,17.0
2017-09-10,46.0
2017-09-24,43.0
2017-10-15,70.0
2017-10-22,60.0
2017-10-29,34.0
2017-11-05,36.0
2017-11-12,43.0
2017-11-19,27.0
2017-12-17,41.0
2017-12-24,45.0
2018-01-07,21.82242880437364
2018-01-28,68.01334767088858
2018-02-04,15.230306288838314
2018-02-18,28.30106663435088
2018-02-25,54.94258732537602
2018-03-11,38.32576572209578
2018-03-18,67.12683235644667
2018-04-01,36.16621977877004
2018-04-15,56.71561795425985
2018-04-22,25.75500537658322
2018-04-29,27.914551319908966
2018-05-06,20.935913489931725
2018-05-27,45.304403552073026
2018-06-10,16.11682160328023
2018-06-24,25.75500537658322
2018-07-01,25.25500537658322
2018-07-15,48.85046480984069
2018-07-22,41.87182697986345
2018-07-29,20.04939817548981
2018-08-19,16.11682160328023
2018-08-26,17.003336917722145
2018-09-09,56.71561795425985
2018-10-07,77.15153144419156
2018-10-21,42.758342294305365
2018-10-28,23.095459433257474
2018-11-18,18.276367546605975
2018-11-25,34.89318914988621
2018-12-09,34.00667383544429
2018-12-16,20.935913489931725
2018-12-23,18.276367546605975
2019-01-06,41.87182697986345
2019-01-13,17.003336917722145
2019-01-20,23.98197474769939
2019-02-03,45.304403552073026
2019-02-10,74.1054701864239
2019-02-17,28.80106663435088
2019-02-24,16.11682160328023
2019-03-03,21.82242880437364
2019-03-17,27.914551319908966
2019-03-24,24.868490062141305
2019-03-31,17.88985223216406
2019-04-14,30.074097263234712
2019-04-21,27.02803600546705
2019-04-28,35.27970446432812
2019-05-05,37.05273509321195
2019-05-12,52.78304138205027
2019-05-19,54.0560720109341
2019-06-02,34.00667383544429
2019-06-09,20.935913489931725
2019-06-16,61.921225155353255
2019-06-23,34.89318914988621
2019-07-14,33.12015852100238
2019-07-21,33.12015852100238
2019-07-28,53.66955669649219
2019-08-04,44.91788823763111
2019-08-25,39.7122810365377
2019-09-01,35.27970446432812
2019-09-15,34.89318914988621
2019-09-22,27.914551319908966
2019-10-13,34.39318914988621
2019-10-20,41.87182697986345
2019-11-17,37.05273509321195
2019-11-24,56.21561795425985
2019-12-01,15.230306288838314
2019-12-15,30.960612577676628
2019-12-22,25.25500537658322
2019-12-29,30.960612577676628
2020-01-05,25.75500537658322
2020-01-12,27.02803600546705
2020-01-19,26.141520691025136
2020-01-26,35.77970446432812
2020-02-02,54.0560720109341
2020-02-23,31.847127892118543
2020-03-01,51.89652606760835
2020-03-08,22.708944118815555
2020-03-15,34.89318914988621
2020-03-22,18.276367546605975
2020-03-29,24.368490062141305
2020-04-05,25.25500537658322
2020-04-19,28.80106663435088
2020-05-17,27.914551319908966
2020-05-24,23.095459433257474
2020-06-07,30.074097263234712
2020-06-14,48.85046480984069
2020-06-21,47.07743418095686
2020-06-28,36.66621977877004
2020-07-05,23.095459433257474
2020-07-19,29.687581948792797
2020-08-09,33.12015852100238
2020-08-23,26.641520691025136
2020-08-30,41.87182697986345
2020-09-13,17.88985223216406
2020-09-20,15.730306288838314
2020-10-11,24.868490062141305
2020-10-18,24.368490062141305
2020-11-01,26.141520691025136
2020-11-08,44.91788823763111
2020-11-15,23.98197474769939
2020-11-22,17.003336917722145
2020-12-13,17.88985223216406
2021-01-10,25.25500537658322
2021-01-24,29.187581948792797
2021-02-07,42.258342294305365
2021-02-21,40.985311665421534
2021-03-07,14.843790974396398
2021-03-21,17.88985223216406
2021-03-28,27.914551319908966
2021-04-25,20.935913489931725
2021-05-02,44.91788823763111
2021-05-09,51.01001075316644
2021-05-16,34.89318914988621
2021-05-23,46.19091886651495
2021-06-13,49.23698012428261
2021-06-20,62.80774046979518
2021-06-27,24.868490062141305
2021-07-11,27.914551319908966
2021-07-25,51.01001075316644
2021-08-01,52.78304138205027
2021-08-29,42.258342294305365
2021-09-05,32.23364320656046
2021-09-12,27.914551319908966
2021-09-19,44.031372923189195
2021-09-26,24.868490062141305
2021-10-24,16.11682160328023
2021-10-31,17.003336917722145
2021-11-14,23.095459433257474
2021-11-21,20.04939817548981
2021-12-19,23.595459433257474
2021-12-26,36.66621977877004
2022-01-02,35.55940892865625
2022-01-09,25.510010753166437
2022-01-23,33.240317042004754
2022-02-06,43.28971521749456
2022-02-13,51.020021506332874
2022-02-27,23.190918866514945
2022-03-13,30.148194526469428
2022-03-20,41.7436539597269
2022-03-27,57.97729716628736
2022-04-03,30.92122515535326
2022-04-10,13.141520691025134
2022-04-17,43.28971521749456
2022-04-24,33.240317042004754
2022-05-01,51.793052135216705
2022-05-15,20.09879635097962
2022-05-22,28.602133268701763
2022-05-29,34.786378299772416
2022-06-05,21.64485760874728
2022-06-12,61.06941968182269
2022-06-19,30.92122515535326
2022-06-26,27.829102639817933
2022-07-03,68.799725970661
2022-07-17,55.658205279635865
2022-07-24,35.55940892865625
2022-07-31,16.233643206560462
2022-08-21,27.829102639817933
2022-09-04,21.64485760874728
2022-09-11,45.60880710414605
2022-09-18,37.87850081530774
2022-09-25,21.64485760874728
2022-10-02,37.87850081530774
2022-10-09,44.83577647526222
2022-10-16,24.736980124282606
2022-10-23,40.19759270195924
2022-10-30,70.34578722842866
2022-11-06,25.510010753166437
2022-11-13,20.09879635097962
2022-11-20,33.240317042004754
2022-11-27,31.69425578423709
2022-12-04,32.467286413120924
2022-12-18,17.006673835444293
2022-12-25,29.375163897585594
