date,Miami-Ft. Lauderdale FL
2017-01-01,26.741
2017-01-08,42.413
2017-01-15,29.851
2017-01-22,36.07
2017-01-29,100.0
2017-02-05,24.098
2017-02-12,41.915
2017-02-26,45.647
2017-03-05,30.224
2017-03-12,41.169
2017-03-19,37.002
2017-03-26,43.532
2017-04-02,21.144
2017-04-09,46.517
2017-04-16,24.165
2017-04-23,40.174
2017-04-30,39.801
2017-05-07,37.313
2017-05-14,35.181
2017-05-21,46.553
2017-05-28,27.896
2017-06-04,24.165
2017-06-11,30.1
2017-06-18,37.065
2017-06-25,45.709
2017-07-02,44.421
2017-07-09,34.359
2017-07-16,27.363
2017-07-23,34.95
2017-07-30,16.169
2017-08-06,40.05
2017-08-13,56.716
2017-08-20,47.73
2017-08-27,22.388
2017-09-03,19.9
2017-09-10,88.308
2017-09-17,16.169
2017-09-24,54.016
2017-10-01,16.667
2017-10-08,45.243
2017-10-15,93.284
2017-10-22,34.577
2017-10-29,27.861
2017-11-05,53.016
2017-11-12,94.652
2017-11-26,26.368
2017-12-03,35.714
2017-12-10,51.493
2017-12-17,25.942
2017-12-24,26.652
2017-12-31,24.876
2018-01-07,34.354
2018-01-14,24.969
2018-01-21,37.251
2018-01-28,25.599
2018-02-04,18.939
2018-02-11,29.818
2018-02-18,23.684
2018-02-25,26.791
2018-03-04,58.362
2018-03-11,19.899
2018-03-18,48.64
2018-03-25,45.664
2018-04-01,57.345
2018-04-15,58.953
2018-04-22,54.008
2018-04-29,17.052
2018-05-06,36.209
2018-05-13,29.839
2018-05-20,21.699
2018-05-27,33.915
2018-06-03,46.04
2018-06-10,31.491
2018-06-24,20.727
2018-07-01,24.3
2018-07-08,21.247
2018-07-15,50.805
2018-07-22,39.922
2018-07-29,40.19
2018-08-05,21.095
2018-08-12,19.76
2018-08-19,37.142
2018-08-26,22.727
2018-09-02,53.654
2018-09-09,23.873
2018-09-16,19.592
2018-09-23,53.685
2018-10-07,69.454
2018-10-14,38.294
2018-10-21,37.721
2018-10-28,55.147
2018-11-04,25.792
2018-11-11,61.46
2018-11-18,23.048
2018-11-25,38.876
2018-12-02,28.227
2018-12-09,28.392
2018-12-16,28.341
2018-12-23,72.216
2018-12-30,31.452
2019-01-06,48.116
2019-01-13,53.297
2019-01-20,18.073
2019-01-27,24.471
2019-02-03,28.867
2019-02-10,57.513
2019-02-17,35.627
2019-02-24,69.775
2019-03-03,27.089
2019-03-10,24.678
2019-03-17,27.635
2019-03-24,26.121
2019-03-31,34.12
2019-04-07,25.09
2019-04-14,32.895
2019-04-21,56.177
2019-04-28,52.289
2019-05-05,30.231
2019-05-12,57.637
2019-05-19,55.537
2019-05-26,28.513
2019-06-02,24.056
2019-06-09,23.419
2019-06-16,22.53
2019-06-23,48.041
2019-06-30,58.346
2019-07-07,27.035
2019-07-14,34.931
2019-07-21,63.986
2019-07-28,28.094
2019-08-11,50.402
2019-08-18,29.352
2019-08-25,49.834
2019-09-01,25.63
2019-09-08,29.514
2019-09-15,37.525
2019-09-22,53.809
2019-09-29,57.607
2019-10-06,51.479
2019-10-13,25.903
2019-10-20,19.836
2019-10-27,44.438
2019-11-03,26.628
2019-11-10,27.151
2019-11-17,38.136
2019-11-24,69.831
2019-12-01,24.094
2019-12-08,19.76
2019-12-15,76.153
2019-12-22,64.55
2019-12-29,44.415
2020-01-05,22.764
2020-01-12,23.619
2020-01-19,39.023
2020-01-26,40.564
2020-02-02,35.353
2020-02-09,39.343
2020-02-16,17.936
2020-02-23,52.957
2020-03-01,16.06
2020-03-08,46.043
2020-03-15,51.137
2020-03-22,19.975
2020-03-29,16.673
2020-04-05,38.337
2020-04-12,43.905
2020-04-19,18.342
2020-04-26,17.747
2020-05-03,30.535
2020-05-10,37.062
2020-05-17,66.337
2020-05-31,15.441
2020-06-07,72.217
2020-06-14,37.008
2020-06-21,30.975
2020-06-28,18.85
2020-07-12,24.458
2020-07-19,30.442
2020-07-26,27.922
2020-08-02,27.141
2020-08-09,32.051
2020-08-23,32.521
2020-08-30,29.119
2020-09-06,27.67
2020-09-13,18.669
2020-09-20,22.896
2020-09-27,43.952
2020-10-04,51.698
2020-10-18,23.205
2020-10-25,54.633
2020-11-01,15.769
2020-11-08,17.609
2020-11-15,32.834
2020-11-22,46.509
2020-11-29,18.36
2020-12-06,48.977
2020-12-13,26.342
2020-12-27,59.312
2021-01-03,21.877
2021-01-17,15.252
2021-01-24,42.911
2021-01-31,28.692
2021-02-07,31.011
2021-02-14,23.424
2021-02-21,36.199
2021-03-07,29.83
2021-03-14,53.761
2021-03-21,32.165
2021-03-28,30.73
2021-04-04,34.081
2021-04-11,34.962
2021-04-18,22.9
2021-04-25,31.811
2021-05-02,33.136
2021-05-09,43.062
2021-05-16,30.936
2021-05-23,52.258
2021-05-30,27.358
2021-06-06,35.754
2021-06-13,28.011
2021-06-20,34.833
2021-07-04,41.486
2021-07-11,57.482
2021-07-18,35.093
2021-07-25,42.769
2021-08-01,31.132
2021-08-15,49.256
2021-08-22,58.717
2021-08-29,25.377
2021-09-05,39.53
2021-09-12,26.885
2021-09-19,52.278
2021-09-26,29.42
2021-10-03,42.326
2021-10-10,27.371
2021-10-17,37.406
2021-10-24,45.125
2021-10-31,24.684
2021-11-07,40.727
2021-11-14,38.413
2021-11-21,32.148
2021-12-05,29.156
2021-12-12,25.261
2021-12-19,20.732
2021-12-26,23.006
2022-01-02,29.368
2022-01-09,23.444
2022-01-16,56.851
2022-01-23,32.662
2022-01-30,25.782
2022-02-06,36.557
2022-02-13,40.482
2022-02-20,37.814
2022-02-27,46.99
2022-03-06,26.173
2022-03-13,33.515
2022-03-20,43.281
2022-03-27,41.803
2022-04-03,24.565
2022-04-10,40.605
2022-04-17,37.326
2022-04-24,26.372
2022-05-01,57.552
2022-05-08,25.914
2022-05-15,31.019
2022-05-22,37.452
2022-05-29,55.121
2022-06-05,22.464
2022-06-12,44.679
2022-06-19,33.792
2022-06-26,44.313
2022-07-03,36.799
2022-07-10,41.201
2022-07-17,63.469
2022-07-24,26.008
2022-07-31,15.655
2022-08-07,46.407
2022-08-14,21.511
2022-08-21,24.308
2022-08-28,33.383
2022-09-04,25.877
2022-09-11,24.645
2022-09-18,30.347
2022-09-25,29.824
2022-10-02,29.836
2022-10-09,38.363
2022-10-16,28.143
2022-10-23,23.569
2022-10-30,41.35
2022-11-06,28.994
2022-11-13,28.823
2022-11-20,68.92
2022-11-27,56.244
2022-12-04,70.88
2022-12-11,22.659
2022-12-18,55.078
2022-12-25,30.73
