,MVT_GT_Milwaukee WI
2017-01-01,22.0
2017-01-08,38.0
2017-02-12,22.0
2017-02-19,19.0
2017-02-26,59.0
2017-05-07,19.0
2017-05-14,46.0
2017-06-04,41.0
2017-06-25,32.0
2017-07-16,61.0
2017-07-23,25.0
2017-07-30,27.0
2017-08-06,29.0
2017-09-03,64.0
2017-09-10,21.0
2017-10-15,19.0
2017-10-22,22.0
2017-11-12,100.0
2017-12-24,20.0
2017-12-31,31.0
2018-01-21,41.27069686618201
2018-01-28,20.060806294556908
2018-03-25,14.964469186284157
2018-04-08,14.139927047750064
2018-04-15,27.955311956966035
2018-04-22,16.113553463352346
2018-04-29,26.306227679897844
2018-05-06,14.139927047750064
2018-05-27,16.938095601886438
2018-06-17,55.91062391393207
2018-07-08,16.938095601886438
2018-07-22,36.99890189644334
2018-08-05,44.068865420318375
2018-09-02,25.981685541363753
2018-09-30,20.060806294556908
2018-12-02,27.955311956966035
2018-12-30,21.709890571625095
2019-01-06,14.139927047750064
2019-01-13,25.15714340282966
2019-01-27,24.00805912576147
2019-02-03,52.2879132212616
2019-02-10,27.955311956966035
2019-03-17,33.051649065238784
2019-03-24,16.113553463352346
2019-03-31,18.91172201748872
2019-04-14,29.928938372568314
2019-04-28,16.113553463352346
2019-05-12,25.981685541363753
2019-06-02,24.00805912576147
2019-06-30,18.08717987895463
2019-07-21,25.15714340282966
2019-07-28,20.885348433091004
2019-08-04,17.262637740420534
2019-09-01,18.08717987895463
2019-09-15,16.113553463352346
2019-11-10,12.990842770681876
2019-11-17,36.99890189644334
2019-11-24,35.84981761937516
2019-12-01,42.91978114325019
2019-12-08,18.91172201748872
2019-12-15,14.139927047750064
2020-01-05,35.02527548084107
2020-02-02,20.060806294556908
2020-02-09,23.183516987227378
2020-03-01,11.841758493613689
2020-04-12,24.00805912576147
2020-04-26,22.034432710159187
2020-05-03,21.209890571625095
2020-05-24,11.841758493613689
2020-06-21,21.209890571625095
2020-07-12,11.841758493613689
2020-08-16,33.051649065238784
2020-09-20,24.832601264295565
2020-10-04,31.902564788170597
2020-10-18,25.65714340282966
2020-11-08,19.736264156022813
2020-11-22,12.990842770681876
2020-11-29,47.69157611298885
2020-12-06,24.00805912576147
2020-12-20,50.31428680565932
2020-12-27,44.068865420318375
2021-01-10,27.13076981843194
2021-01-24,24.00805912576147
2021-03-21,29.60439623403422
2021-04-11,14.964469186284157
2021-04-18,14.964469186284157
2021-05-02,29.10439623403422
2021-05-16,48.84066039005704
2021-06-06,50.81428680565932
2021-06-13,42.0952390047161
2021-06-20,36.67435975790926
2021-07-18,20.060806294556908
2021-07-25,16.938095601886438
2021-08-01,29.928938372568314
2021-08-08,24.832601264295565
2021-09-12,24.332601264295565
2021-09-26,35.84981761937516
2021-10-03,36.17435975790926
2021-10-10,29.10439623403422
2021-10-24,25.15714340282966
2021-10-31,14.964469186284157
2021-11-07,45.717949697386565
2021-11-14,36.67435975790926
2021-12-05,19.736264156022813
2022-01-02,31.156045299273003
2022-01-16,44.137730840636756
2022-01-23,25.963371082727505
2022-02-13,12.981685541363753
2022-02-20,38.94505662409126
2022-02-27,14.279854095500127
2022-03-20,22.717949697386565
2022-04-03,22.068865420318378
2022-04-10,31.805129576341194
2022-04-17,14.928938372568314
2022-04-24,36.99780379288669
2022-05-15,20.770696866182004
2022-05-29,22.717949697386565
2022-06-05,18.174359757909254
2022-06-26,35.69963523875032
2022-07-10,24.01611825152294
2022-07-24,32.45421385340938
2022-07-31,27.26153963686388
2022-08-07,21.41978114325019
2022-08-21,33.75238240754575
2022-08-28,22.717949697386565
2022-09-11,64.90842770681876
2022-10-09,32.45421385340938
2022-10-16,43.48864656356857
2022-10-30,42.83956228650038
2022-12-04,44.137730840636756
2022-12-11,20.770696866182004
2022-12-18,17.525275480841067
2022-12-25,27.910623913932067
