date,Milwaukee WI
2017-01-01,44.833
2017-01-08,26.167
2017-01-15,23.0
2017-01-22,42.0
2017-02-05,43.0
2017-02-19,73.4
2017-02-26,80.0
2017-03-05,67.0
2017-04-02,23.0
2017-04-09,76.0
2017-04-16,53.0
2017-04-30,46.75
2017-05-07,51.0
2017-05-14,54.333
2017-05-21,34.0
2017-05-28,64.0
2017-06-04,52.0
2017-06-18,33.0
2017-06-25,23.0
2017-07-02,35.0
2017-07-16,29.5
2017-07-23,69.0
2017-08-20,26.0
2017-08-27,55.0
2017-09-03,45.0
2017-09-10,25.333
2017-09-17,28.0
2017-09-24,83.0
2017-10-01,26.0
2017-10-08,34.0
2017-10-22,22.0
2017-10-29,40.2
2017-11-05,23.5
2017-11-12,68.0
2017-11-19,51.0
2017-12-03,29.0
2017-12-10,52.25
2017-12-24,30.667
2017-12-31,26.5
2018-01-07,33.6
2018-01-14,29.2
2018-02-04,31.0
2018-02-11,43.0
2018-02-25,38.0
2018-03-04,35.0
2018-03-25,23.0
2018-04-01,43.0
2018-04-08,29.667
2018-04-15,32.833
2018-04-22,23.667
2018-04-29,21.0
2018-05-06,27.8
2018-05-13,21.0
2018-05-20,22.0
2018-05-27,54.5
2018-06-10,53.0
2018-06-17,40.0
2018-06-24,24.667
2018-07-01,45.0
2018-07-22,22.0
2018-07-29,20.0
2018-08-05,49.0
2018-08-12,48.0
2018-08-19,20.0
2018-08-26,36.0
2018-09-02,31.0
2018-09-16,29.5
2018-10-28,50.333
2018-11-04,19.0
2018-11-18,30.4
2018-11-25,23.8
2018-12-02,24.0
2018-12-16,24.0
2018-12-30,27.0
2019-01-06,20.0
2019-01-13,30.333
2019-01-20,30.0
2019-01-27,36.0
2019-02-03,41.6
2019-02-10,19.0
2019-02-24,26.5
2019-03-10,23.0
2019-03-17,18.667
2019-04-07,22.6
2019-04-14,59.0
2019-04-21,37.75
2019-05-05,27.0
2019-05-12,29.0
2019-05-19,18.0
2019-05-26,19.333
2019-06-02,30.0
2019-06-23,55.0
2019-06-30,40.0
2019-07-07,68.0
2019-07-14,28.0
2019-07-21,28.0
2019-08-04,32.0
2019-08-11,21.0
2019-08-18,28.0
2019-08-25,44.5
2019-09-08,44.0
2019-09-22,37.2
2019-10-06,16.0
2019-10-13,35.0
2019-10-20,54.0
2019-10-27,27.0
2019-11-03,28.0
2019-11-10,49.0
2019-11-17,17.0
2019-11-24,22.8
2019-12-01,33.0
2019-12-15,36.0
2020-01-05,36.2
2020-01-12,15.8
2020-01-19,20.0
2020-01-26,33.0
2020-02-02,24.333
2020-02-09,26.0
2020-02-23,17.0
2020-03-01,18.0
2020-03-08,24.0
2020-03-15,19.0
2020-03-22,24.5
2020-03-29,16.0
2020-04-05,28.8
2020-04-12,16.25
2020-04-19,17.0
2020-04-26,19.0
2020-05-03,21.5
2020-05-17,48.0
2020-06-21,44.0
2020-07-05,31.0
2020-07-12,25.0
2020-07-26,29.667
2020-08-09,60.0
2020-08-16,32.167
2020-08-30,46.0
2020-09-06,15.5
2020-09-13,21.4
2020-09-20,40.4
2020-09-27,34.0
2020-10-04,36.0
2020-10-11,32.0
2020-10-18,39.0
2020-11-01,18.5
2020-11-15,37.0
2020-11-22,21.0
2020-11-29,39.0
2020-12-06,23.0
2020-12-13,21.833
2020-12-20,24.0
2020-12-27,31.0
2021-01-03,73.0
2021-01-24,22.167
2021-01-31,38.5
2021-02-07,39.0
2021-02-14,20.333
2021-03-07,100.0
2021-03-14,17.0
2021-03-28,76.0
2021-04-04,58.0
2021-04-11,28.833
2021-04-18,40.6
2021-05-02,16.0
2021-05-09,25.0
2021-05-16,51.25
2021-05-23,35.0
2021-05-30,26.0
2021-06-06,29.0
2021-06-13,48.167
2021-06-20,40.833
2021-06-27,44.0
2021-07-04,29.667
2021-07-11,29.0
2021-07-18,28.2
2021-07-25,51.5
2021-08-01,21.667
2021-08-08,28.5
2021-08-15,49.75
2021-08-29,22.0
2021-09-05,23.0
2021-09-12,30.4
2021-09-19,22.0
2021-09-26,30.0
2021-10-03,60.4
2021-10-10,50.0
2021-10-17,24.0
2021-10-24,38.833
2021-10-31,32.0
2021-11-07,46.0
2021-11-14,30.667
2021-11-21,30.0
2021-12-05,60.5
2021-12-19,25.0
2022-01-02,37.0
2022-01-09,28.0
2022-01-16,55.75
2022-01-23,41.0
2022-01-30,26.75
2022-02-06,37.0
2022-02-13,14.0
2022-02-20,20.0
2022-02-27,42.667
2022-03-13,48.333
2022-03-20,26.4
2022-03-27,34.0
2022-04-03,25.833
2022-04-10,16.0
2022-04-17,24.75
2022-04-24,25.833
2022-05-01,24.8
2022-05-15,40.0
2022-05-22,34.2
2022-05-29,20.0
2022-06-05,32.667
2022-06-12,25.0
2022-06-26,34.0
2022-07-10,50.667
2022-07-17,29.75
2022-07-31,28.75
2022-08-07,51.833
2022-08-21,25.0
2022-08-28,21.5
2022-09-04,19.0
2022-09-11,25.333
2022-09-18,34.333
2022-10-02,30.0
2022-10-09,26.0
2022-10-16,33.5
2022-10-30,59.333
2022-11-06,17.0
2022-11-13,27.0
2022-11-27,14.0
2022-12-04,47.4
2022-12-25,42.833
