,MVT_GT_Minneapolis-St. Paul MN
2017-01-01,17.0
2017-01-15,27.0
2017-02-26,62.0
2017-03-19,29.0
2017-04-30,28.0
2017-06-04,93.0
2017-06-18,27.0
2017-06-25,21.0
2017-07-02,29.0
2017-07-09,20.0
2017-07-23,17.0
2017-08-06,22.0
2017-08-20,20.0
2017-08-27,40.0
2017-10-22,14.0
2017-10-29,13.0
2017-11-12,31.0
2017-11-19,40.0
2017-12-03,35.0
2017-12-10,16.0
2017-12-17,19.0
2017-12-24,18.0
2017-12-31,36.0
2018-01-14,25.949506017290695
2018-01-21,25.949506017290695
2018-02-04,18.564654212103484
2018-02-11,36.12930842420697
2018-02-18,34.98183312334244
2018-03-11,12.974753008645347
2018-03-25,23.154555415561624
2018-04-29,20.859604813832554
2018-05-06,28.24445661901976
2018-05-13,19.71212951296802
2018-05-27,27.59698131815523
2018-06-03,32.18688252161337
2018-06-24,73.90609214927846
2018-07-08,20.359604813832554
2018-07-15,19.21212951296802
2018-07-22,20.859604813832554
2018-07-29,31.03940722074883
2018-08-05,27.09698131815523
2018-08-12,46.30911083112325
2018-08-19,60.93133914063313
2018-09-16,19.71212951296802
2018-09-30,24.30203071642616
2018-10-07,15.269703610374416
2018-10-21,18.064654212103484
2018-11-11,14.12222830950988
2018-11-18,14.12222830950988
2018-12-09,14.12222830950988
2018-12-23,16.91717891123895
2018-12-30,34.98183312334244
2019-01-06,23.154555415561624
2019-01-13,14.62222830950988
2019-01-27,32.68688252161337
2019-02-03,29.391931919884296
2019-02-10,18.064654212103484
2019-03-03,12.474753008645347
2019-03-31,16.41717891123895
2019-04-14,22.00708011469709
2019-04-21,25.949506017290695
2019-04-28,33.8343578224779
2019-05-05,33.8343578224779
2019-05-26,16.91717891123895
2019-06-16,45.661635530258714
2019-07-14,18.564654212103484
2019-07-21,62.07881444149766
2019-07-28,12.974753008645347
2019-08-04,14.12222830950988
2019-08-25,41.71920962766511
2019-09-01,11.827277707780812
2019-09-08,23.654555415561624
2019-09-15,15.769703610374416
2019-09-29,18.564654212103484
2019-10-06,20.859604813832554
2019-10-13,14.12222830950988
2019-10-20,19.71212951296802
2019-11-03,22.00708011469709
2019-11-10,37.7767837250715
2019-11-17,45.161635530258714
2019-12-01,19.21212951296802
2019-12-15,18.064654212103484
2020-01-05,44.01416022939418
2020-01-26,18.564654212103484
2020-02-02,23.654555415561624
2020-02-23,16.91717891123895
2020-03-01,18.064654212103484
2020-03-08,19.71212951296802
2020-03-22,12.974753008645347
2020-04-19,10.679802406916277
2020-04-26,12.974753008645347
2020-05-03,28.74445661901976
2020-05-17,15.269703610374416
2020-05-24,31.53940722074883
2020-06-07,46.80911083112325
2020-07-05,16.91717891123895
2020-07-12,16.91717891123895
2020-07-26,33.3343578224779
2020-08-02,14.12222830950988
2020-08-09,24.30203071642616
2020-08-23,33.8343578224779
2020-08-30,19.21212951296802
2020-09-13,53.04648733544592
2020-09-20,20.859604813832554
2020-09-27,25.949506017290695
2020-10-04,24.30203071642616
2020-10-11,12.974753008645347
2020-10-18,27.09698131815523
2020-10-25,37.2767837250715
2020-11-22,20.359604813832554
2020-12-06,27.59698131815523
2021-01-17,58.13638853890406
2021-01-31,31.03940722074883
2021-02-07,40.07173432680057
2021-02-14,99.85559816656917
2021-02-28,31.03940722074883
2021-03-14,25.949506017290695
2021-03-21,49.10406143285232
2021-04-11,14.12222830950988
2021-04-25,34.98183312334244
2021-05-02,23.154555415561624
2021-05-09,20.859604813832554
2021-05-23,28.74445661901976
2021-06-06,15.269703610374416
2021-06-13,25.949506017290695
2021-06-20,23.154555415561624
2021-06-27,24.30203071642616
2021-07-11,34.48183312334244
2021-07-18,15.269703610374416
2021-07-25,32.18688252161337
2021-08-01,25.949506017290695
2021-08-15,34.98183312334244
2021-08-22,58.63638853890406
2021-08-29,41.21920962766511
2021-09-05,89.17579575965289
2021-09-12,20.859604813832554
2021-09-19,38.42425902593604
2021-10-10,27.59698131815523
2021-10-31,25.449506017290695
2021-11-14,91.47074636138197
2021-11-21,23.654555415561624
2021-11-28,38.42425902593604
2021-12-05,99.35559816656917
2021-12-12,69.96366624668488
2021-12-26,24.30203071642616
2022-01-02,46.6182216622465
2022-01-16,37.55356745014301
2022-01-23,34.96366624668487
2022-01-30,129.49506017290693
2022-02-06,31.078814441497663
2022-02-20,25.899012034581386
2022-02-27,23.30911083112325
2022-03-06,12.949506017290693
2022-03-13,18.129308424206968
2022-03-20,31.078814441497663
2022-03-27,20.71920962766511
2022-04-17,29.783863839768593
2022-04-24,10.359604813832554
2022-05-08,28.488913238039522
2022-05-22,18.129308424206968
2022-05-29,51.79802406916277
2022-06-12,37.55356745014301
2022-07-10,15.539407220748831
2022-07-17,49.20812286570463
2022-07-24,36.258616848413936
2022-07-31,40.14346865360115
2022-08-07,33.6687156449558
2022-08-14,38.84851805187208
2022-08-28,23.30911083112325
2022-09-04,23.30911083112325
2022-09-11,45.32327106051743
2022-09-18,28.488913238039522
2022-10-09,55.68287587434998
2022-10-16,34.96366624668487
2022-10-23,36.258616848413936
2022-10-30,33.6687156449558
2022-11-06,11.654555415561624
2022-11-13,22.01416022939418
2022-11-20,18.129308424206968
2022-11-27,18.129308424206968
2022-12-04,25.899012034581386
2022-12-11,49.20812286570463
2022-12-18,12.949506017290693
2022-12-25,40.14346865360115
