date,Minneapolis-St. Paul MN
2017-01-01,27.956
2017-01-08,36.826
2017-01-15,26.88
2017-01-22,22.938
2017-01-29,27.776
2017-02-05,21.658
2017-02-12,24.515
2017-02-26,16.128
2017-03-05,37.632
2017-03-12,18.995
2017-03-19,30.644
2017-03-26,24.461
2017-04-02,28.314
2017-04-09,20.214
2017-04-16,38.708
2017-04-30,36.772
2017-05-07,24.73
2017-05-14,27.74
2017-05-21,47.309
2017-05-28,23.117
2017-06-04,31.181
2017-06-18,29.389
2017-06-25,47.847
2017-07-02,51.149
2017-07-09,24.73
2017-07-16,33.547
2017-07-23,22.579
2017-07-30,41.127
2017-08-06,20.429
2017-08-13,37.632
2017-08-27,31.45
2017-09-10,33.869
2017-09-17,24.192
2017-09-24,24.515
2017-10-01,24.551
2017-10-15,30.464
2017-10-22,20.071
2017-11-05,25.805
2017-11-12,23.834
2017-11-19,33.152
2017-11-26,21.683
2017-12-03,22.221
2017-12-17,35.303
2017-12-24,26.45
2017-12-31,46.503
2018-01-07,23.041
2018-01-14,25.664
2018-01-21,34.763
2018-01-28,47.21
2018-02-04,33.246
2018-02-11,45.078
2018-02-18,76.864
2018-02-25,17.604
2018-03-04,28.493
2018-03-11,32.041
2018-03-18,24.751
2018-03-25,37.742
2018-04-01,20.429
2018-04-15,22.359
2018-04-22,34.891
2018-05-06,50.734
2018-05-13,19.036
2018-05-20,27.956
2018-05-27,39.379
2018-06-03,25.569
2018-06-10,15.931
2018-06-17,28.162
2018-06-24,22.577
2018-07-01,19.161
2018-07-08,20.967
2018-07-15,25.573
2018-07-22,44.167
2018-07-29,35.333
2018-08-05,34.013
2018-08-12,46.401
2018-08-19,22.558
2018-08-26,31.311
2018-09-09,70.45
2018-09-23,38.86
2018-09-30,33.302
2018-10-07,52.784
2018-10-14,27.418
2018-10-21,38.089
2018-10-28,31.181
2018-11-04,33.343
2018-11-11,32.236
2018-11-18,33.332
2018-11-25,35.751
2018-12-02,24.665
2018-12-09,18.279
2018-12-16,22.993
2018-12-23,27.06
2018-12-30,21.716
2019-01-06,32.155
2019-01-13,43.181
2019-01-20,26.88
2019-01-27,68.911
2019-02-03,24.966
2019-02-10,28.171
2019-02-17,19.329
2019-02-24,20.874
2019-03-03,49.68
2019-03-10,15.053
2019-03-17,19.161
2019-03-31,35.128
2019-04-07,23.805
2019-04-14,70.426
2019-04-21,25.411
2019-04-28,27.455
2019-05-05,48.224
2019-05-12,19.354
2019-05-19,25.348
2019-05-26,26.356
2019-06-02,35.213
2019-06-09,22.828
2019-06-16,36.208
2019-06-23,23.567
2019-06-30,27.956
2019-07-07,20.395
2019-07-14,48.743
2019-07-21,26.817
2019-07-28,31.593
2019-08-04,77.216
2019-08-11,16.96
2019-08-18,19.56
2019-08-25,25.181
2019-09-01,17.292
2019-09-08,37.547
2019-09-15,30.571
2019-09-22,32.256
2019-09-29,26.909
2019-10-06,23.352
2019-10-13,68.097
2019-10-20,28.147
2019-10-27,20.509
2019-11-03,46.665
2019-11-10,33.803
2019-11-17,33.297
2019-12-01,27.143
2019-12-08,20.967
2019-12-15,19.354
2019-12-22,24.429
2019-12-29,21.095
2020-01-05,40.32
2020-01-12,26.016
2020-01-19,17.418
2020-01-26,32.471
2020-02-02,17.039
2020-02-09,26.752
2020-02-16,48.541
2020-02-23,43.158
2020-03-01,36.57
2020-03-08,35.267
2020-03-15,19.623
2020-03-22,33.881
2020-03-29,23.248
2020-04-05,23.483
2020-04-12,26.203
2020-04-19,14.797
2020-04-26,16.164
2020-05-03,48.08
2020-05-10,27.032
2020-05-17,18.279
2020-05-24,42.985
2020-05-31,31.102
2020-06-07,30.841
2020-06-14,24.655
2020-06-21,17.403
2020-06-28,21.504
2020-07-05,32.794
2020-07-12,34.816
2020-07-19,32.967
2020-07-26,34.361
2020-08-02,36.602
2020-08-09,37.459
2020-08-16,21.504
2020-08-23,26.514
2020-08-30,36.718
2020-09-06,38.224
2020-09-13,25.111
2020-09-20,31.181
2020-09-27,21.172
2020-10-04,37.091
2020-10-11,27.222
2020-10-18,36.197
2020-10-25,41.574
2020-11-01,24.064
2020-11-08,36.356
2020-11-15,48.271
2020-11-22,31.311
2020-11-29,29.96
2020-12-06,31.577
2020-12-13,12.903
2020-12-20,30.382
2020-12-27,31.118
2021-01-03,25.208
2021-01-10,26.88
2021-01-17,40.864
2021-01-24,23.48
2021-01-31,24.583
2021-02-07,55.816
2021-02-14,94.893
2021-02-21,40.444
2021-02-28,47.469
2021-03-07,24.73
2021-03-14,65.132
2021-03-21,31.023
2021-04-04,23.44
2021-04-11,33.509
2021-04-18,29.411
2021-04-25,56.794
2021-05-02,26.203
2021-05-09,21.716
2021-05-16,38.329
2021-05-23,40.175
2021-05-30,37.774
2021-06-06,57.483
2021-06-13,44.309
2021-06-20,21.922
2021-06-27,56.292
2021-07-04,25.805
2021-07-11,37.079
2021-07-18,33.152
2021-07-25,24.983
2021-08-01,32.171
2021-08-08,46.758
2021-08-15,32.244
2021-08-22,31.722
2021-08-29,47.876
2021-09-05,80.693
2021-09-12,58.76
2021-09-19,48.387
2021-09-26,21.824
2021-10-03,65.066
2021-10-10,37.292
2021-10-17,25.081
2021-10-24,19.161
2021-10-31,21.383
2021-11-07,32.151
2021-11-14,100.0
2021-11-21,50.241
2021-11-28,52.451
2021-12-05,71.453
2021-12-12,42.804
2021-12-19,26.093
2021-12-26,33.077
2022-01-02,57.698
2022-01-09,51.969
2022-01-16,65.879
2022-01-23,45.564
2022-01-30,32.431
2022-02-06,35.121
2022-02-13,30.002
2022-02-20,57.579
2022-02-27,23.808
2022-03-06,27.748
2022-03-13,43.989
2022-03-20,58.71
2022-03-27,17.372
2022-04-03,37.568
2022-04-10,20.0
2022-04-17,20.12
2022-04-24,24.114
2022-05-08,47.665
2022-05-15,29.847
2022-05-22,33.332
2022-05-29,26.623
2022-06-05,15.053
2022-06-12,28.909
2022-06-19,19.354
2022-06-26,39.917
2022-07-03,22.304
2022-07-10,95.462
2022-07-17,71.145
2022-07-24,59.046
2022-07-31,33.977
2022-08-07,43.602
2022-08-14,32.254
2022-08-21,35.819
2022-08-28,34.147
2022-09-04,68.704
2022-09-11,31.147
2022-09-18,28.107
2022-09-25,23.704
2022-10-02,26.01
2022-10-09,47.365
2022-10-16,26.18
2022-10-23,66.059
2022-10-30,38.022
2022-11-06,24.214
2022-11-13,56.811
2022-11-20,26.88
2022-11-27,19.354
2022-12-04,39.78
2022-12-11,40.649
2022-12-18,33.28
2022-12-25,33.96
