,MVT_GT_Nashville TN
2017-01-01,32.0
2017-01-22,19.0
2017-02-05,21.0
2017-02-12,36.0
2017-02-26,29.0
2017-03-12,25.0
2017-03-26,19.0
2017-04-02,26.0
2017-04-09,33.0
2017-05-07,19.0
2017-05-28,26.0
2017-06-11,22.0
2017-06-18,22.0
2017-07-09,21.0
2017-07-23,20.0
2017-08-06,26.0
2017-08-13,39.0
2017-11-12,23.0
2017-11-19,27.0
2017-12-03,18.0
2017-12-10,21.0
2017-12-17,24.0
2017-12-24,43.0
2017-12-31,69.0
2018-01-07,60.0
2018-03-04,37.0
2018-04-08,52.0
2018-04-29,15.0
2018-05-13,27.0
2018-05-27,32.0
2018-06-24,20.0
2018-07-29,38.0
2018-08-26,25.0
2018-09-09,25.0
2018-09-16,40.0
2018-10-14,27.0
2018-11-11,17.0
2018-11-18,42.0
2018-12-02,22.0
2018-12-09,34.0
2019-01-20,19.0
2019-01-27,31.0
2019-02-03,30.0
2019-02-10,86.0
2019-02-17,15.0
2019-03-17,100.0
2019-04-07,17.0
2019-04-21,25.0
2019-05-12,45.0
2019-07-21,45.0
2019-09-08,21.0
2019-09-15,15.0
2019-09-22,60.0
2019-09-29,26.0
2019-12-01,18.0
2019-12-15,18.0
2019-12-22,21.0
2020-01-19,14.0
2020-02-09,24.0
2020-03-08,23.0
2020-03-22,26.0
2020-03-29,21.0
2020-04-05,15.0
2020-04-12,33.0
2020-05-03,18.0
2020-06-28,34.0
2020-07-05,42.0
2020-08-02,15.0
2020-08-09,16.0
2020-08-30,13.0
2020-10-04,18.0
2020-10-11,15.0
2020-11-15,15.0
2020-11-29,55.0
2020-12-13,17.0
2021-01-10,50.0
2021-01-24,15.0
2021-02-07,19.0
2021-03-14,15.0
2021-03-21,17.0
2021-04-04,34.0
2021-04-25,14.0
2021-05-09,23.0
2021-05-30,67.0
2021-06-06,30.0
2021-06-27,20.0
2021-07-04,20.0
2021-07-11,20.0
2021-07-18,28.0
2021-10-17,18.0
2021-10-24,42.0
2021-11-07,41.0
2021-11-14,15.0
2021-11-28,22.0
2022-02-06,57.0
2022-02-13,16.0
2022-02-20,40.0
2022-02-27,31.0
2022-03-13,22.0
2022-04-03,12.0
2022-04-10,16.0
2022-04-17,35.0
2022-04-24,18.0
2022-05-01,35.0
2022-05-08,15.0
2022-05-29,15.0
2022-06-05,68.0
2022-06-26,44.0
2022-07-03,48.0
2022-07-10,21.0
2022-07-17,26.0
2022-07-31,18.0
2022-08-07,44.0
2022-08-28,24.0
2022-09-04,17.0
2022-09-11,27.0
2022-09-25,44.0
2022-10-16,17.0
2022-11-20,39.0
2022-11-27,30.0
2022-12-11,14.0
2022-12-18,14.0
