date,Nashville TN
2017-01-01,32.622
2017-01-08,52.267
2017-01-22,17.122
2017-02-05,18.924
2017-02-12,67.046
2017-02-26,21.267
2017-03-12,21.177
2017-03-26,22.529
2017-04-02,23.43
2017-04-09,29.738
2017-04-23,23.43
2017-05-07,29.738
2017-05-14,20.727
2017-05-28,21.808
2017-06-04,25.232
2017-06-11,28.477
2017-06-18,25.773
2017-06-25,71.192
2017-07-09,18.924
2017-07-23,18.023
2017-08-06,22.229
2017-08-13,35.145
2017-10-01,16.221
2017-10-08,32.442
2017-10-15,35.145
2017-10-29,15.32
2017-11-12,23.43
2017-11-19,30.099
2017-11-26,23.43
2017-12-03,16.221
2017-12-10,31.36
2017-12-17,24.872
2017-12-24,28.477
2017-12-31,62.18
2018-01-07,47.04
2018-01-14,21.875
2018-01-28,30.208
2018-02-04,16.667
2018-02-11,21.611
2018-02-18,22.917
2018-02-25,18.75
2018-03-04,33.343
2018-03-11,60.378
2018-03-18,16.221
2018-04-08,39.833
2018-04-15,15.32
2018-04-22,18.924
2018-04-29,15.607
2018-05-13,24.331
2018-05-27,66.054
2018-06-03,35.579
2018-06-10,18.023
2018-06-24,22.889
2018-07-08,27.936
2018-07-15,42.168
2018-07-22,53.313
2018-07-29,30.11
2018-08-19,100.0
2018-08-26,20.366
2018-09-09,23.407
2018-09-16,42.66
2018-09-23,22.529
2018-09-30,20.648
2018-10-14,23.196
2018-10-28,28.125
2018-11-04,18.023
2018-11-11,16.432
2018-11-18,37.225
2018-11-25,22.917
2018-12-02,18.203
2018-12-09,26.134
2018-12-16,35.417
2018-12-23,23.958
2018-12-30,22.311
2019-01-06,30.681
2019-01-20,18.555
2019-01-27,24.598
2019-02-03,33.523
2019-02-10,46.088
2019-02-17,28.888
2019-02-24,33.333
2019-03-10,23.13
2019-03-17,47.04
2019-03-24,29.167
2019-03-31,30.639
2019-04-07,15.32
2019-04-14,26.042
2019-04-21,41.472
2019-04-28,37.5
2019-05-12,31.901
2019-05-19,52.083
2019-05-26,35.417
2019-06-09,25.232
2019-06-16,20.727
2019-06-23,27.936
2019-07-07,34.544
2019-07-21,43.203
2019-07-28,23.425
2019-08-04,28.837
2019-08-11,23.674
2019-08-18,28.837
2019-08-25,27.512
2019-09-01,21.628
2019-09-08,18.924
2019-09-15,19.525
2019-09-22,54.069
2019-09-29,22.521
2019-10-06,28.125
2019-10-13,14.583
2019-10-20,28.125
2019-10-27,18.75
2019-11-03,30.581
2019-11-10,68.75
2019-11-17,37.849
2019-11-24,23.958
2019-12-01,17.114
2019-12-08,14.72
2019-12-15,21.424
2019-12-22,19.922
2019-12-29,65.832
2020-01-05,17.708
2020-01-12,13.517
2020-01-19,15.32
2020-01-26,36.038
2020-02-09,18.384
2020-02-16,14.583
2020-02-23,16.221
2020-03-01,16.698
2020-03-08,22.568
2020-03-15,19.792
2020-03-22,23.43
2020-03-29,19.712
2020-04-05,22.117
2020-04-12,30.579
2020-04-19,15.867
2020-04-26,26.482
2020-05-03,15.725
2020-05-10,32.292
2020-05-17,20.127
2020-05-24,22.31
2020-05-31,22.582
2020-06-14,29.738
2020-06-21,23.43
2020-06-28,30.639
2020-07-05,25.646
2020-07-26,22.529
2020-08-02,18.187
2020-08-09,22.529
2020-08-23,12.5
2020-08-30,13.956
2020-09-13,40.625
2020-09-20,33.75
2020-09-27,33.343
2020-10-04,19.718
2020-10-11,18.384
2020-10-18,55.872
2020-10-25,18.924
2020-11-01,32.292
2020-11-08,22.529
2020-11-15,14.826
2020-11-22,16.667
2020-11-29,32.261
2020-12-06,28.837
2020-12-13,15.32
2020-12-20,33.333
2020-12-27,20.833
2021-01-03,19.825
2021-01-10,45.058
2021-01-17,28.125
2021-01-24,13.517
2021-02-07,17.122
2021-02-28,27.083
2021-03-14,13.517
2021-03-21,15.32
2021-03-28,19.825
2021-04-04,30.792
2021-04-11,16.072
2021-04-25,35.504
2021-05-02,32.292
2021-05-09,27.215
2021-05-16,20.908
2021-05-23,17.122
2021-05-30,60.378
2021-06-06,27.035
2021-06-13,18.924
2021-06-20,26.421
2021-06-27,36.137
2021-07-04,18.023
2021-07-11,25.052
2021-07-18,22.529
2021-08-01,25.0
2021-08-08,30.208
2021-08-15,18.75
2021-08-22,19.036
2021-09-05,27.335
2021-09-12,21.845
2021-09-19,35.417
2021-09-26,75.163
2021-10-17,49.744
2021-10-24,37.849
2021-10-31,39.583
2021-11-07,34.092
2021-11-14,13.517
2021-11-21,34.543
2021-11-28,46.32
2021-12-05,26.134
2021-12-12,21.875
2021-12-26,24.455
2022-01-16,79.302
2022-01-23,19.825
2022-01-30,35.145
2022-02-06,46.604
2022-02-13,15.543
2022-02-20,38.336
2022-02-27,30.114
2022-03-06,13.517
2022-03-13,21.371
2022-03-20,24.331
2022-04-03,11.657
2022-04-10,25.682
2022-04-17,30.902
2022-04-24,16.965
2022-05-01,22.251
2022-05-08,18.264
2022-05-22,18.023
2022-05-29,25.293
2022-06-05,36.279
2022-06-12,15.32
2022-06-26,42.742
2022-07-03,46.107
2022-07-10,16.603
2022-07-17,24.161
2022-07-24,27.936
2022-07-31,29.495
2022-08-07,42.221
2022-08-28,23.314
2022-09-04,16.158
2022-09-11,34.614
2022-09-25,25.54
2022-10-09,25.232
2022-10-16,24.088
2022-10-30,23.43
2022-11-06,21.628
2022-11-13,16.221
2022-11-20,36.574
2022-11-27,24.425
2022-12-04,15.32
2022-12-11,13.55
2022-12-18,13.079
