date,New York NY
2017-01-01,57.725
2017-01-08,48.712
2017-01-15,36.266
2017-01-22,46.137
2017-01-29,40.773
2017-02-05,17.167
2017-02-12,23.176
2017-02-19,48.498
2017-02-26,25.966
2017-03-05,29.399
2017-03-12,51.502
2017-03-19,60.944
2017-03-26,29.614
2017-04-02,50.858
2017-04-09,39.485
2017-04-16,32.833
2017-04-23,21.459
2017-04-30,38.627
2017-05-07,33.476
2017-05-14,36.266
2017-05-21,40.343
2017-05-28,32.189
2017-06-04,43.777
2017-06-11,48.069
2017-06-18,39.7
2017-06-25,38.197
2017-07-02,37.339
2017-07-09,52.79
2017-07-16,41.202
2017-07-23,43.562
2017-07-30,40.558
2017-08-06,60.944
2017-08-13,35.837
2017-08-20,46.567
2017-08-27,29.399
2017-09-03,61.803
2017-09-10,44.635
2017-09-17,24.464
2017-09-24,26.609
2017-10-01,25.966
2017-10-08,38.412
2017-10-15,35.193
2017-10-22,58.584
2017-10-29,37.339
2017-11-05,34.549
2017-11-12,100.0
2017-11-19,46.996
2017-11-26,39.914
2017-12-03,56.652
2017-12-10,40.773
2017-12-17,96.996
2017-12-24,45.923
2017-12-31,41.202
2018-01-07,32.099
2018-01-14,20.361
2018-01-21,52.864
2018-01-28,36.668
2018-02-04,50.624
2018-02-11,59.267
2018-02-18,45.593
2018-02-25,39.468
2018-03-04,38.135
2018-03-11,14.355
2018-03-18,34.856
2018-03-25,26.146
2018-04-01,54.83
2018-04-08,73.04
2018-04-15,68.777
2018-04-22,25.758
2018-04-29,32.372
2018-05-06,34.063
2018-05-13,38.783
2018-05-20,36.705
2018-05-27,55.866
2018-06-03,66.582
2018-06-10,73.216
2018-06-17,31.675
2018-06-24,47.887
2018-07-01,32.408
2018-07-08,26.037
2018-07-15,37.12
2018-07-22,38.338
2018-07-29,56.404
2018-08-05,61.26
2018-08-12,37.717
2018-08-19,24.315
2018-08-26,29.264
2018-09-02,52.106
2018-09-09,31.993
2018-09-16,63.884
2018-09-23,48.418
2018-09-30,35.305
2018-10-07,31.022
2018-10-14,45.121
2018-10-21,43.694
2018-10-28,42.134
2018-11-04,28.544
2018-11-11,58.819
2018-11-18,39.693
2018-11-25,57.963
2018-12-02,46.449
2018-12-09,44.039
2018-12-16,44.752
2018-12-23,33.77
2018-12-30,39.841
2019-01-06,48.774
2019-01-13,18.423
2019-01-20,26.028
2019-01-27,36.334
2019-02-03,34.017
2019-02-10,41.257
2019-02-17,52.153
2019-02-24,20.702
2019-03-03,21.639
2019-03-10,49.417
2019-03-17,40.679
2019-03-24,40.154
2019-03-31,24.909
2019-04-07,28.997
2019-04-14,31.094
2019-04-21,26.412
2019-04-28,45.772
2019-05-05,46.218
2019-05-12,31.006
2019-05-19,31.435
2019-05-26,18.097
2019-06-02,29.7
2019-06-09,23.509
2019-06-16,50.309
2019-06-23,39.633
2019-06-30,28.714
2019-07-07,28.998
2019-07-14,43.115
2019-07-21,45.03
2019-07-28,32.466
2019-08-04,71.886
2019-08-11,46.02
2019-08-18,55.017
2019-08-25,26.683
2019-09-01,28.368
2019-09-08,49.033
2019-09-15,28.492
2019-09-22,65.253
2019-09-29,36.09
2019-10-06,30.743
2019-10-13,52.472
2019-10-20,38.339
2019-10-27,38.224
2019-11-03,41.933
2019-11-10,42.792
2019-11-17,35.568
2019-11-24,63.68
2019-12-01,38.179
2019-12-08,36.174
2019-12-15,45.042
2019-12-22,43.347
2019-12-29,34.134
2020-01-05,26.469
2020-01-12,48.854
2020-01-19,48.707
2020-01-26,46.845
2020-02-02,61.871
2020-02-09,21.145
2020-02-16,61.861
2020-02-23,34.281
2020-03-01,34.055
2020-03-08,27.017
2020-03-15,37.528
2020-03-22,18.902
2020-03-29,29.63
2020-04-05,40.906
2020-04-12,15.672
2020-04-19,46.154
2020-04-26,53.377
2020-05-03,57.112
2020-05-10,45.326
2020-05-17,43.97
2020-05-24,41.781
2020-05-31,57.718
2020-06-07,45.236
2020-06-14,40.233
2020-06-21,35.394
2020-06-28,60.182
2020-07-05,46.198
2020-07-12,40.536
2020-07-19,60.238
2020-07-26,34.627
2020-08-02,61.652
2020-08-09,46.558
2020-08-16,63.437
2020-08-23,27.571
2020-08-30,59.394
2020-09-06,68.261
2020-09-13,28.499
2020-09-20,37.514
2020-09-27,55.583
2020-10-04,39.889
2020-10-11,51.609
2020-10-18,41.159
2020-10-25,53.851
2020-11-01,29.375
2020-11-08,23.259
2020-11-15,48.228
2020-11-22,36.361
2020-11-29,38.072
2020-12-06,48.537
2020-12-13,50.334
2020-12-20,38.263
2020-12-27,38.79
2021-01-03,50.45
2021-01-10,33.578
2021-01-17,54.404
2021-01-24,43.804
2021-01-31,42.557
2021-02-07,17.116
2021-02-14,41.238
2021-02-21,41.402
2021-02-28,31.294
2021-03-07,32.291
2021-03-14,27.974
2021-03-21,23.912
2021-03-28,65.579
2021-04-04,47.076
2021-04-11,30.446
2021-04-18,39.076
2021-04-25,32.351
2021-05-02,63.905
2021-05-09,49.276
2021-05-16,62.225
2021-05-23,57.075
2021-05-30,35.259
2021-06-06,51.705
2021-06-13,34.409
2021-06-20,67.573
2021-06-27,58.007
2021-07-04,41.527
2021-07-11,53.152
2021-07-18,44.933
2021-07-25,56.449
2021-08-01,51.579
2021-08-08,39.999
2021-08-15,47.57
2021-08-22,40.087
2021-08-29,48.501
2021-09-05,47.944
2021-09-12,39.029
2021-09-19,47.475
2021-09-26,49.629
2021-10-03,61.926
2021-10-10,53.816
2021-10-17,37.323
2021-10-24,45.782
2021-10-31,55.368
2021-11-07,69.875
2021-11-14,63.31
2021-11-21,30.918
2021-11-28,64.442
2021-12-05,58.789
2021-12-12,53.687
2021-12-19,42.111
2021-12-26,41.494
2022-01-02,40.321
2022-01-09,46.497
2022-01-16,55.597
2022-01-23,82.722
2022-01-30,35.201
2022-02-06,43.567
2022-02-13,71.842
2022-02-20,51.834
2022-02-27,57.349
2022-03-06,43.41
2022-03-13,51.985
2022-03-20,72.566
2022-03-27,79.987
