,MVT_GT_Norfolk-Portsmouth-Newport News VA
2017-02-12,38.0
2017-03-05,72.0
2017-03-12,68.0
2017-03-19,26.0
2017-03-26,56.0
2017-04-02,33.0
2017-04-09,42.0
2017-04-23,21.0
2017-05-07,28.0
2017-07-16,23.0
2017-08-13,58.0
2017-08-27,45.0
2017-09-03,28.0
2017-09-24,49.0
2017-10-08,36.0
2018-01-14,31.0
2018-01-21,30.0
2018-02-11,57.80312948668357
2018-02-25,97.0
2018-03-04,38.0
2018-03-18,29.0
2018-04-01,26.0
2018-04-29,35.0
2018-05-20,44.31532012736206
2018-06-03,27.803129486683567
2018-06-10,46.0
2018-06-17,22.0
2018-07-01,29.0
2018-07-22,27.15766006368103
2018-10-21,28.0
2018-11-11,80.0
2018-11-25,62.0
2018-12-16,29.303129486683567
2019-01-13,27.65766006368103
2019-01-20,29.0
2019-03-17,50.0
2019-03-24,21.0
2019-03-31,43.0
2019-04-14,29.15766006368103
2019-05-05,51.9485989096861
2019-05-19,48.0
2019-05-26,23.0
2019-06-02,29.803129486683567
2019-06-09,33.95469423002535
2019-06-16,38.594068332688636
2019-06-23,20.0
2019-07-07,50.75782371670891
2019-07-14,48.68204134503802
2019-07-21,20.0
2019-08-04,43.239537755691174
2019-09-01,23.0
2019-10-20,56.0
2019-10-27,65.0
2019-11-03,74.0
2019-11-24,51.0
2019-12-01,31.094068332688636
2019-12-22,28.73344243535192
2020-01-05,63.0
2020-03-01,30.227347115012677
2020-03-29,29.587973012349387
2020-04-12,55.0
2020-05-10,39.96688487070384
2020-05-17,34.0
2020-06-07,28.594068332688636
2020-06-21,47.0
2020-06-28,44.0
2020-07-05,33.885007178693705
2020-07-12,33.024381281356995
2020-08-09,51.0
2020-08-16,35.024381281356995
2020-09-13,25.0
2020-09-27,31.0
2020-10-04,43.0
2020-11-08,25.0
2020-11-29,55.0
2020-12-27,37.0
2021-01-10,36.81532012736206
2021-01-24,20.0
2021-01-31,82.8971978193722
2021-02-28,57.0
2021-03-07,33.739537755691174
2021-03-14,23.0
2021-03-28,24.0
2021-05-09,45.0
2021-05-16,39.518285961017746
2021-05-23,21.727347115012677
2021-05-30,37.0
2021-07-04,49.0
2021-07-11,82.91548378038995
2021-07-25,56.0
2021-09-12,29.878911858354456
2021-10-03,38.100163653027884
2021-10-31,40.0
2021-12-12,42.600163653027884
2021-12-26,23.0
2018-01-07,143.03129486683565
2018-01-28,25.74563307603042
2018-02-04,31.466884870703844
2018-03-25,50.06095320339248
2018-06-24,101.55221935545332
2018-07-08,21.45469423002535
2018-07-29,25.74563307603042
2018-08-05,72.94596038208618
2018-08-12,38.61844961404563
2018-09-02,64.36408269007605
2018-09-09,51.49126615206084
2018-12-23,28.606258973367133
2018-12-30,27.175946024698774
2019-01-27,87.24908986876974
2019-05-12,41.47907551138234
2019-08-18,38.61844961404563
2020-01-26,35.75782371670891
2020-02-09,21.45469423002535
2020-02-16,45.77001435738741
2020-02-23,30.03657192203549
2020-05-03,22.885007178693705
2020-05-31,20.02438128135699
2020-06-14,48.63064025472412
2020-07-26,25.74563307603042
2020-08-23,58.64283089540262
2020-09-20,25.74563307603042
2020-11-01,40.04876256271398
2020-12-13,55.78220499806591
2020-12-20,42.9093884600507
2021-01-03,47.20032730605577
2021-02-07,125.86753948281537
2021-02-14,34.327510768040554
2021-04-04,35.75782371670891
2021-05-02,22.885007178693705
2021-07-18,64.36408269007605
2021-08-08,40.04876256271398
2021-08-15,121.57660063681031
2021-09-19,52.92157910072919
2021-10-17,51.49126615206084
2021-11-14,41.47907551138234
2022-01-30,60.07314384407098
2022-02-06,27.175946024698774
2022-02-20,45.77001435738741
2022-04-10,24.31532012736206
2022-04-17,17.163755384020277
2022-05-22,21.45469423002535
2022-05-29,60.07314384407098
2022-06-19,20.02438128135699
2022-06-26,70.08533448474947
2022-07-10,38.61844961404563
2022-07-17,115.85534884213688
2022-07-24,100.12190640678496
2022-08-14,20.02438128135699
2022-08-21,41.47907551138234
2022-09-11,78.6672121767596
2022-10-02,22.885007178693705
2022-10-09,54.35189204939755
2022-10-16,21.45469423002535
2022-10-23,47.20032730605577
2022-10-30,24.31532012736206
2022-11-06,35.75782371670891
2022-11-20,64.36408269007605
2022-11-27,107.27347115012674
2022-12-18,30.03657192203549
