date,Norfolk-Portsmouth-Newport News VA
2017-01-29,32.0
2017-02-26,100.0
2017-03-05,36.5
2017-03-19,78.0
2017-03-26,32.5
2017-04-16,63.0
2017-05-07,56.0
2017-05-14,32.5
2017-05-21,31.5
2017-05-28,59.0
2017-06-11,64.5
2017-06-18,37.0
2017-07-16,53.25
2017-08-06,28.0
2017-08-20,39.5
2017-09-03,87.0
2017-09-24,42.75
2017-10-01,33.0
2017-10-08,94.5
2017-10-29,44.5
2017-11-12,27.0
2017-11-19,28.5
2017-12-03,36.0
2017-12-17,59.25
2017-12-24,53.75
2017-12-31,79.0
2018-01-21,49.123
2018-01-28,57.227
2018-02-11,27.318
2018-02-18,39.624
2018-02-25,24.562
2018-03-04,64.147
2018-03-25,44.137
2018-04-01,44.821
2018-04-08,44.129
2018-04-15,39.124
2018-04-29,56.128
2018-05-20,41.019
2018-06-03,79.902
2018-06-10,37.965
2018-06-17,41.105
2018-06-24,56.439
2018-07-08,36.404
2018-07-22,36.395
2018-08-05,32.167
2018-08-19,40.988
2018-09-02,29.113
2018-09-09,32.665
2018-09-23,42.371
2018-11-18,37.901
2018-11-25,32.853
2018-12-16,47.549
2018-12-23,53.819
2018-12-30,57.227
2019-01-13,47.049
2019-01-20,46.289
2019-01-27,50.184
2019-03-03,48.189
2019-03-17,40.778
2019-03-24,40.769
2019-04-28,30.297
2019-05-12,30.259
2019-05-26,32.138
2019-06-02,49.357
2019-06-09,32.665
2019-06-16,51.132
2019-06-30,49.373
2019-07-07,52.562
2019-07-14,30.045
2019-07-21,50.307
2019-08-04,43.496
2019-08-11,45.638
2019-08-18,70.823
2019-09-08,41.932
2019-09-29,37.217
2019-10-06,59.498
2019-10-13,40.528
2019-10-27,37.217
2019-11-03,45.321
2019-11-10,99.937
2019-11-24,37.97
2019-12-01,35.533
2019-12-08,27.429
2019-12-15,35.505
2019-12-22,68.265
2020-01-05,58.936
2020-01-26,51.011
2020-02-09,34.349
2020-02-16,39.124
2020-02-23,37.217
2020-03-01,43.887
2020-03-15,22.12
2020-03-29,40.085
2020-04-12,31.199
2020-05-10,47.049
2020-05-31,72.269
2020-06-07,25.447
2020-06-28,41.432
2020-07-12,47.049
2020-07-19,40.278
2020-07-26,31.199
2020-08-02,34.099
2020-08-09,36.342
2020-08-16,40.778
2020-08-23,73.631
2020-08-30,39.442
2020-09-13,49.857
2020-09-20,32.603
2020-10-04,28.064
2020-10-11,36.717
2020-10-25,33.849
2020-11-08,40.778
2020-11-29,44.821
2020-12-06,83.614
2020-12-13,43.637
2020-12-20,49.123
2020-12-27,31.481
2021-01-03,52.241
2021-01-10,27.179
2021-01-17,33.849
2021-01-31,77.207
2021-02-07,29.639
2021-02-14,28.613
2021-02-28,32.665
2021-03-21,31.481
2021-03-28,30.045
2021-04-04,31.481
2021-04-18,62.898
2021-04-25,24.562
2021-05-09,51.741
2021-05-16,71.977
2021-07-04,84.312
2021-07-11,43.347
2021-07-25,87.334
2021-08-01,72.751
2021-08-08,46.185
2021-08-15,73.935
2021-08-22,32.353
2021-09-05,51.864
2021-09-12,66.924
2021-10-10,54.827
2021-11-21,67.719
2021-11-28,30.297
2021-12-05,28.641
2021-12-12,39.797
2021-12-26,42.453
2022-01-09,31.398
2022-01-16,34.199
2022-01-30,30.09
2022-02-06,37.467
2022-02-13,21.887
2022-02-20,24.857
2022-03-13,51.022
2022-04-10,26.165
2022-04-17,73.869
2022-04-24,30.09
2022-05-01,21.887
2022-05-08,87.984
2022-05-15,35.415
2022-05-22,69.338
2022-05-29,24.278
2022-06-05,35.567
2022-06-12,32.707
2022-06-19,39.071
2022-06-26,76.419
2022-07-10,36.723
2022-07-17,34.199
2022-07-24,69.338
2022-07-31,31.49
2022-08-14,83.443
2022-08-21,82.935
2022-09-04,23.549
2022-09-25,76.533
2022-10-02,29.558
2022-10-09,42.819
2022-10-16,35.714
2022-10-23,30.627
2022-11-06,52.039
2022-11-13,39.248
2022-11-27,45.496
2022-12-04,86.181
2022-12-11,35.323
2022-12-18,83.445
2022-12-25,32.954
