date,Oklahoma City OK
2017-01-01,34.8
2017-01-08,31.4
2017-01-15,30.0
2017-02-12,27.0
2017-02-26,28.0
2017-03-05,25.0
2017-03-19,36.333
2017-03-26,34.0
2017-04-02,29.75
2017-04-09,50.0
2017-04-16,36.0
2017-05-14,47.8
2017-05-21,32.25
2017-05-28,57.75
2017-06-11,37.667
2017-06-18,41.667
2017-07-09,85.0
2017-07-16,24.0
2017-07-23,21.333
2017-07-30,29.8
2017-08-13,36.25
2017-08-20,39.0
2017-08-27,100.0
2017-09-03,21.0
2017-09-10,29.0
2017-09-17,21.333
2017-09-24,49.0
2017-10-01,25.0
2017-10-08,42.167
2017-10-29,41.333
2017-11-12,29.667
2017-11-19,33.0
2017-11-26,21.75
2017-12-10,23.75
2017-12-17,19.6
2018-01-07,18.408
2018-01-14,22.0
2018-01-21,18.574
2018-01-28,46.539
2018-02-04,28.246
2018-02-11,22.23
2018-02-25,24.975
2018-03-04,18.0
2018-03-18,30.949
2018-03-25,26.131
2018-04-08,19.451
2018-04-22,19.126
2018-04-29,75.5
2018-05-06,30.465
2018-05-13,56.0
2018-05-20,57.202
2018-06-10,20.5
2018-07-15,21.771
2018-07-22,44.345
2018-08-05,17.823
2018-08-12,36.982
2018-09-02,60.457
2018-09-09,66.419
2018-11-04,21.829
2018-12-02,42.0
2018-12-16,19.588
2018-12-30,45.307
2019-01-06,29.445
2019-01-13,33.0
2019-01-27,31.142
2019-02-03,13.064
2019-02-10,18.408
2019-02-17,24.013
2019-03-03,24.971
2019-03-10,26.735
2019-03-17,22.0
2019-03-24,17.823
2019-03-31,21.414
2019-04-14,29.414
2019-04-21,55.0
2019-05-05,36.445
2019-05-12,35.647
2019-05-19,37.0
2019-06-09,17.0
2019-06-23,28.938
2019-06-30,28.0
2019-07-07,29.494
2019-07-14,51.461
2019-07-28,20.0
2019-08-04,35.117
2019-08-18,44.0
2019-08-25,18.0
2019-09-08,22.0
2019-09-15,35.053
2019-09-22,21.829
2019-09-29,36.982
2019-10-13,37.203
2019-10-20,18.279
2019-10-27,20.027
2019-11-03,38.059
2019-11-10,42.911
2019-12-08,21.17
2019-12-15,25.731
2019-12-29,29.19
2020-01-05,53.632
2020-02-16,48.91
2020-03-01,18.0
2020-03-08,21.376
2020-03-15,48.064
2020-03-22,36.186
2020-03-29,14.581
2020-04-12,25.937
2020-04-26,23.426
2020-06-07,16.021
2020-06-14,28.037
2020-06-21,25.0
2020-07-05,23.131
2020-07-19,14.149
2020-08-02,17.323
2020-08-09,52.67
2020-08-16,28.655
2020-08-30,17.962
2020-09-27,15.0
2020-10-04,38.922
2020-10-11,37.327
2020-10-18,37.0
2020-10-25,29.0
2020-11-08,18.999
2020-11-15,39.29
2020-11-29,41.648
2020-12-13,69.089
2021-01-03,37.35
2021-01-10,22.73
2021-01-17,18.55
2021-02-07,44.512
2021-02-14,24.013
2021-02-21,21.67
2021-02-28,78.804
2021-03-07,17.0
2021-03-14,24.933
2021-04-11,21.812
2021-04-25,55.174
2021-05-02,32.338
2021-05-09,48.0
2021-05-16,20.0
2021-06-13,28.808
2021-06-27,38.382
2021-07-04,24.0
2021-07-11,25.373
2021-07-18,41.626
2021-08-01,17.845
2021-08-08,22.0
2021-08-15,31.886
2021-08-22,16.922
2021-08-29,31.213
2021-10-03,30.414
2021-10-10,19.37
2021-10-17,22.089
2021-11-14,44.059
2021-11-28,16.0
2021-12-12,26.014
2021-12-19,30.741
2021-12-26,20.928
2022-01-09,34.0
2022-01-23,32.736
2022-01-30,34.191
2022-02-13,16.471
2022-02-20,16.38
2022-02-27,30.0
2022-03-06,30.026
2022-03-13,23.08
2022-03-20,31.283
2022-04-03,19.251
2022-04-17,16.043
2022-05-01,12.834
2022-05-15,18.482
2022-05-22,19.251
2022-05-29,38.0
2022-06-05,33.0
2022-06-12,38.071
2022-06-26,18.0
2022-07-03,25.893
2022-07-10,29.0
2022-07-17,23.262
2022-07-24,20.855
2022-07-31,33.858
2022-08-07,14.785
2022-08-14,39.304
2022-08-21,21.957
2022-08-28,16.0
2022-09-04,18.984
2022-09-18,20.0
2022-09-25,13.861
2022-10-02,49.358
2022-10-09,32.0
2022-10-16,14.317
2022-11-06,24.032
2022-11-13,31.419
2022-11-20,15.216
2022-11-27,36.103
2022-12-04,52.861
2022-12-11,20.053
