,MVT_GT_Omaha NE
2017-01-01,58.0
2017-02-05,32.0
2017-02-12,27.0
2017-06-11,41.0
2017-07-30,30.0
2017-08-06,26.0
2017-10-01,77.0
2017-10-08,24.0
2017-11-05,21.0
2018-01-14,94.20944053169951
2018-01-21,40.9339369465565
2018-01-28,26.887751792571503
2018-02-18,32.2062258541655
2018-03-11,100.0279145932935
2018-04-01,39.729318431158006
2018-04-15,25.683133277173003
2018-05-20,91.30020350090251
2018-07-15,35.115462884962504
2018-07-22,29.2969888233685
2018-07-29,22.773896246376005
2018-08-12,33.410844369564
2018-09-02,22.773896246376005
2018-09-09,25.683133277173003
2018-09-23,28.092370307970004
2018-11-11,23.978514761774505
2019-01-06,30.501607338767002
2019-01-13,29.7969888233685
2019-03-17,35.115462884962504
2019-03-31,21.569277730977504
2019-04-07,31.001607338767002
2019-05-05,31.001607338767002
2019-05-12,22.773896246376005
2019-05-19,64.412451708331
2019-05-26,45.04779249275201
2019-06-02,25.683133277173003
2019-06-16,22.273896246376005
2019-06-30,69.0263072545265
2019-07-28,61.503214677534004
2019-08-04,46.7524110081505
2019-09-08,20.569277730977504
2019-09-22,23.978514761774505
2019-10-20,39.729318431158006
2019-10-27,58.593977646737
2019-11-03,18.160040700180502
2019-11-24,28.092370307970004
2019-12-22,28.092370307970004
2019-12-29,28.092370307970004
2020-01-26,71.93554428532352
2020-02-16,32.7062258541655
2020-04-05,33.410844369564
2020-05-31,21.069277730977504
2020-06-07,21.069277730977504
2020-06-14,21.069277730977504
2020-06-28,50.366266554346005
2020-08-02,26.887751792571503
2020-09-27,22.773896246376005
2021-01-10,98.32329607789501
2021-02-07,28.092370307970004
2021-02-14,22.773896246376005
2021-03-07,23.978514761774505
2021-06-06,23.978514761774505
2021-08-22,40.9339369465565
2021-08-29,21.569277730977504
2021-09-12,52.070885069744506
2021-10-10,26.887751792571503
2021-10-31,33.910844369564
2021-11-28,46.2524110081505
2021-12-05,21.069277730977504
2021-12-12,43.8431739773535
2022-02-06,131.05904386412104
2022-02-13,25.366266554346005
2022-02-20,19.729318431158006
2022-02-27,74.68956263224102
2022-03-13,32.412451708331005
2022-03-20,21.138555461955004
2022-03-27,140.92370307970003
2022-04-17,90.19116997100802
2022-04-24,22.547792492752006
2022-06-12,25.366266554346005
2022-06-26,21.138555461955004
2022-07-17,54.960244201083015
2022-07-24,63.415666385865016
2022-08-07,38.04939983151901
2022-08-21,26.775503585143007
2022-09-18,70.46185153985002
2022-09-25,26.775503585143007
2022-11-20,49.323296077895016
2022-12-04,64.82490341666201
2022-12-18,26.775503585143007
2022-12-25,25.366266554346005
