date,Omaha NE
2017-01-29,31.808
2017-02-05,17.068
2017-02-26,45.772
2017-04-09,27.929
2017-04-16,24.05
2017-05-07,27.153
2017-05-21,77.58
2017-06-04,14.74
2017-06-11,22.498
2017-07-30,37.238
2017-08-06,38.014
2017-08-13,17.843
2017-09-03,43.445
2017-09-24,27.153
2017-10-01,40.342
2017-11-19,20.171
2017-12-03,14.74
2018-01-07,26.104
2018-01-14,23.274
2018-01-21,30.045
2018-01-28,32.0
2018-02-04,48.1
2018-02-11,18.508
2018-02-18,17.127
2018-02-25,32.574
2018-03-25,28.705
2018-04-08,38.906
2018-04-22,27.853
2018-04-29,20.976
2018-05-06,24.035
2018-05-13,32.0
2018-05-27,52.0
2018-06-03,38.014
2018-06-10,34.688
2018-06-17,28.705
2018-06-24,59.691
2018-07-08,21.413
2018-07-15,36.857
2018-07-29,28.616
2018-08-05,31.0
2018-08-12,38.014
2018-08-26,29.0
2018-09-02,29.562
2018-09-09,20.98
2018-09-16,23.271
2018-09-23,26.325
2018-10-14,29.562
2018-10-21,21.0
2018-10-28,16.292
2018-11-25,29.488
2018-12-02,30.025
2018-12-09,49.209
2018-12-16,66.0
2018-12-23,33.727
2018-12-30,33.359
2019-01-06,22.16
2019-01-13,30.256
2019-01-27,24.0
2019-02-10,21.744
2019-02-17,29.48
2019-03-03,37.0
2019-03-10,25.562
2019-04-07,15.453
2019-04-14,22.079
2019-05-05,39.0
2019-05-12,17.15
2019-06-09,29.0
2019-06-16,20.597
2019-07-07,20.465
2019-07-14,20.98
2019-07-21,26.377
2019-07-28,45.046
2019-08-11,34.614
2019-08-18,21.744
2019-08-25,24.0
2019-09-08,17.609
2019-09-15,31.0
2019-10-06,25.562
2019-10-13,21.0
2019-10-20,39.0
2019-10-27,37.238
2019-11-03,21.722
2019-11-24,31.032
2019-12-01,41.892
2019-12-08,46.608
2019-12-15,44.0
2019-12-22,55.0
2019-12-29,25.938
2020-01-05,21.174
2020-01-19,21.0
2020-02-02,18.958
2020-02-09,31.032
2020-02-16,25.731
2020-03-01,62.008
2020-03-15,16.292
2020-03-22,19.0
2020-04-05,12.413
2020-04-19,20.171
2020-05-10,36.453
2020-05-17,15.927
2020-05-24,20.749
2020-06-14,30.325
2020-06-21,30.0
2020-07-19,23.7
2020-08-16,98.0
2020-08-23,51.0
2020-09-06,39.0
2020-09-20,16.292
2020-09-27,45.237
2020-10-04,23.114
2020-10-11,27.0
2020-10-18,73.256
2020-11-01,42.724
2020-11-15,36.477
2020-12-06,32.354
2020-12-27,27.0
2021-01-10,57.0
2021-01-31,18.619
2021-02-07,27.929
2021-02-21,15.516
2021-02-28,30.256
2021-03-07,31.975
2021-03-28,49.597
2021-04-04,40.482
2021-04-18,42.0
2021-04-25,16.399
2021-05-02,32.0
2021-05-09,72.868
2021-05-16,26.183
2021-05-23,34.847
2021-06-06,22.528
2021-06-27,34.907
2021-07-11,60.512
2021-07-18,48.833
2021-07-25,34.0
2021-08-08,41.0
2021-08-15,65.0
2021-08-22,27.571
2021-09-05,70.0
2021-09-12,22.508
2021-10-03,27.089
2021-11-07,22.645
2021-11-14,18.69
2021-12-05,23.133
2021-12-12,32.533
2021-12-19,16.292
2021-12-26,43.0
2022-01-09,40.106
2022-01-16,27.929
2022-01-23,27.624
2022-02-06,29.805
2022-02-27,39.535
2022-03-20,100.0
2022-03-27,18.677
2022-04-03,14.74
2022-04-10,51.854
2022-04-24,17.479
2022-05-01,21.082
2022-05-08,37.0
2022-06-05,30.532
2022-06-12,25.443
2022-06-26,18.677
2022-07-24,27.195
2022-07-31,48.894
2022-08-07,33.493
2022-08-21,51.0
2022-08-28,35.621
2022-09-04,35.687
2022-09-25,27.231
2022-10-23,19.23
2022-10-30,42.447
2022-11-06,14.539
2022-11-13,27.995
2022-11-20,20.171
2022-11-27,19.628
2022-12-04,16.292
2022-12-11,23.0
2022-12-18,36.463
2022-12-25,27.068
