date,Ontario
2017-01-01,13.0
2017-01-08,14.75
2017-01-15,28.0
2017-01-22,6.0
2017-01-29,10.5
2017-02-05,21.0
2017-02-12,11.0
2017-02-19,8.5
2017-02-26,15.0
2017-03-05,100.0
2017-03-12,25.5
2017-03-19,31.75
2017-03-26,25.5
2017-04-02,11.75
2017-04-09,7.25
2017-04-16,15.0
2017-04-23,11.5
2017-04-30,19.75
2017-05-07,17.25
2017-05-14,13.0
2017-05-21,13.0
2017-05-28,15.0
2017-06-04,11.0
2017-06-11,13.0
2017-06-18,10.667
2017-06-25,39.0
2017-07-02,18.75
2017-07-09,34.0
2017-07-16,11.5
2017-07-23,30.0
2017-07-30,9.0
2017-08-06,13.0
2017-08-13,25.5
2017-08-20,9.0
2017-08-27,21.0
2017-09-10,16.5
2017-09-17,10.25
2017-09-24,40.5
2017-10-01,13.5
2017-10-08,13.5
2017-10-15,19.5
2017-10-22,23.0
2017-10-29,7.75
2017-11-05,26.0
2017-11-12,28.75
2017-11-19,23.75
2017-11-26,10.5
2017-12-03,9.0
2017-12-10,12.75
2017-12-17,9.0
2017-12-24,25.25
2017-12-31,24.0
2018-01-07,13.014
2018-01-14,7.222
2018-01-21,12.107
2018-01-28,7.349
2018-02-04,8.748
2018-02-11,12.025
2018-02-18,12.575
2018-02-25,31.316
2018-03-11,11.075
2018-03-18,10.754
2018-03-25,7.966
2018-04-01,7.924
2018-04-08,14.888
2018-04-15,7.924
2018-04-22,14.272
2018-04-29,13.95
2018-05-06,15.678
2018-05-13,6.034
2018-05-20,24.247
2018-05-27,20.798
2018-06-10,19.561
2018-06-17,18.278
2018-06-24,14.365
2018-07-01,17.995
2018-07-08,17.713
2018-07-15,27.77
2018-07-22,24.677
2018-07-29,29.084
2018-08-05,21.371
2018-08-12,17.263
2018-08-19,9.051
2018-08-26,19.21
2018-09-02,17.153
2018-09-09,9.559
2018-09-16,42.745
2018-09-23,19.38
2018-09-30,24.932
2018-10-07,13.473
2018-10-14,13.889
2018-10-21,29.983
2018-10-28,16.996
2018-11-04,28.051
2018-11-11,14.433
2018-11-18,22.618
2018-11-25,12.855
2018-12-02,39.89
2018-12-09,45.806
2018-12-23,20.714
2018-12-30,8.797
2019-01-06,21.154
2019-01-13,24.839
2019-01-20,15.128
2019-01-27,21.923
2019-02-03,20.013
2019-02-10,18.103
2019-02-17,11.265
2019-02-24,6.481
2019-03-03,19.026
2019-03-10,24.46
2019-03-17,16.136
2019-03-24,8.932
2019-03-31,15.788
2019-04-07,20.541
2019-04-14,20.013
2019-04-28,21.29
2019-05-05,25.136
2019-05-12,14.782
2019-05-19,16.192
2019-05-26,16.192
2019-06-02,10.977
2019-06-09,17.448
2019-06-16,17.568
2019-06-23,26.353
2019-06-30,31.425
2019-07-07,8.329
2019-07-14,21.812
2019-07-21,28.358
2019-07-28,26.922
2019-08-04,21.314
2019-08-11,20.434
2019-08-18,14.93
2019-08-25,28.518
2019-09-01,6.838
2019-09-08,10.109
2019-09-15,23.054
2019-09-22,16.847
2019-09-29,9.279
2019-10-06,27.008
2019-10-13,16.065
2019-10-20,15.423
2019-10-27,28.13
2019-11-03,22.882
2019-11-10,24.755
2019-11-17,32.686
2019-11-24,23.62
2019-12-01,23.245
2019-12-08,19.883
2019-12-15,21.694
2019-12-22,11.075
2019-12-29,29.821
2020-01-05,16.253
2020-01-12,13.78
2020-01-19,12.518
2020-01-26,16.561
2020-02-02,14.958
2020-02-09,14.73
2020-02-16,24.33
2020-02-23,12.398
2020-03-01,8.594
2020-03-08,29.095
2020-03-15,9.704
2020-03-22,16.0
2020-03-29,16.82
2020-04-12,18.839
2020-04-19,18.371
2020-04-26,19.659
2020-05-03,19.154
2020-05-10,12.507
2020-05-17,7.229
2020-05-24,11.483
2020-05-31,8.049
2020-06-07,18.263
2020-06-14,28.313
2020-06-21,13.213
2020-06-28,17.786
2020-07-05,18.347
2020-07-12,13.322
2020-07-19,10.628
2020-07-26,22.502
2020-08-02,14.543
2020-08-09,14.782
2020-08-16,12.76
2020-08-23,7.779
2020-08-30,17.833
2020-09-06,9.855
2020-09-13,16.763
2020-09-20,24.639
2020-09-27,20.56
2020-10-04,20.983
2020-10-11,17.815
2020-10-18,22.052
2020-10-25,11.753
2020-11-01,11.866
2020-11-08,16.875
2020-11-15,11.598
2020-11-22,18.009
2020-11-29,32.789
2020-12-06,32.593
2020-12-13,11.745
2020-12-20,25.952
2020-12-27,30.901
2021-01-03,25.883
2021-01-10,31.196
2021-01-17,24.581
2021-01-24,21.346
2021-01-31,16.091
2021-02-07,15.865
2021-02-14,12.398
2021-02-21,26.28
2021-02-28,8.843
2021-03-07,46.101
2021-03-14,41.71
2021-03-21,15.653
2021-03-28,14.498
2021-04-04,22.229
2021-04-11,10.364
2021-04-18,9.907
2021-04-25,9.197
2021-05-02,16.27
2021-05-09,23.484
2021-05-16,20.539
2021-05-23,23.05
2021-05-30,6.939
2021-06-06,13.338
2021-06-13,15.864
2021-06-20,23.084
2021-06-27,12.533
2021-07-04,11.265
2021-07-11,20.329
2021-07-18,16.28
2021-07-25,22.482
2021-08-01,22.359
2021-08-08,13.993
2021-08-15,15.628
2021-08-22,12.985
2021-08-29,28.373
2021-09-05,8.748
2021-09-12,13.857
2021-09-19,11.5
2021-09-26,18.786
2021-10-03,18.559
2021-10-10,26.329
2021-10-17,31.145
2021-10-24,26.916
2021-10-31,18.839
2021-11-07,48.459
2021-11-14,27.541
2021-11-21,26.313
2021-11-28,26.893
2021-12-05,33.461
2021-12-12,42.48
2021-12-19,32.347
2021-12-26,25.931
2022-01-02,12.99
2022-01-09,9.926
2022-01-23,33.984
2022-01-30,39.139
2022-02-06,17.127
2022-02-13,24.409
2022-02-20,9.784
2022-02-27,20.593
2022-03-06,18.617
2022-03-13,11.57
2022-03-20,29.456
2022-03-27,25.101
2022-04-03,14.946
2022-04-10,29.146
2022-04-17,19.217
2022-04-24,27.315
2022-05-01,21.209
2022-05-08,21.803
2022-05-15,45.747
2022-05-22,39.179
2022-05-29,22.808
2022-06-05,61.023
2022-06-12,39.318
2022-06-19,23.958
2022-06-26,43.572
2022-07-03,17.023
2022-07-10,35.677
2022-07-17,19.693
2022-07-24,23.337
2022-07-31,16.652
2022-08-07,34.894
2022-08-14,33.532
2022-08-21,30.953
2022-08-28,16.196
2022-09-04,31.287
2022-09-11,31.287
2022-09-18,27.605
2022-09-25,15.748
2022-10-02,31.257
2022-10-09,32.49
2022-10-16,49.543
2022-10-23,27.615
2022-10-30,32.174
2022-11-06,20.003
2022-11-13,31.971
2022-11-20,29.746
2022-11-27,29.446
2022-12-04,43.006
2022-12-11,32.362
2022-12-18,39.507
2022-12-25,41.506
