,MVT_GT_Philadelphia PA
2017-01-01,31.0
2017-01-08,56.0
2017-01-15,25.0
2017-01-29,13.0
2017-02-05,30.0
2017-02-12,46.0
2017-02-19,14.0
2017-02-26,34.0
2017-04-02,34.0
2017-04-16,26.0
2017-04-23,51.0
2017-04-30,12.0
2017-05-07,26.0
2017-05-14,27.0
2017-05-21,34.0
2017-06-04,59.0
2017-06-18,19.0
2017-06-25,45.0
2017-07-02,51.0
2017-07-09,45.0
2017-07-23,34.0
2017-07-30,33.0
2017-08-06,39.0
2017-09-03,55.0
2017-09-10,26.0
2017-09-24,30.0
2017-10-22,34.0
2017-10-29,24.0
2017-11-05,32.0
2017-11-12,28.0
2017-12-03,15.0
2017-12-10,27.0
2017-12-17,18.0
2017-12-24,100.0
2017-12-31,41.0
2018-01-07,36.197681419359355
2018-01-21,26.779389143856825
2018-01-28,27.271218371407077
2018-02-11,26.779389143856825
2018-02-18,33.22219373670859
2018-02-25,25.28755991630657
2018-03-04,54.050607515263906
2018-03-25,37.1895106469096
2018-04-08,16.861096868354295
2018-04-15,15.869267640804043
2018-04-29,15.869267640804043
2018-05-06,23.303901461206067
2018-05-13,46.11597369486188
2018-05-20,24.79573068875632
2018-05-27,24.79573068875632
2018-06-10,27.271218371407077
2018-06-17,41.15682755711062
2018-07-01,43.64048601221112
2018-07-15,30.746706054057835
2018-07-22,21.82024300610556
2018-07-29,30.746706054057835
2018-08-05,37.1895106469096
2018-08-12,26.279389143856825
2018-08-19,38.18133987445986
2018-08-26,22.81207223365581
2018-09-09,24.29573068875632
2018-09-16,26.279389143856825
2018-09-23,28.76304759895733
2018-09-30,24.29573068875632
2018-10-21,15.869267640804043
2018-10-28,26.279389143856825
2018-11-11,12.893779958153285
2018-11-18,28.76304759895733
2018-12-02,44.632315239761375
2018-12-09,16.861096868354295
2018-12-16,13.885609185703538
2018-12-23,21.82024300610556
2018-12-30,25.28755991630657
2019-01-13,28.26304759895733
2019-01-27,12.393779958153285
2019-02-03,32.73036450915834
2019-02-10,16.861096868354295
2019-02-24,32.73036450915834
2019-03-03,49.09146137751264
2019-03-10,39.17316910201011
2019-03-17,26.279389143856825
2019-03-24,25.28755991630657
2019-03-31,26.279389143856825
2019-04-07,12.393779958153285
2019-04-14,24.79573068875632
2019-04-28,28.26304759895733
2019-05-05,49.59146137751264
2019-05-19,24.79573068875632
2019-05-26,39.67316910201011
2019-06-02,18.3447553234548
2019-06-09,17.35292609590455
2019-06-23,16.361096868354295
2019-06-30,25.78755991630657
2019-07-07,47.107802922412134
2019-07-14,13.885609185703538
2019-08-04,20.32841377855531
2019-08-11,42.14865678466087
2019-08-18,40.66499832956036
2019-08-25,12.893779958153285
2019-09-01,37.6895106469096
2019-09-29,12.393779958153285
2019-10-06,59.00975365301517
2019-10-13,37.1895106469096
2019-10-20,33.22219373670859
2019-10-27,18.8447553234548
2019-11-03,16.861096868354295
2019-11-10,16.861096868354295
2019-11-17,21.82024300610556
2019-11-24,12.893779958153285
2019-12-01,47.107802922412134
2019-12-15,40.16499832956036
2019-12-22,43.14048601221112
2020-01-05,39.17316910201011
2020-01-12,39.17316910201011
2020-01-19,58.01792442546491
2020-01-26,14.877438413253792
2020-02-09,19.836584551005053
2020-02-16,52.066949060163395
2020-02-23,54.550607515263906
2020-03-01,18.8447553234548
2020-03-08,39.17316910201011
2020-03-15,18.3447553234548
2020-03-22,39.67316910201011
2020-03-29,17.85292609590455
2020-04-12,18.8447553234548
2020-04-19,15.869267640804043
2020-04-26,25.78755991630657
2020-05-03,23.803901461206067
2020-05-10,16.861096868354295
2020-05-17,17.85292609590455
2020-05-24,14.377438413253792
2020-05-31,32.23036450915834
2020-06-07,19.836584551005053
2020-06-21,20.82841377855531
2020-06-28,24.79573068875632
2020-07-19,33.22219373670859
2020-07-26,21.32024300610556
2020-08-02,60.99341210811567
