date,Philadelphia PA
2017-01-01,43.197
2017-01-08,44.572
2017-01-15,44.375
2017-01-22,53.408
2017-01-29,22.58
2017-02-05,17.017
2017-02-12,37.699
2017-02-19,53.604
2017-02-26,36.325
2017-03-05,29.453
2017-03-12,39.27
2017-03-26,27.489
2017-04-02,29.649
2017-04-16,27.097
2017-04-23,25.329
2017-05-07,29.453
2017-05-14,31.416
2017-05-21,59.102
2017-05-28,96.409
2017-06-04,17.672
2017-06-11,25.526
2017-06-18,22.58
2017-06-25,46.535
2017-07-02,39.074
2017-07-09,17.672
2017-07-16,16.69
2017-07-23,83.449
2017-07-30,45.554
2017-08-06,34.362
2017-08-13,64.011
2017-08-20,50.07
2017-08-27,27.489
2017-09-03,37.896
2017-09-10,63.814
2017-09-17,26.507
2017-09-24,23.759
2017-10-01,22.58
2017-10-08,53.342
2017-10-22,27.489
2017-10-29,26.507
2017-11-12,39.467
2017-11-19,42.412
2017-11-26,25.133
2017-12-03,40.252
2017-12-17,32.594
2017-12-24,53.015
2017-12-31,46.339
2018-01-07,56.281
2018-01-14,46.227
2018-01-21,41.763
2018-01-28,34.4
2018-02-11,25.627
2018-02-18,37.814
2018-02-25,33.217
2018-03-04,41.312
2018-03-11,25.627
2018-03-18,17.258
2018-03-25,38.891
2018-04-01,27.454
2018-04-08,26.486
2018-04-15,18.74
2018-04-22,18.098
2018-04-29,25.644
2018-05-06,29.839
2018-05-13,41.463
2018-05-20,37.692
2018-05-27,33.801
2018-06-03,35.458
2018-06-10,24.821
2018-06-17,51.243
2018-06-24,26.579
2018-07-01,39.841
2018-07-08,38.33
2018-07-15,31.076
2018-07-22,36.334
2018-07-29,40.289
2018-08-05,47.412
2018-08-12,39.308
2018-08-19,30.317
2018-08-26,17.583
2018-09-02,18.74
2018-09-09,61.038
2018-09-16,35.583
2018-09-23,70.815
2018-09-30,31.866
2018-10-07,27.155
2018-10-14,17.763
2018-10-28,40.318
2018-11-04,20.6
2018-11-11,24.932
2018-11-18,37.761
2018-12-02,34.961
2018-12-09,45.318
2018-12-16,45.393
2018-12-23,42.307
2018-12-30,34.521
2019-01-13,29.377
2019-01-20,21.863
2019-01-27,24.052
2019-02-03,22.611
2019-02-17,15.903
2019-02-24,38.183
2019-03-03,66.174
2019-03-24,33.285
2019-03-31,59.789
2019-04-07,26.794
2019-04-14,34.325
2019-04-28,26.526
2019-05-05,34.162
2019-05-12,21.605
2019-05-26,40.112
2019-06-02,24.63
2019-06-09,54.761
2019-06-16,21.426
2019-06-23,23.247
2019-06-30,47.232
2019-07-07,32.124
2019-07-14,36.422
2019-07-21,44.846
2019-07-28,45.779
2019-08-04,24.127
2019-08-11,17.094
2019-08-18,44.059
2019-08-25,26.661
2019-09-01,47.663
2019-09-08,33.498
2019-09-15,33.429
2019-09-29,26.222
2019-10-06,34.211
2019-10-13,42.957
2019-10-20,36.878
2019-10-27,34.521
2019-11-03,30.091
2019-11-10,24.925
2019-11-17,49.243
2019-11-24,38.141
2019-12-01,37.912
2019-12-08,15.781
2019-12-15,36.068
2019-12-22,29.649
2019-12-29,23.012
2020-01-05,54.319
2020-01-12,29.021
2020-01-19,49.813
2020-01-26,35.712
2020-02-02,40.105
2020-02-09,14.567
2020-02-16,23.27
2020-02-23,26.661
2020-03-01,20.053
2020-03-08,34.491
2020-03-15,26.63
2020-03-22,30.08
2020-03-29,28.217
2020-04-05,15.781
2020-04-12,21.605
2020-04-19,19.726
2020-04-26,42.375
2020-05-03,17.26
2020-05-10,42.205
2020-05-17,37.323
2020-05-24,26.63
2020-05-31,48.093
2020-06-07,28.603
2020-06-21,36.849
2020-06-28,14.076
2020-07-05,24.107
2020-07-12,29.062
2020-07-26,20.926
2020-08-02,50.167
2020-08-09,70.75
2020-08-16,15.615
2020-08-23,17.519
2020-08-30,37.026
2020-09-06,52.032
2020-09-13,33.205
2020-09-20,40.454
2020-09-27,20.713
2020-10-04,35.296
2020-10-11,31.145
2020-10-18,70.604
2020-10-25,58.126
2020-11-01,31.82
2020-11-08,14.567
2020-11-15,39.028
2020-11-22,39.05
2020-11-29,58.239
2020-12-06,35.446
2020-12-13,26.024
2020-12-20,35.167
2020-12-27,73.974
2021-01-03,57.142
2021-01-10,25.149
2021-01-17,39.991
2021-01-24,63.945
2021-01-31,18.883
2021-02-07,90.443
2021-02-14,38.529
2021-02-28,27.404
2021-03-07,32.17
2021-03-14,45.083
2021-03-21,41.2
2021-03-28,27.121
2021-04-04,34.992
2021-04-18,27.223
2021-04-25,30.654
2021-05-02,23.846
2021-05-09,38.429
2021-05-16,50.302
2021-05-23,13.562
2021-05-30,15.573
2021-06-06,30.743
2021-06-20,16.767
2021-06-27,29.134
2021-07-04,57.275
2021-07-11,54.923
2021-07-18,44.483
2021-07-25,52.867
2021-08-01,26.419
2021-08-08,17.754
2021-08-22,25.31
2021-08-29,32.314
2021-09-05,73.35
2021-09-12,43.413
2021-09-19,68.906
2021-10-03,42.205
2021-10-10,35.641
2021-10-17,70.559
2021-10-24,19.858
2021-10-31,41.752
2021-11-07,79.323
2021-11-14,26.351
2021-11-21,69.843
2021-11-28,39.962
2021-12-05,51.443
2021-12-12,41.679
2021-12-19,25.304
2021-12-26,45.645
2022-01-02,57.632
2022-01-09,67.916
2022-01-16,54.972
2022-01-23,64.174
2022-01-30,54.013
2022-02-06,22.79
2022-02-13,31.649
2022-02-20,31.557
2022-02-27,63.757
2022-03-06,64.486
2022-03-13,38.235
2022-03-20,46.742
2022-03-27,29.11
2022-04-03,68.63
2022-04-10,45.098
2022-04-17,43.876
2022-04-24,56.347
2022-05-01,39.47
2022-05-08,47.682
2022-05-15,27.787
2022-05-22,19.735
2022-05-29,37.411
2022-06-05,49.67
2022-06-12,40.705
2022-06-19,51.818
2022-06-26,56.527
2022-07-03,29.51
2022-07-10,32.518
2022-07-17,42.399
2022-07-24,41.894
2022-07-31,67.688
2022-08-07,64.858
2022-08-14,68.557
2022-08-21,70.706
2022-08-28,54.974
2022-09-04,58.479
2022-09-11,50.218
2022-09-18,61.97
2022-09-25,16.466
2022-10-02,69.379
2022-10-09,88.634
2022-10-16,38.921
2022-10-23,35.293
2022-10-30,48.175
2022-11-06,84.199
2022-11-13,51.133
2022-11-20,100.0
2022-11-27,46.055
2022-12-04,72.245
2022-12-11,62.247
2022-12-18,36.496
2022-12-25,41.391
