date,Phoenix AZ
2017-01-01,89.94
2017-01-08,63.828
2017-01-15,29.013
2017-01-22,23.21
2017-02-05,66.73
2017-02-19,29.013
2017-03-05,29.013
2017-03-12,32.64
2017-03-26,60.927
2017-04-02,34.09
2017-04-09,60.927
2017-04-16,40.981
2017-04-23,30.464
2017-05-07,24.661
2017-05-14,66.73
2017-05-21,54.399
2017-06-11,75.434
2017-06-18,27.562
2017-07-02,48.959
2017-07-09,69.631
2017-07-16,69.631
2017-07-23,49.322
2017-07-30,63.828
2017-08-06,49.322
2017-08-13,91.391
2017-08-20,42.069
2017-09-03,91.391
2017-09-10,23.21
2017-09-17,58.026
2017-09-24,60.927
2017-10-08,65.642
2017-10-15,30.464
2017-10-22,23.21
2017-10-29,47.871
2017-11-05,39.893
2017-11-12,71.082
2017-11-26,43.519
2017-12-03,31.189
2017-12-10,34.816
2017-12-17,54.158
2017-12-24,47.871
2017-12-31,43.519
2018-01-07,31.189
2018-01-14,60.035
2018-02-04,29.572
2018-02-11,39.4
2018-02-25,45.133
2018-03-04,35.339
2018-03-11,45.839
2018-03-18,58.817
2018-04-01,69.653
2018-04-08,53.569
2018-04-15,23.21
2018-04-22,85.588
2018-05-06,40.496
2018-05-13,59.523
2018-05-20,44.97
2018-05-27,36.266
2018-06-03,87.561
2018-06-10,51.659
2018-06-17,59.477
2018-06-24,27.936
2018-07-01,64.095
2018-07-22,45.529
2018-07-29,68.18
2018-08-05,59.746
2018-08-12,40.655
2018-08-19,26.776
2018-08-26,24.787
2018-09-02,23.21
2018-09-09,42.132
2018-09-16,24.661
2018-09-30,27.562
2018-10-07,39.167
2018-10-14,47.067
2018-10-21,23.495
2018-10-28,69.631
2018-11-04,33.365
2018-11-11,40.54
2018-11-18,34.816
2018-11-25,73.367
2018-12-16,47.716
2018-12-23,53.674
2018-12-30,58.026
2019-01-06,32.632
2019-01-13,51.283
2019-01-20,62.329
2019-01-27,20.309
2019-02-10,24.661
2019-02-17,26.078
2019-02-24,62.783
2019-03-03,26.078
2019-03-10,63.91
2019-03-17,27.936
2019-03-24,35.604
2019-04-07,30.297
2019-04-14,36.251
2019-04-21,24.787
2019-04-28,62.955
2019-05-12,20.346
2019-05-19,34.816
2019-05-26,87.927
2019-06-02,41.283
2019-06-09,31.914
2019-06-16,30.845
2019-06-23,31.81
2019-06-30,24.158
2019-07-07,34.676
2019-07-14,56.597
2019-07-21,26.112
2019-07-28,49.322
2019-08-04,28.386
2019-08-11,51.588
2019-08-18,63.621
2019-08-25,50.924
2019-09-01,25.37
2019-09-08,49.322
2019-09-22,40.692
2019-09-29,100.0
2019-10-06,47.272
2019-10-13,27.562
2019-10-20,55.125
2019-11-03,44.158
2019-11-10,44.97
2019-11-17,18.488
2019-11-24,57.276
2019-12-01,21.76
2019-12-15,75.651
2019-12-22,59.049
2019-12-29,37.038
2020-01-05,24.661
2020-01-19,57.179
2020-01-26,27.936
2020-02-02,43.519
2020-02-09,56.055
2020-02-16,41.982
2020-02-23,70.045
2020-03-01,60.257
2020-03-08,25.573
2020-03-15,33.365
2020-03-22,44.97
2020-03-29,21.76
2020-04-05,47.638
2020-04-12,41.389
2020-04-19,35.489
2020-04-26,31.933
2020-05-03,42.92
2020-05-10,59.477
2020-05-17,34.207
2020-05-24,34.862
2020-05-31,31.093
2020-06-07,63.828
2020-06-14,38.435
2020-06-21,28.66
2020-07-05,52.223
2020-07-19,37.717
2020-07-26,36.418
2020-08-02,34.676
2020-08-09,14.614
2020-08-16,33.87
2020-08-23,23.212
2020-08-30,32.906
2020-09-06,43.423
2020-09-13,18.877
2020-09-20,36.214
2020-09-27,26.078
2020-10-04,37.63
2020-10-11,65.325
2020-10-18,26.112
2020-11-01,49.291
2020-11-08,19.054
2020-11-29,28.661
2020-12-06,36.799
2020-12-13,39.167
2020-12-20,23.129
2020-12-27,53.674
2021-01-03,44.406
2021-01-10,30.519
2021-01-17,35.968
2021-01-24,20.327
2021-01-31,60.196
2021-02-07,54.277
2021-02-14,71.03
2021-02-21,53.674
2021-02-28,77.726
2021-03-14,28.598
2021-03-21,41.858
2021-03-28,22.929
2021-04-18,32.738
2021-05-02,20.991
2021-05-09,37.7
2021-05-16,47.246
2021-05-23,53.03
2021-05-30,34.073
2021-06-06,33.313
2021-06-13,20.309
2021-06-20,85.179
2021-06-27,53.448
2021-07-04,43.841
2021-07-11,23.21
2021-07-18,44.97
2021-07-25,34.393
2021-08-01,40.292
2021-08-08,31.181
2021-08-22,56.003
2021-09-12,38.74
2021-09-19,53.674
2021-09-26,27.562
2021-10-03,36.975
2021-10-10,37.543
2021-10-17,27.562
2021-10-24,45.133
2021-10-31,40.574
2021-11-07,81.776
2021-11-14,31.889
2021-11-21,53.755
2021-11-28,46.421
2021-12-12,53.879
2021-12-19,39.4
2022-01-02,43.03
2022-01-09,87.039
2022-01-16,34.816
2022-01-23,30.464
2022-01-30,26.112
2022-02-06,66.063
2022-02-13,58.473
2022-02-20,30.394
2022-02-27,27.177
2022-03-13,41.373
2022-03-27,44.389
2022-04-03,26.415
2022-04-10,39.789
2022-04-17,13.588
2022-04-24,40.266
2022-05-08,54.969
2022-05-22,45.469
2022-05-29,48.125
2022-06-12,44.283
2022-06-26,25.919
2022-07-03,47.327
2022-07-10,42.794
2022-07-17,31.969
2022-07-24,71.459
2022-07-31,59.613
2022-08-07,24.787
2022-08-14,37.243
2022-08-21,30.464
2022-08-28,35.578
2022-09-04,77.304
2022-09-11,26.396
2022-09-18,60.649
2022-09-25,18.118
2022-10-02,47.249
2022-10-09,32.839
2022-10-16,53.222
2022-10-23,29.013
2022-10-30,15.853
2022-11-06,24.912
2022-11-13,43.03
2022-11-20,40.618
2022-11-27,52.067
2022-12-04,73.472
2022-12-11,63.921
2022-12-18,33.365
