,MVT_GT_Portland OR
2017-01-15,28.0
2017-01-22,34.0
2017-02-05,31.0
2017-02-12,48.0
2017-02-19,40.0
2017-03-05,21.0
2017-03-12,17.0
2017-03-19,26.0
2017-04-02,29.0
2017-04-09,32.0
2017-04-16,26.0
2017-04-23,16.0
2017-05-07,14.0
2017-05-14,31.0
2017-05-21,15.0
2017-06-04,23.0
2017-06-25,53.0
2017-07-02,28.0
2017-07-09,24.0
2017-07-23,31.0
2017-07-30,33.0
2017-08-13,38.0
2017-08-27,16.0
2017-09-03,15.0
2017-09-17,59.0
2017-09-24,16.0
2017-10-01,78.0
2017-10-29,31.0
2017-11-05,30.0
2017-11-12,21.0
2017-12-03,26.0
2017-12-17,39.0
2017-12-24,33.0
2017-12-31,36.0
2018-01-07,15.994635990223536
2018-01-14,31.98927198044707
2018-02-04,32.98893672983604
2018-02-11,17.99396548900148
2018-02-18,39.98658997555884
2018-03-04,40.98625472494781
2018-03-11,15.994635990223536
2018-03-18,29.98994248166913
2018-04-01,20.99295973716839
2018-04-08,36.98759572739193
2018-05-06,37.9872604767809
2018-05-13,35.48826622861398
2018-05-20,31.98927198044707
2018-05-27,23.491953985335304
2018-06-10,31.489607231058102
2018-06-17,72.47552670539488
2018-07-01,14.994971240834564
2018-07-08,16.994300739612505
2018-07-15,26.990948233502216
2018-07-29,61.479214462116204
2018-08-05,37.4872604767809
2018-08-12,35.98793097800296
2018-09-02,17.99396548900148
2018-09-23,21.49295973716839
2018-09-30,49.983237469448554
2018-10-07,34.98826622861398
2018-10-14,46.48457847189266
2018-10-28,44.98491372250369
2018-11-04,29.98994248166913
2018-11-11,41.98591947433678
2018-11-18,28.49027773228016
2018-12-02,38.98692522616987
2018-12-09,59.97988496333826
2018-12-16,19.99329498777942
2019-01-13,36.98759572739193
2019-01-27,27.490612982891186
2019-02-03,22.99228923594633
2019-02-10,29.98994248166913
2019-02-24,30.989607231058102
2019-03-10,52.98223171761546
2019-03-24,31.98927198044707
2019-04-07,17.49396548900148
2019-04-14,51.98256696822649
2019-04-21,23.491953985335304
2019-05-05,25.991283484113247
2019-05-12,32.48893672983604
2019-05-19,17.99396548900148
2019-05-26,41.98591947433678
2019-06-02,58.98022021394929
2019-06-09,92.9688216931743
2019-06-16,30.489607231058102
2019-06-30,27.990612982891186
2019-08-04,38.98692522616987
2019-08-11,53.98189646700443
2019-09-01,38.98692522616987
2019-09-15,22.49262448655736
2019-09-22,33.48860147922501
2019-10-06,37.9872604767809
2019-10-20,35.98793097800296
2019-11-03,38.98692522616987
2019-11-10,19.99329498777942
2019-11-17,22.99228923594633
2019-11-24,22.99228923594633
2019-12-22,38.98692522616987
2020-01-05,99.96647493889711
2020-01-12,36.98759572739193
2020-01-19,16.994300739612505
2020-02-16,33.98860147922501
2020-03-01,25.991283484113247
2020-03-15,12.995641742056623
2020-03-22,20.99295973716839
2020-03-29,20.99295973716839
2020-04-12,19.49329498777942
2020-04-26,13.995306491445593
2020-05-17,27.990612982891186
2020-05-24,18.99363023839045
2020-05-31,24.991618734724277
2020-06-07,24.491953985335304
2020-06-21,13.995306491445593
2020-06-28,39.98658997555884
2020-07-05,43.98524897311472
2020-07-12,39.48692522616987
2020-07-19,25.991283484113247
2020-07-26,13.495641742056623
2020-08-09,14.994971240834564
2020-08-16,24.991618734724277
2020-08-23,18.99363023839045
2020-08-30,23.991953985335304
2020-09-06,19.99329498777942
2020-09-13,46.48424322128164
2020-09-27,39.98658997555884
2020-10-04,33.98860147922501
2020-10-18,19.99329498777942
2020-10-25,45.98457847189266
2020-11-01,17.99396548900148
2020-11-15,32.48893672983604
2020-11-29,17.99396548900148
2020-12-06,37.9872604767809
2020-12-20,31.98927198044707
2021-01-03,39.98658997555884
2021-01-10,30.989607231058102
2021-01-17,21.99262448655736
2021-01-24,67.97720295845002
2021-02-07,28.99027773228016
2021-02-14,30.989607231058102
2021-02-21,52.48256696822649
2021-03-07,55.98122596578237
2021-03-14,97.46748069073018
2021-03-28,43.98524897311472
2021-04-04,23.991953985335304
2021-04-11,14.994971240834564
2021-04-25,21.99262448655736
2021-05-09,23.991953985335304
2021-05-16,98.96681018950812
2021-05-30,40.98625472494781
2021-06-06,53.48223171761546
2021-06-13,58.48022021394929
2021-06-20,18.99363023839045
2021-06-27,26.990948233502216
2021-07-11,30.989607231058102
2021-07-18,25.991283484113247
2021-07-25,22.99228923594633
2021-08-01,17.99396548900148
2021-08-08,52.98223171761546
2021-08-15,27.990612982891186
2021-08-29,48.98357272005958
2021-09-05,45.98457847189266
2021-10-03,42.98558422372575
2021-10-17,53.98189646700443
2021-10-24,47.98390797067061
2021-10-31,51.98256696822649
2021-11-07,31.489607231058102
2021-11-14,44.98491372250369
2021-11-21,16.994300739612505
2021-11-28,50.98290221883752
2021-12-12,59.47988496333826
2021-12-26,20.99295973716839
2022-01-02,33.97720295845003
2022-01-16,26.981896467004432
2022-01-23,26.981896467004432
2022-02-06,42.971168447451504
2022-02-13,43.97049794622944
2022-02-20,66.95507641812212
2022-03-06,31.978543960894143
2022-03-13,46.968486442563275
2022-03-27,99.9329498777942
2022-04-03,69.95306491445594
2022-04-10,26.981896467004432
2022-04-17,35.975861956005915
2022-04-24,26.981896467004432
2022-05-01,30.9792144621162
2022-05-08,31.978543960894143
2022-05-15,58.960440427898575
2022-05-29,37.97452095356179
2022-06-05,19.98658997555884
2022-06-12,31.978543960894143
2022-06-26,22.984578471892664
2022-07-03,37.97452095356179
2022-07-10,20.985919474336782
2022-07-24,42.971168447451504
2022-07-31,58.960440427898575
2022-08-07,39.97317995111768
2022-08-14,44.96982744500739
2022-08-28,51.965133936452986
2022-09-18,45.96915694378533
