date,Portland OR
2017-01-01,28.291
2017-01-08,45.685
2017-01-15,33.355
2017-01-22,37.721
2017-02-05,27.942
2017-02-12,56.757
2017-02-19,33.268
2017-02-26,39.398
2017-03-05,36.15
2017-03-12,24.1
2017-03-19,30.387
2017-03-26,74.395
2017-04-02,30.561
2017-04-09,33.53
2017-04-16,63.393
2017-04-23,24.449
2017-04-30,63.288
2017-05-07,31.085
2017-05-14,33.879
2017-05-21,42.611
2017-06-04,42.96
2017-06-11,46.733
2017-06-18,62.45
2017-06-25,48.723
2017-07-02,39.817
2017-07-09,43.135
2017-07-23,53.439
2017-07-30,35.8
2017-08-06,27.243
2017-08-13,41.389
2017-08-20,51.343
2017-08-27,38.42
2017-09-03,15.717
2017-09-10,17.813
2017-09-17,28.029
2017-09-24,28.466
2017-10-01,41.214
2017-10-15,22.528
2017-10-29,32.22
2017-11-05,49.597
2017-11-12,22.179
2017-11-26,19.21
2017-12-03,24.449
2017-12-17,33.792
2017-12-24,34.578
2017-12-31,33.53
2018-01-07,26.606
2018-01-14,23.751
2018-01-21,79.843
2018-02-04,34.215
2018-02-11,17.977
2018-02-18,33.528
2018-02-25,30.542
2018-03-04,45.947
2018-03-11,51.23
2018-03-18,26.535
2018-03-25,51.832
2018-04-01,37.366
2018-04-08,29.3
2018-04-15,16.605
2018-04-29,38.57
2018-05-06,24.031
2018-05-13,37.226
2018-05-20,31.534
2018-05-27,26.19
2018-06-10,36.316
2018-06-17,49.346
2018-06-24,41.976
2018-07-01,24.091
2018-07-08,44.184
2018-07-15,31.508
2018-07-22,50.218
2018-07-29,39.291
2018-08-05,43.303
2018-08-12,35.811
2018-08-19,33.583
2018-08-26,37.173
2018-09-02,27.542
2018-09-09,28.796
2018-09-16,29.319
2018-09-23,22.545
2018-09-30,41.536
2018-10-07,36.702
2018-10-14,32.011
2018-10-28,63.089
2018-11-04,32.132
2018-11-11,35.394
2018-11-18,37.953
2018-11-25,45.685
2018-12-02,40.896
2018-12-09,78.338
2018-12-16,39.297
2018-12-30,32.461
2019-01-06,53.235
2019-01-13,39.077
2019-01-27,29.152
2019-02-03,52.126
2019-02-10,42.421
2019-02-17,29.466
2019-02-24,32.818
2019-03-03,58.639
2019-03-10,63.98
2019-03-17,65.896
2019-03-24,27.59
2019-04-07,35.61
2019-04-14,46.099
2019-04-21,34.873
2019-04-28,70.942
2019-05-05,50.557
2019-05-12,37.144
2019-05-19,46.399
2019-05-26,54.798
2019-06-02,78.168
2019-06-09,61.492
2019-06-16,47.091
2019-06-23,24.109
2019-06-30,43.127
2019-07-07,41.287
2019-07-28,24.609
2019-08-04,37.382
2019-08-11,32.488
2019-08-18,32.688
2019-08-25,40.928
2019-09-01,28.856
2019-09-15,32.056
2019-09-22,25.125
2019-10-06,51.328
2019-10-13,40.002
2019-10-20,38.055
2019-10-27,50.622
2019-11-03,30.838
2019-11-10,28.003
2019-11-17,61.813
2019-11-24,37.104
2019-12-01,32.865
2019-12-08,67.516
2019-12-15,44.234
2019-12-22,26.698
2019-12-29,26.897
2020-01-05,52.032
2020-01-12,50.472
2020-01-19,38.209
2020-02-02,29.319
2020-02-09,25.146
2020-02-16,35.653
2020-03-01,30.526
2020-03-15,27.466
2020-03-22,22.021
2020-03-29,20.371
2020-04-05,32.835
2020-04-12,19.924
2020-04-19,23.037
2020-04-26,30.046
2020-05-03,29.38
2020-05-10,34.825
2020-05-17,60.049
2020-05-24,34.012
2020-05-31,36.662
2020-06-07,37.728
2020-06-21,20.572
2020-06-28,48.577
2020-07-05,68.748
2020-07-12,42.955
2020-07-19,20.955
2020-07-26,43.312
2020-08-02,30.518
2020-08-09,70.632
2020-08-16,36.697
2020-08-23,19.924
2020-08-30,27.393
2020-09-06,20.952
2020-09-13,47.706
2020-09-20,48.557
2020-09-27,30.346
2020-10-04,62.355
2020-10-11,19.821
2020-10-18,35.62
2020-10-25,59.798
2020-11-01,37.427
2020-11-15,35.349
2020-11-22,46.073
2020-11-29,18.857
2020-12-06,47.837
2020-12-13,77.04
2020-12-20,53.549
2020-12-27,25.4
2021-01-03,42.237
2021-01-10,38.241
2021-01-17,22.35
2021-01-24,41.479
2021-01-31,23.037
2021-02-07,45.737
2021-02-14,50.312
2021-02-21,30.642
2021-03-07,31.54
2021-03-14,73.997
2021-03-21,27.326
2021-03-28,40.613
2021-04-04,26.786
2021-04-11,35.683
2021-04-18,100.0
2021-04-25,28.108
2021-05-02,23.037
2021-05-09,33.936
2021-05-16,50.91
2021-05-23,25.131
2021-05-30,36.67
2021-06-06,45.838
2021-06-13,43.982
2021-06-20,42.95
2021-06-27,32.474
2021-07-04,68.04
2021-07-11,51.891
2021-07-18,27.936
2021-07-25,21.303
2021-08-01,27.583
2021-08-08,34.781
2021-08-15,38.726
2021-08-22,42.17
2021-08-29,67.453
2021-09-05,41.257
2021-09-12,28.398
2021-09-19,69.156
2021-09-26,25.181
2021-10-03,39.396
2021-10-17,56.197
2021-10-24,54.5
2021-10-31,56.646
2021-11-07,33.556
2021-11-14,39.638
2021-11-21,32.187
2021-11-28,44.532
2021-12-05,70.891
2021-12-12,81.081
2021-12-19,56.74
2021-12-26,38.413
2022-01-02,62.431
2022-01-09,30.33
2022-01-16,28.334
2022-01-23,64.744
2022-01-30,52.741
2022-02-06,49.428
2022-02-13,41.257
2022-02-20,81.757
2022-02-27,50.32
2022-03-06,29.716
2022-03-13,52.579
2022-03-20,34.274
2022-03-27,91.458
2022-04-03,37.276
2022-04-10,28.334
2022-04-17,60.987
2022-04-24,46.082
2022-05-01,45.337
2022-05-08,46.609
2022-05-15,60.1
2022-05-22,49.953
2022-05-29,42.942
2022-06-05,55.498
2022-06-12,33.063
2022-06-19,18.507
2022-06-26,52.002
2022-07-03,30.733
2022-07-10,60.431
2022-07-17,46.792
2022-07-24,41.905
