,MVT_GT_Raleigh-Durham (Fayetteville) NC
2017-02-05,32.0
2017-02-26,31.0
2017-03-12,32.0
2017-03-19,26.0
2017-03-26,19.0
2017-04-30,26.0
2017-06-18,23.0
2017-07-09,29.0
2017-10-01,100.0
2017-10-15,24.0
2017-12-03,49.0
2017-12-10,28.0
2018-01-28,32.875305720240384
2018-02-04,15.778270217114182
2018-03-04,36.012836292264424
2018-04-01,58.566167653426675
2018-05-13,18.91580078913822
2018-05-27,18.006418146132212
2018-06-03,42.7878974363125
2018-06-10,28.828392505210335
2018-06-24,22.96271400416827
2018-07-15,51.79110650937861
2018-07-29,41.87851479330649
2018-08-12,18.006418146132212
2018-08-19,34.1940710062524
2018-08-26,18.006418146132212
2018-09-09,24.281479290180286
2018-09-23,34.6940710062524
2018-10-21,16.187652860120192
2018-11-04,24.781479290180286
2018-11-11,26.100244576192306
2018-12-30,22.96271400416827
2019-01-20,28.828392505210335
2019-02-17,14.868887574108172
2019-02-24,25.690861933186298
2019-03-03,18.006418146132212
2019-03-17,23.372096647174278
2019-04-07,21.14394871815625
2019-06-09,38.240984221282446
2019-06-16,17.0970355031262
2019-06-23,45.92542800833654
2019-06-30,20.23456607515024
2019-07-07,31.965923077234372
2019-07-14,27.919009862204327
2019-08-11,37.83160157827644
2019-08-25,21.14394871815625
2019-09-15,14.868887574108172
2019-10-20,22.053331361162257
2019-10-27,21.14394871815625
2019-11-10,24.781479290180286
2019-11-17,18.006418146132212
2019-12-01,30.147157791222355
2019-12-29,25.190861933186298
2020-02-02,34.6940710062524
2020-02-16,26.100244576192306
2020-03-29,20.23456607515024
2020-04-05,27.919009862204327
2020-04-26,24.281479290180286
2020-05-24,18.91580078913822
2020-05-31,47.744193294348555
2020-06-28,52.70048915238461
2020-07-05,81.93826430060096
2020-07-12,41.87851479330649
2020-07-19,15.278270217114182
2020-07-26,30.147157791222355
2020-08-16,23.872096647174278
2020-08-23,45.92542800833654
2020-09-06,15.778270217114182
2020-09-13,40.05974950729447
2020-09-20,49.972341223366584
2020-09-27,32.875305720240384
2020-10-04,36.012836292264424
2020-10-18,23.872096647174278
2020-11-22,27.919009862204327
2020-11-29,24.781479290180286
2020-12-13,26.100244576192306
2020-12-20,49.06295858036057
2021-01-17,17.0970355031262
2021-01-24,23.372096647174278
2021-03-14,31.965923077234372
2021-03-28,28.328392505210335
2021-04-04,16.687652860120192
2021-04-11,49.972341223366584
2021-05-02,27.919009862204327
2021-05-16,40.96913215030048
2021-06-06,22.053331361162257
2021-06-20,20.73456607515024
2021-07-18,57.15678501042067
2021-07-25,30.147157791222355
2021-09-19,33.78468836324639
2021-09-26,22.053331361162257
2021-10-17,25.190861933186298
2021-10-24,18.006418146132212
2021-11-14,25.190861933186298
2021-11-21,34.1940710062524
2021-12-05,20.23456607515024
2021-12-12,22.96271400416827
2021-12-19,63.02246351146273
2022-01-30,20.469132150300478
2022-02-06,32.75061144048077
2022-02-20,18.83160157827644
2022-03-06,41.75702958661298
2022-03-27,14.737775148216345
2022-04-03,33.569376726492784
2022-04-10,36.84443787054086
2022-04-17,26.200489152384613
2022-05-08,30.294315582444707
2022-06-05,45.032090730661054
2022-06-19,33.569376726492784
2022-07-17,15.556540434228364
2022-07-24,36.02567258452884
2022-07-31,36.02567258452884
2022-08-07,40.11949901458894
2022-08-21,40.11949901458894
2022-09-18,30.294315582444707
2022-10-23,45.85085601667307
2022-11-06,31.931846154468747
2022-11-13,42.575794872624996
2022-11-20,31.113080868456727
2022-11-27,25.381723866372592
2022-12-04,49.12591716072115
2022-12-11,18.83160157827644
2022-12-25,20.469132150300478
