date,Raleigh-Durham (Fayetteville) NC
2017-01-08,31.8
2017-01-15,47.6
2017-01-22,24.0
2017-01-29,38.0
2017-02-05,29.333
2017-02-12,19.0
2017-02-19,31.0
2017-03-05,52.0
2017-03-12,17.5
2017-03-19,63.2
2017-04-02,39.857
2017-04-16,38.0
2017-04-23,22.2
2017-04-30,18.0
2017-05-07,35.0
2017-05-14,26.2
2017-05-21,34.8
2017-05-28,27.0
2017-06-04,20.0
2017-06-25,19.0
2017-07-23,18.0
2017-08-06,80.286
2017-08-13,45.0
2017-08-20,30.8
2017-09-03,31.0
2017-09-10,88.0
2017-09-24,35.0
2017-10-01,28.0
2017-10-08,19.0
2017-10-15,36.571
2017-10-29,76.4
2017-11-05,15.0
2017-11-12,21.0
2017-11-19,16.0
2017-11-26,60.4
2017-12-03,66.4
2017-12-10,26.6
2017-12-17,62.0
2017-12-24,31.5
2018-01-07,18.101
2018-01-14,12.0
2018-02-04,19.843
2018-02-11,20.023
2018-02-18,25.933
2018-02-25,19.863
2018-03-04,27.863
2018-04-01,23.773
2018-04-08,20.0
2018-04-22,13.0
2018-05-06,35.454
2018-05-27,44.034
2018-06-03,26.864
2018-06-17,38.981
2018-06-24,40.908
2018-07-01,25.444
2018-07-15,32.397
2018-07-22,19.5
2018-07-29,15.0
2018-08-05,20.546
2018-08-12,29.865
2018-08-26,28.102
2018-09-02,25.0
2018-09-16,19.0
2018-09-30,20.0
2018-10-07,28.87
2018-10-14,41.08
2018-10-21,39.139
2018-10-28,73.884
2018-11-04,35.282
2018-11-11,28.7
2018-11-18,26.0
2018-11-25,21.0
2018-12-02,26.045
2018-12-09,28.528
2018-12-16,32.346
2018-12-23,24.954
2018-12-30,17.811
2019-01-13,14.0
2019-01-27,23.759
2019-02-03,18.0
2019-02-17,24.118
2019-02-24,29.512
2019-03-03,25.911
2019-03-10,48.546
2019-03-17,35.468
2019-03-31,16.715
2019-04-07,33.045
2019-04-14,17.122
2019-04-21,12.0
2019-04-28,61.223
2019-05-12,15.0
2019-05-19,23.005
2019-06-09,21.6
2019-06-16,37.181
2019-06-23,37.114
2019-06-30,49.159
2019-07-07,28.159
2019-07-14,26.014
2019-07-21,21.254
2019-07-28,53.0
2019-08-04,52.894
2019-08-11,37.283
2019-08-25,25.505
2019-09-01,25.933
2019-09-08,17.0
2019-09-22,57.736
2019-09-29,12.727
2019-10-06,21.905
2019-10-13,18.402
2019-10-20,18.274
2019-10-27,22.97
2019-11-03,22.831
2019-11-10,22.185
2019-11-24,20.822
2019-12-01,29.706
2019-12-08,20.234
2019-12-15,24.954
2019-12-22,21.969
2019-12-29,35.309
2020-01-05,54.541
2020-01-12,37.181
2020-01-19,37.214
2020-01-26,22.496
2020-02-02,43.885
2020-02-16,37.706
2020-02-23,21.038
2020-03-01,18.822
2020-03-08,17.0
2020-03-15,33.205
2020-03-22,14.435
2020-04-05,19.214
2020-04-12,20.739
2020-04-19,12.717
2020-05-17,21.015
2020-05-24,30.942
2020-05-31,55.8
2020-06-07,26.045
2020-06-14,19.0
2020-06-28,17.091
2020-07-12,18.068
2020-07-19,20.733
2020-07-26,22.551
2020-08-02,17.025
2020-08-09,37.732
2020-08-16,19.951
2020-08-23,23.089
2020-09-06,33.417
2020-09-13,14.641
2020-09-20,17.027
2020-09-27,32.088
2020-10-04,23.0
2020-10-11,13.0
2020-10-18,18.101
2020-10-25,21.675
2020-11-01,57.241
2020-11-08,31.322
2020-11-15,27.165
2020-11-22,27.391
2020-11-29,17.03
2020-12-06,15.164
2020-12-13,25.602
2020-12-20,37.216
2020-12-27,30.454
2021-01-03,27.853
2021-01-10,23.695
2021-01-17,22.017
2021-01-24,30.797
2021-01-31,31.25
2021-02-07,23.236
2021-02-14,23.52
2021-02-28,27.827
2021-03-07,42.431
2021-03-14,23.168
2021-03-21,100.0
2021-03-28,21.973
2021-04-04,26.685
2021-04-11,22.779
2021-04-18,15.0
2021-05-16,28.839
2021-05-23,32.446
2021-05-30,17.54
2021-06-06,14.072
2021-06-13,22.173
2021-06-20,22.092
2021-06-27,22.561
2021-07-11,17.988
2021-07-25,38.4
2021-08-01,14.853
2021-08-08,19.186
2021-08-29,29.91
2021-09-12,30.0
2021-09-26,13.0
2021-10-03,13.572
2021-10-10,29.349
2021-10-17,14.0
2021-10-24,24.703
2021-10-31,44.932
2021-11-07,17.0
2021-11-14,86.273
2021-11-21,23.318
2021-11-28,16.143
2021-12-05,40.28
2021-12-12,23.0
2021-12-19,33.256
2021-12-26,23.019
2022-01-09,23.07
2022-01-16,24.499
2022-01-23,26.728
2022-01-30,27.494
2022-02-06,32.496
2022-02-13,17.748
2022-02-20,19.912
2022-02-27,15.328
2022-03-06,25.763
2022-03-13,15.0
2022-03-20,19.091
2022-03-27,23.864
2022-04-03,30.136
2022-04-10,30.829
2022-04-17,31.537
2022-04-24,20.954
2022-05-01,31.5
2022-05-08,60.873
2022-05-15,21.076
2022-05-29,22.5
2022-06-05,27.335
2022-06-12,36.402
2022-06-19,26.345
2022-07-03,53.901
2022-07-10,26.728
2022-07-17,35.7
2022-07-24,29.643
2022-07-31,16.255
2022-08-07,52.527
2022-08-14,40.522
2022-08-21,39.349
2022-09-04,18.517
2022-09-18,19.115
2022-09-25,17.0
2022-10-09,41.875
2022-10-23,20.118
2022-10-30,22.034
2022-11-06,27.924
2022-11-13,24.818
2022-11-20,21.362
2022-11-27,21.955
2022-12-04,36.654
2022-12-11,31.741
2022-12-18,25.128
2022-12-25,50.771
