,MVT_GT_Sacramento-Stockton-Modesto CA
2017-01-01,21.0
2017-01-08,66.0
2017-01-22,23.0
2017-01-29,18.0
2017-02-05,31.0
2017-02-19,37.0
2017-03-05,29.0
2017-03-19,38.0
2017-03-26,34.0
2017-04-02,68.0
2017-04-09,21.0
2017-04-16,43.0
2017-05-07,23.0
2017-05-14,18.0
2017-05-21,32.0
2017-05-28,39.0
2017-06-11,24.0
2017-07-09,59.0
2017-07-23,40.0
2017-07-30,52.0
2017-08-27,73.0
2017-09-03,47.0
2017-09-17,18.0
2017-09-24,32.0
2017-10-08,67.0
2017-10-15,100.0
2017-10-22,76.0
2017-10-29,20.0
2017-11-12,50.0
2017-11-19,44.0
2017-12-03,39.0
2017-12-10,34.0
2017-12-31,33.0
2018-01-14,44.71035527758643
2018-01-21,42.35611084383311
2018-01-28,46.991721928216414
2018-02-04,19.823810988163228
2018-02-11,22.605177638793215
2018-02-18,43.78323306070976
2018-02-25,22.105177638793215
2018-03-04,31.303522024436496
2018-03-11,41.00186641007978
2018-03-25,21.178055421916554
2018-04-15,20.25093320503989
2018-04-29,52.05445522947639
2018-05-13,49.7730885788464
2018-05-20,38.220499759449794
2018-06-03,23.032299855669876
2018-06-17,32.73064424131316
2018-07-01,26.240788723176525
2018-07-08,36.36625532569647
2018-07-15,26.740788723176525
2018-07-22,20.25093320503989
2018-07-29,64.46128848262632
2018-08-05,79.22236616952958
2018-08-12,29.949277590683174
2018-08-19,19.823810988163228
2018-08-26,62.17992183199633
2018-09-02,41.00186641007978
2018-09-09,31.803522024436496
2018-09-16,65.88841069950297
2018-09-30,22.105177638793215
2018-10-21,57.11718853073636
2018-10-28,46.991721928216414
2018-11-04,65.38841069950297
2018-11-25,48.34596636196974
2018-12-02,15.688199903779918
2018-12-09,58.47143296448968
2018-12-16,51.62733301259972
2018-12-30,14.761077686903256
2019-01-06,85.21222168766622
2019-01-13,43.78323306070976
2019-01-20,21.178055421916554
2019-01-27,47.418844145093075
2019-02-03,42.35611084383311
2019-02-10,25.81366650629986
2019-02-17,26.240788723176525
2019-02-24,29.022155373806513
2019-03-03,26.240788723176525
2019-03-10,38.220499759449794
2019-03-17,17.9695665544099
2019-03-24,27.667910940053186
2019-03-31,59.39855518136635
2019-05-12,14.261077686903256
2019-05-19,50.700210795723066
2019-06-09,55.262944096983034
2019-06-16,29.949277590683174
2019-07-07,40.50186641007978
2019-07-14,44.21035527758643
2019-07-21,31.803522024436496
2019-07-28,23.032299855669876
2019-08-11,25.81366650629986
2019-08-18,29.022155373806513
2019-09-15,44.71035527758643
2019-09-22,17.04244433753324
2019-09-29,29.949277590683174
2019-10-06,16.61532212065658
2019-10-13,12.90683325314993
2019-10-20,22.105177638793215
2019-10-27,49.2730885788464
2019-11-03,36.86625532569647
2019-11-10,40.07474419320312
2019-11-24,76.01387730202293
2019-12-01,16.11532212065658
2019-12-08,34.08488867506648
2019-12-15,41.00186641007978
2019-12-22,18.896688771286566
2019-12-29,30.876399807559835
2020-01-05,16.11532212065658
2020-02-02,18.396688771286566
2020-02-16,21.178055421916554
2020-02-23,50.200210795723066
2020-03-01,16.61532212065658
2020-03-08,12.90683325314993
2020-03-15,29.022155373806513
2020-03-29,17.9695665544099
2020-04-05,27.667910940053186
2020-04-19,25.31366650629986
2020-04-26,19.823810988163228
2020-05-03,27.667910940053186
2020-05-10,35.9391331088198
2020-05-17,12.90683325314993
2020-05-31,47.918844145093075
2020-06-07,69.09689956700963
2020-06-14,28.095033156929848
2020-06-21,18.396688771286566
2020-06-28,16.61532212065658
2020-07-19,37.79337754257313
2020-07-26,23.959422072546538
2020-08-02,22.105177638793215
2020-08-09,34.08488867506648
2020-08-16,31.803522024436496
2020-08-23,35.01201089194315
2020-09-06,24.3865442894232
2020-09-13,19.823810988163228
2020-09-20,12.90683325314993
2020-09-27,27.167910940053186
2020-10-04,50.200210795723066
2020-10-11,46.06459971133975
2020-10-18,23.959422072546538
2020-10-25,13.833955470026593
2020-11-08,22.105177638793215
2020-11-15,28.095033156929848
2020-11-29,46.06459971133975
2020-12-13,14.761077686903256
2020-12-20,24.8865442894232
2020-12-27,29.949277590683174
2021-01-03,29.022155373806513
2021-01-17,18.896688771286566
2021-01-24,18.896688771286566
2021-02-14,31.303522024436496
2021-02-21,15.688199903779918
2021-03-07,45.13747749446309
2021-03-14,45.13747749446309
2021-03-21,18.896688771286566
2021-03-28,22.105177638793215
2021-04-04,16.11532212065658
2021-04-11,15.688199903779918
2021-04-18,30.876399807559835
2021-04-25,21.178055421916554
2021-05-02,14.761077686903256
2021-05-16,68.16977735013296
2021-05-23,29.949277590683174
2021-06-13,35.01201089194315
2021-06-20,35.01201089194315
2021-07-18,31.803522024436496
2021-07-25,17.9695665544099
2021-08-01,12.90683325314993
2021-08-08,32.23064424131316
2021-08-15,36.36625532569647
2021-08-22,32.23064424131316
2021-08-29,29.022155373806513
2021-09-05,23.032299855669876
2021-09-19,30.876399807559835
2021-09-26,50.200210795723066
2021-10-10,27.167910940053186
2021-10-24,13.333955470026593
2021-11-07,28.095033156929848
2021-11-14,15.688199903779918
2021-11-21,26.240788723176525
2021-11-28,14.261077686903256
2021-12-19,30.376399807559835
2021-12-26,25.81366650629986
2022-01-02,30.75279961511967
2022-01-16,29.04431074761302
2022-02-13,14.52215537380651
2022-03-06,23.918844145093075
2022-03-13,30.75279961511967
2022-03-20,34.16977735013297
2022-04-03,29.898555181366344
2022-04-10,30.75279961511967
2022-04-17,30.75279961511967
2022-05-01,18.793377542573133
2022-05-08,19.647621976326455
2022-05-15,14.52215537380651
2022-05-22,31.607044048872993
2022-05-29,22.210355277586427
2022-06-12,38.44099951889959
2022-06-26,16.230644241313158
2022-07-10,23.064599711339753
2022-07-17,17.939133108819806
2022-07-24,13.667910940053186
2022-07-31,22.210355277586427
2022-08-07,22.210355277586427
2022-08-14,64.06833253149931
2022-08-21,14.52215537380651
2022-08-28,25.627333012599724
2022-09-04,14.52215537380651
2022-09-11,27.335821880106373
2022-09-25,44.42071055517285
2022-10-02,34.16977735013297
2022-10-09,11.105177638793213
2022-10-16,21.356110843833104
2022-10-30,28.190066313859695
2022-11-06,51.25466602519945
2022-11-13,19.647621976326455
2022-11-20,14.52215537380651
2022-11-27,11.959422072546538
2022-12-04,11.105177638793213
2022-12-25,24.7730885788464
