date,Sacramento-Stockton-Modesto CA
2017-01-01,74.55
2017-01-08,52.956
2017-01-15,39.846
2017-01-22,58.612
2017-01-29,50.386
2017-02-05,36.504
2017-02-12,52.185
2017-02-19,68.38
2017-02-26,64.01
2017-03-05,57.069
2017-03-12,47.558
2017-03-19,44.73
2017-03-26,62.725
2017-04-02,66.581
2017-04-09,48.843
2017-04-16,40.617
2017-04-23,64.267
2017-04-30,54.627
2017-05-07,48.843
2017-05-14,46.787
2017-05-21,44.473
2017-05-28,54.499
2017-06-04,53.213
2017-06-11,25.964
2017-06-18,51.414
2017-06-25,59.897
2017-07-02,52.271
2017-07-09,53.985
2017-07-16,39.846
2017-07-23,26.992
2017-07-30,54.756
2017-08-06,40.703
2017-08-13,45.501
2017-08-20,22.622
2017-08-27,35.219
2017-09-03,53.728
2017-09-10,24.936
2017-09-17,46.272
2017-09-24,45.758
2017-10-01,60.154
2017-10-08,44.473
2017-10-15,40.103
2017-10-22,48.329
2017-10-29,54.756
2017-11-05,28.706
2017-11-12,52.956
2017-11-19,52.185
2017-11-26,23.136
2017-12-03,28.535
2017-12-10,47.815
2017-12-17,43.445
2017-12-24,25.964
2017-12-31,34.961
2018-01-07,47.129
2018-01-14,83.548
2018-01-21,47.558
2018-01-28,35.733
2018-02-04,63.753
2018-02-11,40.617
2018-02-18,26.564
2018-02-25,34.447
2018-03-04,37.789
2018-03-11,30.077
2018-03-18,35.733
2018-03-25,52.699
2018-04-01,33.933
2018-04-08,65.296
2018-04-15,41.902
2018-04-22,67.866
2018-04-29,47.044
2018-05-06,26.992
2018-05-13,39.846
2018-05-20,42.416
2018-05-27,35.99
2018-06-03,47.558
2018-06-10,26.992
2018-06-17,36.504
2018-06-24,37.532
2018-07-01,50.9
2018-07-08,43.445
2018-07-15,26.35
2018-07-22,28.535
2018-07-29,42.845
2018-08-05,47.558
2018-08-12,43.188
2018-08-19,30.848
2018-08-26,41.645
2018-09-02,23.393
2018-09-09,27.763
2018-09-16,62.211
2018-09-23,21.851
2018-09-30,44.73
2018-10-07,61.183
2018-10-14,23.65
2018-10-21,33.676
2018-10-28,53.213
2018-11-04,18.423
2018-11-11,38.046
2018-11-18,50.129
2018-11-25,60.411
2018-12-02,35.733
2018-12-09,16.452
2018-12-16,34.19
2018-12-23,93.573
2018-12-30,15.424
2019-01-06,28.792
2019-01-13,37.789
2019-01-20,39.203
2019-01-27,53.985
2019-02-03,51.414
2019-02-10,41.388
2019-02-17,50.386
2019-02-24,52.442
2019-03-03,65.039
2019-03-10,25.707
2019-03-17,53.728
2019-03-24,44.216
2019-03-31,30.848
2019-04-07,31.877
2019-04-14,50.643
2019-04-21,44.216
2019-04-28,48.329
2019-05-05,51.928
2019-05-12,27.849
2019-05-19,57.584
2019-05-26,32.134
2019-06-02,31.877
2019-06-09,51.157
2019-06-16,36.247
2019-06-23,37.532
2019-06-30,30.591
2019-07-07,46.272
2019-07-14,44.987
2019-07-21,30.848
2019-07-28,53.47
2019-08-04,42.931
2019-08-11,59.383
2019-08-18,46.015
2019-08-25,26.135
2019-09-01,60.668
2019-09-08,17.138
2019-09-15,25.707
2019-09-22,26.992
2019-09-29,38.56
2019-10-06,51.414
2019-10-13,29.563
2019-10-20,35.99
2019-10-27,52.442
2019-11-03,33.419
2019-11-10,52.956
2019-11-17,50.386
2019-11-24,67.095
2019-12-01,37.532
2019-12-08,49.357
2019-12-15,40.617
2019-12-22,51.671
2019-12-29,48.843
2020-01-05,46.701
2020-01-12,26.478
2020-01-19,28.535
2020-01-26,38.303
2020-02-02,41.902
2020-02-09,43.445
2020-02-16,28.278
2020-02-23,55.013
2020-03-01,31.362
2020-03-08,39.846
2020-03-15,18.766
2020-03-22,28.278
2020-03-29,34.447
2020-04-05,44.73
2020-04-12,35.99
2020-04-19,43.188
2020-04-26,38.56
2020-05-03,19.28
2020-05-10,28.792
2020-05-17,39.332
2020-05-24,54.242
2020-05-31,100.0
2020-06-07,61.44
2020-06-14,37.789
2020-06-21,48.329
2020-06-28,30.334
2020-07-05,40.36
2020-07-12,43.445
2020-07-19,26.564
2020-07-26,37.789
2020-08-02,52.185
2020-08-09,38.303
2020-08-16,43.188
2020-08-23,43.702
2020-08-30,34.704
2020-09-06,43.188
2020-09-13,33.933
2020-09-20,38.046
2020-09-27,22.365
2020-10-04,36.632
2020-10-11,14.996
2020-10-18,20.994
2020-10-25,27.249
2020-11-01,26.992
2020-11-08,31.105
2020-11-15,35.733
2020-11-22,42.416
2020-11-29,39.846
2020-12-06,21.851
2020-12-13,49.614
2020-12-20,82.519
2020-12-27,55.527
2021-01-03,58.355
2021-01-10,31.877
2021-01-17,82.776
2021-01-24,69.923
2021-01-31,40.103
2021-02-07,88.432
2021-02-14,50.386
2021-02-21,43.702
2021-02-28,49.7
2021-03-07,33.847
2021-03-14,31.877
2021-03-21,35.219
2021-03-28,44.73
2021-04-04,42.931
2021-04-11,67.095
2021-04-18,55.913
2021-04-25,50.386
2021-05-02,30.42
2021-05-09,41.388
2021-05-16,39.846
2021-05-23,51.671
2021-05-30,62.982
2021-06-06,39.589
2021-06-13,49.614
2021-06-20,57.326
2021-06-27,26.992
2021-07-04,99.486
2021-07-11,29.563
2021-07-18,61.183
2021-07-25,58.612
2021-08-01,82.519
2021-08-08,66.581
2021-08-15,56.298
2021-08-22,52.699
2021-08-29,54.499
2021-09-05,62.468
2021-09-12,32.905
2021-09-19,39.203
2021-09-26,52.442
2021-10-03,38.132
2021-10-10,45.244
2021-10-17,45.844
2021-10-24,66.195
2021-10-31,42.674
2021-11-07,38.989
2021-11-14,48.843
2021-11-21,18.852
2021-11-28,38.046
2021-12-05,44.473
2021-12-12,25.707
2021-12-19,68.638
2021-12-26,41.645
2022-01-02,33.419
2022-01-09,63.625
2022-01-16,92.031
2022-01-23,78.92
2022-01-30,74.807
2022-02-06,61.954
2022-02-13,35.476
2022-02-20,39.203
2022-02-27,57.841
2022-03-06,51.928
2022-03-13,51.414
2022-03-20,37.532
2022-03-27,58.098
2022-04-03,64.267
2022-04-10,52.185
2022-04-17,57.584
2022-04-24,47.301
2022-05-01,49.357
2022-05-08,31.62
2022-05-15,38.046
2022-05-22,46.015
2022-05-29,49.871
2022-06-05,66.581
2022-06-12,72.237
2022-06-19,45.501
2022-06-26,27.506
2022-07-03,46.272
2022-07-10,55.27
2022-07-17,59.64
2022-07-24,61.954
2022-07-31,53.728
2022-08-07,64.267
2022-08-14,55.013
2022-08-21,66.838
2022-08-28,59.897
2022-09-04,47.558
2022-09-11,61.183
2022-09-18,32.648
2022-09-25,59.126
2022-10-02,53.985
2022-10-09,58.612
2022-10-16,55.784
2022-10-23,60.925
2022-10-30,25.707
2022-11-06,42.674
2022-11-13,73.522
2022-11-20,37.018
2022-11-27,80.206
2022-12-04,35.476
2022-12-11,23.393
2022-12-18,49.7
2022-12-25,55.527
