date,San Antonio TX
2017-01-01,27.0
2017-01-29,26.0
2017-02-05,37.6
2017-02-12,47.4
2017-02-19,60.0
2017-02-26,32.4
2017-03-19,47.0
2017-04-09,27.0
2017-04-16,21.0
2017-04-23,63.0
2017-04-30,23.0
2017-05-14,29.0
2017-05-21,33.2
2017-06-04,21.8
2017-06-18,100.0
2017-06-25,17.0
2017-07-09,27.333
2017-07-30,64.0
2017-09-03,24.0
2017-09-10,17.0
2017-09-17,32.4
2017-10-01,20.0
2017-10-08,27.0
2017-10-15,62.0
2017-11-05,60.0
2017-11-12,24.0
2017-11-19,55.0
2017-12-24,19.0
2018-01-21,56.0
2018-02-04,19.667
2018-02-11,31.0
2018-02-25,44.0
2018-03-04,80.0
2018-03-11,68.0
2018-04-01,23.914
2018-04-08,19.089
2018-04-15,28.997
2018-05-06,22.882
2018-05-27,75.0
2018-06-03,24.0
2018-06-10,17.127
2018-06-17,18.861
2018-06-24,28.65
2018-07-01,35.0
2018-07-08,49.35
2018-07-15,46.0
2018-08-12,26.25
2018-08-19,26.905
2018-09-02,23.208
2018-09-09,55.156
2018-09-23,28.0
2018-10-07,38.0
2018-10-14,25.12
2018-10-21,24.227
2018-10-28,24.322
2018-11-18,31.327
2018-11-25,36.0
2018-12-02,28.966
2018-12-09,33.0
2018-12-23,27.348
2018-12-30,22.988
2019-01-13,22.063
2019-02-03,14.733
2019-03-03,31.0
2019-03-10,19.286
2019-04-07,32.775
2019-04-14,23.0
2019-04-28,54.0
2019-05-05,22.0
2019-05-12,18.927
2019-06-02,21.289
2019-06-09,21.137
2019-06-16,41.496
2019-06-23,30.0
2019-06-30,43.914
2019-07-07,15.871
2019-07-14,24.79
2019-08-04,24.0
2019-08-25,45.0
2019-09-01,23.914
2019-09-22,37.0
2019-09-29,22.988
2019-10-20,17.935
2019-11-03,14.733
2019-11-10,20.212
2019-11-17,17.01
2019-12-01,10.113
2019-12-08,23.816
2019-12-22,19.0
2019-12-29,27.0
2020-01-19,24.0
2020-01-26,34.0
2020-02-16,22.489
2020-02-23,11.957
2020-03-01,25.769
2020-03-08,60.0
2020-03-15,14.306
2020-03-22,10.599
2020-03-29,30.752
2020-04-05,30.0
2020-04-12,22.988
2020-04-19,18.327
2020-05-03,29.735
2020-05-10,21.148
2020-05-17,19.999
2020-05-31,16.073
2020-06-07,28.0
2020-06-14,22.988
2020-06-21,14.901
2020-06-28,18.0
2020-07-05,19.661
2020-07-12,31.0
2020-07-19,33.075
2020-07-26,34.945
2020-08-09,13.808
2020-08-16,30.817
2020-08-23,16.084
2020-09-06,18.0
2020-09-13,25.99
2020-09-20,19.786
2020-09-27,28.794
2020-10-04,24.0
2020-10-11,25.0
2020-10-18,14.233
2020-10-25,24.0
2020-11-15,16.506
2020-11-22,27.134
2020-11-29,91.0
2020-12-06,28.0
2020-12-27,57.0
2021-01-10,19.286
2021-01-17,12.276
2021-01-24,19.889
2021-01-31,23.59
2021-02-07,37.0
2021-02-14,28.514
2021-02-21,44.0
2021-03-07,60.0
2021-03-14,17.246
2021-03-21,28.041
2021-04-04,37.0
2021-04-11,16.084
2021-04-18,30.928
2021-05-02,39.0
2021-05-16,17.01
2021-05-23,70.815
2021-05-30,51.0
2021-06-20,13.808
2021-07-25,21.0
2021-08-01,20.689
2021-08-08,22.148
2021-08-15,24.839
2021-08-22,21.0
2021-09-05,36.0
2021-09-12,42.0
2021-09-26,17.704
2021-10-10,67.107
2021-10-24,20.337
2021-11-07,26.331
2021-11-14,21.329
2021-11-21,17.222
2021-11-28,22.65
2021-12-05,80.839
2021-12-26,19.387
2022-01-09,43.762
2022-01-16,21.912
2022-01-23,21.173
2022-01-30,14.466
2022-02-06,35.0
2022-02-20,62.0
2022-02-27,14.892
2022-03-06,32.0
2022-03-13,57.0
2022-03-20,20.0
2022-03-27,17.019
2022-04-24,11.969
2022-05-01,49.043
2022-05-08,53.298
2022-05-15,33.75
2022-05-22,16.168
2022-06-05,23.636
2022-06-26,47.839
2022-07-03,23.0
2022-07-10,25.0
2022-07-17,74.0
2022-07-24,27.927
2022-07-31,13.615
2022-08-07,54.612
2022-08-14,19.096
2022-08-21,35.0
2022-08-28,19.0
2022-09-11,35.741
2022-09-18,28.827
2022-09-25,14.466
2022-10-02,35.0
2022-10-09,32.0
2022-10-16,29.666
2022-10-23,15.373
2022-11-06,13.612
2022-11-13,36.0
2022-11-20,30.593
2022-11-27,39.144
2022-12-04,32.266
2022-12-11,41.0
2022-12-18,17.019
2022-12-25,20.0
