,MVT_GT_San Diego CA
2017-01-01,56.0
2017-01-08,48.0
2017-01-15,35.0
2017-01-29,76.0
2017-02-12,33.0
2017-03-12,21.0
2017-03-26,21.0
2017-04-02,40.0
2017-04-23,22.0
2017-05-21,67.0
2017-06-18,77.0
2017-07-02,53.0
2017-07-23,22.0
2017-07-30,24.0
2017-08-13,80.0
2017-09-10,27.0
2017-09-24,47.0
2017-10-01,30.0
2017-11-05,42.0
2017-11-12,26.0
2017-11-26,31.0
2017-12-03,64.0
2017-12-10,36.0
2017-12-31,31.0
2018-01-14,59.72346579369963
2018-01-28,30.6224650529349
2018-02-11,29.601000740764732
2018-03-04,30.1224650529349
2018-03-11,46.9658940476576
2018-03-25,33.18685798944541
2018-04-01,19.907821931233208
2018-04-08,44.922965423317265
2018-04-15,52.07321560850845
2018-04-22,22.972214867743716
2018-04-29,32.66539367727523
2018-05-13,31.14392936510507
2018-05-27,38.79417955029625
2018-06-03,70.9595732275715
2018-06-17,57.6805371693593
2018-07-01,58.702001481529464
2018-07-08,75.54543047625216
2018-07-22,29.101000740764732
2018-07-29,44.422965423317265
2018-08-05,61.266394418039965
2018-08-19,31.14392936510507
2018-08-26,19.907821931233208
2018-09-02,58.202001481529464
2018-09-09,44.922965423317265
2018-09-23,28.07953642859456
2018-09-30,27.05807211642439
2018-10-07,30.1224650529349
2018-10-21,52.07321560850845
2018-10-28,45.94442973548743
2018-11-25,25.015143492084057
2018-12-02,29.101000740764732
2018-12-16,63.309323042380306
2018-12-30,29.101000740764732
2019-01-13,29.101000740764732
2019-01-20,37.27271523812608
2019-01-27,40.83710817463659
2019-02-10,59.72346579369963
2019-02-17,58.702001481529464
2019-02-24,43.9015011111471
2019-03-03,41.85857248680676
2019-03-10,56.15907285718912
2019-03-17,42.88003679897693
2019-04-14,38.79417955029625
2019-04-21,22.472214867743716
2019-04-28,30.1224650529349
2019-05-05,35.22978661378575
2019-05-12,57.6805371693593
2019-06-09,36.251250925955915
2019-06-16,28.07953642859456
2019-06-23,51.05175129633828
2019-06-30,23.993679179913887
2019-07-07,29.101000740764732
2019-07-14,33.18685798944541
2019-07-21,27.05807211642439
2019-07-28,36.251250925955915
2019-08-04,37.27271523812608
2019-08-25,40.83710817463659
2019-09-15,44.922965423317265
2019-09-29,21.95075055557355
2019-11-03,54.11614423284878
2019-11-17,36.251250925955915
2019-12-08,39.815643862466416
2019-12-15,30.1224650529349
2020-01-05,46.9658940476576
2020-01-12,27.05807211642439
2020-02-16,21.95075055557355
2020-03-01,54.11614423284878
2020-03-08,44.922965423317265
2020-03-15,35.72978661378575
2020-03-22,32.16539367727523
2020-03-29,52.07321560850845
2020-04-05,30.1224650529349
2020-04-12,45.44442973548743
2020-04-19,30.1224650529349
2020-04-26,43.9015011111471
2020-05-17,28.57953642859456
2020-06-07,29.101000740764732
2020-06-14,88.32446653446436
2020-06-21,31.14392936510507
2020-06-28,23.993679179913887
2020-07-05,25.015143492084057
2020-08-02,21.95075055557355
2020-08-09,23.993679179913887
2020-08-16,25.015143492084057
2020-09-20,56.15907285718912
2020-09-27,27.05807211642439
2020-10-04,36.751250925955915
2020-10-11,32.16539367727523
2020-10-18,39.815643862466416
2020-10-25,43.9015011111471
2020-11-08,41.85857248680676
2020-11-15,20.92928624340338
2020-11-29,33.18685798944541
2020-12-20,55.137608545018956
2020-12-27,58.202001481529464
2021-01-03,38.79417955029625
2021-01-17,82.19568066144335
2021-02-07,36.751250925955915
2021-03-07,33.18685798944541
2021-03-21,22.972214867743716
2021-03-28,52.07321560850845
2021-04-04,46.9658940476576
2021-04-11,41.35857248680676
2021-04-18,73.00250185191183
2021-05-16,41.85857248680676
2021-06-06,22.972214867743716
2021-06-13,66.87371597889081
2021-07-11,54.61614423284878
2021-08-08,32.66539367727523
2021-08-15,44.922965423317265
2021-08-22,39.315643862466416
2021-09-05,47.98735835982777
2021-09-19,30.6224650529349
2021-09-26,41.85857248680676
2021-10-03,49.00882267199794
2021-10-10,38.79417955029625
2021-10-17,51.05175129633828
2021-10-31,100.06057396833623
2021-11-07,23.993679179913887
2021-11-21,37.77271523812608
2021-12-05,21.95075055557355
2021-12-19,47.98735835982777
2022-01-02,57.36107433871859
2022-01-09,44.84593084663453
2022-01-30,22.944429735487436
2022-02-13,104.2928624340338
2022-02-20,41.717144973613514
2022-03-13,50.06057396833622
2022-03-20,30.244930105869802
2022-04-10,33.373715978890814
2022-04-24,80.30550407420603
2022-05-08,47.97471671965555
2022-05-22,25.03028698416811
2022-05-29,20.858572486806757
2022-06-19,63.61864608476061
2022-06-26,37.545430476252164
2022-07-03,56.31814571437825
2022-07-10,60.489860211739604
2022-07-24,33.373715978890814
2022-07-31,86.56307582024805
2022-08-14,63.61864608476061
2022-08-21,17.729786613785745
2022-08-28,43.8030022222942
2022-09-04,51.10350259267656
2022-09-18,61.53278883607994
2022-09-25,40.67421634927318
2022-10-02,25.03028698416811
2022-10-16,54.23228846569757
2022-10-23,64.66157470910095
2022-10-30,60.489860211739604
2022-11-06,20.858572486806757
2022-11-13,22.944429735487436
2022-11-20,36.50250185191183
2022-11-27,30.244930105869802
2022-12-04,65.7045033334413
2022-12-11,50.06057396833622
2022-12-18,39.63128772493284
2022-12-25,51.10350259267656
