date,San Diego CA
2017-01-01,40.579
2017-01-08,51.952
2017-01-15,20.536
2017-01-22,26.765
2017-01-29,29.528
2017-02-05,35.522
2017-02-12,19.981
2017-02-19,36.474
2017-02-26,21.832
2017-03-05,26.642
2017-03-12,25.038
2017-03-19,26.642
2017-03-26,60.896
2017-04-02,35.276
2017-04-23,33.746
2017-04-30,47.733
2017-05-07,16.651
2017-05-14,32.192
2017-05-21,53.9
2017-06-11,17.206
2017-06-18,22.325
2017-06-25,53.654
2017-07-02,43.91
2017-07-09,27.752
2017-07-16,23.312
2017-07-23,16.651
2017-07-30,28.196
2017-08-06,28.369
2017-08-13,31.082
2017-08-20,41.073
2017-09-10,27.752
2017-09-17,20.721
2017-09-24,47.733
2017-10-01,39.963
2017-10-15,25.532
2017-10-29,62.534
2017-11-05,25.902
2017-11-12,55.504
2017-11-19,39.346
2017-12-03,32.827
2017-12-10,49.953
2017-12-24,54.64
2018-01-07,45.513
2018-01-14,27.376
2018-01-21,33.302
2018-01-28,66.667
2018-02-04,19.981
2018-02-11,45.695
2018-02-18,39.946
2018-02-25,28.111
2018-03-04,30.685
2018-03-11,46.061
2018-03-18,29.565
2018-03-25,22.191
2018-04-01,28.205
2018-04-08,23.899
2018-04-15,34.412
2018-04-22,32.192
2018-04-29,30.494
2018-05-06,22.222
2018-05-13,33.038
2018-05-20,30.651
2018-05-27,25.662
2018-06-03,44.769
2018-06-17,31.997
2018-06-24,52.08
2018-07-01,57.454
2018-07-08,47.64
2018-07-15,26.642
2018-07-22,38.616
2018-07-29,20.665
2018-08-05,39.713
2018-08-12,100.0
2018-08-19,75.54
2018-08-26,21.081
2018-09-02,38.948
2018-09-09,42.812
2018-09-16,35.679
2018-09-23,31.715
2018-09-30,46.494
2018-10-07,30.704
2018-10-14,29.957
2018-10-21,37.743
2018-10-28,22.452
2018-11-04,35.763
2018-11-18,26.8
2018-11-25,34.099
2018-12-02,56.247
2018-12-09,23.312
2018-12-16,37.286
2018-12-23,32.939
2019-01-06,47.535
2019-01-13,38.834
2019-01-20,45.695
2019-01-27,45.451
2019-02-03,49.208
2019-02-10,47.759
2019-02-17,23.303
2019-02-24,35.384
2019-03-03,26.629
2019-03-10,43.735
2019-03-17,43.032
2019-03-24,52.807
2019-03-31,40.467
2019-04-07,28.396
2019-04-14,35.542
2019-04-21,23.512
2019-04-28,51.314
2019-05-05,38.323
2019-05-12,25.49
2019-05-26,26.903
2019-06-02,22.941
2019-06-16,27.465
2019-06-23,52.96
2019-06-30,27.752
2019-07-07,26.065
2019-07-14,45.888
2019-07-21,34.234
2019-07-28,63.327
2019-08-04,35.078
2019-08-11,47.523
2019-08-25,23.125
2019-09-15,27.708
2019-09-22,42.169
2019-09-29,46.423
2019-10-06,33.302
2019-10-13,16.577
2019-10-20,43.293
2019-10-27,56.162
2019-11-03,36.244
2019-11-17,38.302
2019-11-24,33.333
2019-12-01,42.628
2019-12-08,41.764
2019-12-15,30.833
2019-12-22,20.665
2019-12-29,45.16
2020-01-05,25.519
2020-01-12,28.388
