,MVT_GT_San Francisco-Oakland-San Jose CA
2017-01-01,52.0
2017-01-08,43.0
2017-01-15,62.0
2017-01-22,52.0
2017-01-29,22.0
2017-02-05,52.0
2017-02-12,45.0
2017-02-19,37.0
2017-02-26,65.0
2017-03-05,43.0
2017-03-12,31.0
2017-03-19,35.0
2017-03-26,23.0
2017-04-02,37.0
2017-04-09,30.0
2017-04-16,69.0
2017-04-23,43.0
2017-04-30,31.0
2017-05-07,19.0
2017-05-14,25.0
2017-05-21,36.0
2017-05-28,34.0
2017-06-04,25.0
2017-06-11,45.0
2017-06-18,48.0
2017-06-25,67.0
2017-07-02,65.0
2017-07-09,46.0
2017-07-16,51.0
2017-07-23,20.0
2017-07-30,65.0
2017-08-06,34.0
2017-08-13,48.0
2017-08-20,30.0
2017-08-27,44.0
2017-09-03,23.0
2017-09-10,45.0
2017-09-17,28.0
2017-09-24,36.0
2017-10-01,47.0
2017-10-08,21.0
2017-10-15,21.0
2017-10-22,42.0
2017-10-29,48.0
2017-11-05,12.0
2017-11-12,57.0
2017-11-19,50.0
2017-11-26,22.0
2017-12-03,33.0
2017-12-10,46.0
2017-12-17,34.0
2017-12-24,13.0
2017-12-31,42.0
2018-01-07,14.026751924360902
2018-01-14,71.81770846718797
2018-01-21,65.84446039154886
2018-01-28,32.76420461846617
2018-02-04,34.93978859325313
2018-02-11,35.36955500333834
2018-02-18,21.772569489062654
2018-03-04,26.193971028551374
2018-03-11,19.667219104190472
2018-03-18,29.33443820838095
2018-03-25,41.47490538821052
2018-04-08,31.010022183167916
2018-04-15,44.834438208380945
2018-04-22,52.70399321171929
2018-04-29,20.42140153948872
2018-05-13,39.76420461846617
2018-05-20,48.89630692769924
2018-05-27,44.96654051761403
2018-06-03,42.66721910419047
2018-06-10,21.772569489062654
2018-06-17,34.834438208380945
2018-06-24,27.877919873934836
2018-07-01,38.220722952912276
2018-07-08,40.299321413423556
2018-07-15,36.16721910419047
2018-07-22,17.272569489062654
2018-07-29,20.956518334446116
2018-08-05,44.54513897812531
2018-08-12,37.193971028551374
2018-08-19,25.73745269410526
2018-08-26,31.764204618466163
2018-09-02,32.62373743863659
2018-09-09,54.79095654282706
2018-09-16,48.036774107528814
2018-09-23,16.851167949573934
2018-09-30,39.58862064367919
2018-10-07,102.44144590582455
2018-10-14,17.772569489062654
2018-10-21,30.30768628402005
2018-10-28,33.26420461846617
2018-11-11,35.0535038487218
2018-11-18,29.053503848721803
2018-11-25,43.799321413423556
2018-12-02,42.98327025880701
2018-12-09,11.0
2018-12-16,37.08862064367919
2018-12-23,54.15048936299749
2018-12-30,26.877919873934836
2019-01-06,41.76420461846617
2019-01-13,16.596985514275687
2019-01-20,55.361190132741854
2019-01-27,38.720722952912276
2019-02-03,23.096985514275687
2019-02-10,21.877919873934836
2019-02-17,39.90467179829574
2019-02-24,51.47490538821052
2019-03-03,28.36955500333834
2019-03-10,30.0
2019-03-17,48.834438208380945
2019-03-24,27.588620643679196
2019-03-31,21.84280307897744
2019-04-07,34.22908782350877
2019-04-14,39.48327025880701
2019-04-28,25.772569489062654
2019-05-05,45.04513897812531
2019-05-12,33.91303666889223
2019-05-19,33.48327025880701
2019-05-26,28.30768628402005
2019-06-02,24.096985514275687
2019-06-09,54.25583974786967
2019-06-16,21.377919873934836
2019-06-23,25.272569489062654
2019-06-30,39.94815346384962
2019-07-07,39.834438208380945
2019-07-14,44.658854233593985
2019-07-21,53.334438208380945
2019-07-28,56.29095654282706
2019-08-04,54.71235808231578
2019-08-11,55.65048936299749
2019-08-18,48.54513897812531
2019-08-25,24.20233589914787
2019-09-01,35.26420461846617
2019-09-08,23.377919873934836
2019-09-29,17.491635129403505
2019-10-06,45.43978859325313
2019-10-13,19.73745269410526
2019-10-20,34.97490538821052
2019-10-27,57.49329244197493
2019-11-03,38.86955500333834
2019-11-10,32.43978859325313
2019-11-17,38.334438208380945
2019-11-24,45.97490538821052
2019-12-01,49.193971028551374
2019-12-08,50.6153725680401
2019-12-22,33.54513897812531
2019-12-29,46.15048936299749
2020-01-05,14.0
2020-01-12,19.91303666889223
2020-01-19,29.377919873934836
2020-01-26,69.53677410752881
2020-02-02,38.158854233593985
2020-02-09,34.97490538821052
2020-02-16,20.096985514275687
2020-02-23,46.90467179829574
2020-03-01,31.94815346384962
2020-03-08,28.018387053764407
2020-03-15,14.0
2020-03-22,24.983270258807014
2020-03-29,23.483270258807014
2020-04-05,28.33443820838095
2020-04-12,35.86955500333834
2020-04-19,50.18560615795488
2020-04-26,32.93978859325313
2020-05-03,28.0
2020-05-10,26.34280307897744
2020-05-17,39.0802557730827
2020-05-24,50.861190132741854
2020-05-31,86.27422680163409
2020-06-07,55.036774107528814
2020-06-14,29.877919873934836
2020-06-21,41.04513897812531
2020-06-28,34.58862064367919
2020-07-05,31.22908782350877
2020-07-12,27.272569489062654
2020-07-19,21.167219104190472
2020-07-26,42.47490538821052
2020-08-02,47.40467179829574
2020-08-09,28.15885423359398
2020-08-16,34.799321413423556
2020-08-23,35.193971028551374
2020-08-30,40.68560615795488
2020-09-13,56.96654051761403
2020-09-20,30.018387053764407
2020-09-27,50.0
2020-10-11,30.36955500333834
2020-10-18,21.20233589914787
2020-10-25,22.0
2020-11-08,26.0
2020-11-15,44.0535038487218
2020-11-22,31.518387053764407
2020-11-29,23.518387053764407
2020-12-06,25.088620643679196
2020-12-13,50.29095654282706
2020-12-20,61.07189090248621
2020-12-27,40.58862064367919
2021-01-03,51.04513897812531
2021-01-10,28.44815346384962
2021-01-17,57.25583974786967
2021-01-24,33.51838705376441
2021-01-31,35.5802557730827
2021-02-07,67.43142372265663
2021-02-14,23.667219104190472
2021-02-21,47.607007697443606
2021-02-28,29.456518334446116
2021-03-07,35.66721910419047
2021-03-14,27.65885423359398
2021-03-21,27.193971028551374
2021-03-28,44.97490538821052
2021-04-11,31.0
2021-04-18,55.0802557730827
2021-04-25,54.39630692769924
2021-05-02,22.70233589914787
2021-05-09,38.693971028551374
2021-05-16,36.0
2021-05-30,82.6605115461654
2021-06-06,31.299321413423556
2021-06-13,50.361190132741854
2021-06-20,45.47490538821052
2021-06-27,20.061868719318294
2021-07-04,63.40632911086716
2021-07-11,17.772569489062654
2021-07-18,57.43142372265663
2021-07-25,44.5802557730827
2021-08-01,49.43142372265663
2021-08-08,48.39630692769924
2021-08-15,47.1153725680401
2021-08-22,54.18560615795488
2021-09-05,60.107007697443606
2021-09-12,27.44815346384962
2021-09-19,42.658854233593985
2021-09-26,50.51002218316792
2021-10-03,27.799321413423556
2021-10-10,54.24747487727318
2021-10-17,38.26420461846617
2021-10-24,33.30768628402005
2021-10-31,39.90467179829574
2021-11-07,37.94815346384962
2021-11-14,48.40467179829574
2021-11-21,37.15048936299749
2021-11-28,42.0802557730827
2021-12-05,38.51838705376441
2021-12-19,70.39630692769924
2021-12-26,33.377919873934836
2018-02-25,39.59864282684711
2018-04-01,36.38794205710275
2018-05-06,43.87957718650626
2018-11-04,20.33443820838095
2019-04-21,11.772569489062654
2019-09-15,28.896306927699243
2019-09-22,26.75583974786967
2019-12-15,29.96654051761403
2020-09-06,23.54513897812531
2020-10-04,24.615372568040097
2020-11-01,35.31770846718796
2021-04-04,36.38794205710275
2021-08-29,49.230745136080195
2021-12-12,17.12373743863659
2022-01-02,23.54513897812531
2022-01-09,58.86284744531327
2022-01-16,75.98658488394986
2022-01-23,64.21401539488721
2022-01-30,90.96985514275687
2022-02-06,55.652146675568915
2022-02-13,19.264204618466163
2022-02-20,48.1605115461654
2022-02-27,57.792613855398486
2022-03-06,67.42471616463156
2022-03-13,96.3210230923308
2022-03-20,40.6688764167619
2022-03-27,57.792613855398486
2022-04-03,34.24747487727318
2022-04-10,63.14378180497242
2022-04-17,28.896306927699243
2022-04-24,37.45817564701754
2022-05-01,59.93308103522806
2022-05-15,33.17724128735839
2022-05-22,54.58191308565413
2022-05-29,40.6688764167619
2022-06-05,57.792613855398486
2022-06-12,68.49494975454635
2022-06-19,23.54513897812531
2022-06-26,44.949810776421046
2022-07-03,42.809343596591475
2022-07-10,49.230745136080195
2022-07-17,28.896306927699243
2022-07-24,37.45817564701754
2022-07-31,26.75583974786967
2022-08-07,64.21401539488721
2022-08-14,66.35448257471678
2022-08-21,59.93308103522806
2022-08-28,67.42471616463156
2022-09-04,25.685606157954883
2022-09-11,56.7223802654837
2022-09-18,28.896306927699243
2022-09-25,39.59864282684711
2022-10-02,107.02335899147867
2022-10-09,51.371212315909766
2022-10-16,59.93308103522806
2022-10-23,27.826073337784457
2022-10-30,34.24747487727318
2022-11-06,34.24747487727318
2022-11-13,86.68892078309773
2022-11-20,25.685606157954883
2022-11-27,47.09027795625062
2022-12-04,49.230745136080195
2022-12-11,49.230745136080195
2022-12-18,35.31770846718796
2022-12-25,64.21401539488721
