,MVT_GT_Seattle-Tacoma WA
2017-01-01,62.0
2017-01-08,23.0
2017-01-15,16.0
2017-01-22,38.0
2017-02-05,53.0
2017-02-12,18.0
2017-02-19,24.0
2017-02-26,12.0
2017-03-12,20.0
2017-03-19,23.0
2017-03-26,12.0
2017-04-02,14.0
2017-04-09,33.0
2017-04-30,28.0
2017-05-07,36.0
2017-05-14,32.0
2017-05-21,100.0
2017-05-28,22.0
2017-06-04,25.0
2017-06-18,62.0
2017-06-25,32.0
2017-07-02,50.0
2017-07-09,17.0
2017-07-16,23.0
2017-07-30,11.0
2017-08-06,13.0
2017-08-20,19.0
2017-08-27,18.0
2017-09-10,35.0
2017-09-24,25.0
2017-10-01,13.0
2017-10-08,25.0
2017-10-15,26.0
2017-11-05,18.0
2017-11-12,19.0
2017-11-19,30.0
2017-11-26,37.0
2017-12-10,47.0
2017-12-17,26.0
2017-12-24,44.0
2017-12-31,48.0
2018-01-07,33.98123526966302
2018-01-14,52.01380722161142
2018-02-11,21.839086342338092
2018-02-18,23.061692098493964
2018-02-25,24.78429785464984
2018-03-11,29.813418001195394
2018-03-25,31.036023757351266
2018-04-01,36.065143903896825
2018-04-08,55.82032161200111
2018-04-15,36.065143903896825
2018-04-22,10.919543171169046
2018-04-29,26.00690361080571
2018-05-06,23.9229949765719
2018-05-13,38.14905253813063
2018-06-10,13.864754683480793
2018-06-17,26.868206488883647
2018-06-24,23.9229949765719
2018-07-08,24.28429785464984
2018-07-15,18.032571951948412
2018-07-22,35.70384102581889
2018-07-29,22.200389220416028
2018-08-05,28.95211512311746
2018-08-12,17.171269073870477
2018-08-26,17.171269073870477
2018-09-02,27.729509366961587
2018-09-09,17.671269073870477
2018-09-23,32.75862951350714
2018-10-14,43.178172684676184
2018-10-21,54.95901873392317
2018-10-28,15.087360439636665
2018-11-04,25.145600732727775
2018-11-11,30.67472087927333
2018-11-18,22.700389220416028
2018-12-09,42.31686980659825
2018-12-23,12.14214892732492
2018-12-30,28.090812245039523
2019-01-06,39.01035541620857
2019-01-13,46.984687075065864
2019-01-20,25.145600732727775
2019-01-27,24.78429785464984
2019-02-17,49.06859570929968
2019-03-03,21.339086342338092
2019-03-10,12.14214892732492
2019-03-17,37.7877496600527
2019-03-31,30.67472087927333
2019-04-07,28.95211512311746
2019-04-14,15.948663317714601
2019-04-21,28.090812245039523
2019-05-05,12.14214892732492
2019-05-19,42.81686980659825
2019-05-26,20.11648058618222
2019-06-02,15.087360439636665
2019-06-09,15.087360439636665
2019-06-16,16.309966195792537
2019-06-23,13.003451805402856
2019-06-30,33.98123526966302
2019-07-07,28.090812245039523
2019-07-14,23.9229949765719
2019-07-21,13.003451805402856
2019-07-28,14.72605756155873
2019-08-04,52.87511009968936
2019-08-11,13.864754683480793
2019-08-18,18.032571951948412
2019-08-25,30.17472087927333
2019-09-08,13.864754683480793
2019-09-15,20.61648058618222
2019-09-22,18.89387483002635
2019-09-29,35.70384102581889
2019-10-06,24.78429785464984
2019-10-20,26.868206488883647
2019-10-27,24.28429785464984
2019-11-03,26.368206488883647
2019-11-10,55.82032161200111
2019-11-17,40.23296117236444
2019-11-24,72.13028780779365
2019-12-01,33.98123526966302
2019-12-08,11.780846049246982
2019-12-22,22.700389220416028
2019-12-29,10.05824029309111
2020-01-05,16.809966195792537
2020-01-26,28.95211512311746
2020-02-09,24.78429785464984
2020-03-01,10.05824029309111
2020-03-08,13.864754683480793
2020-03-15,9.196937415013174
2020-03-29,17.171269073870477
2020-04-12,11.280846049246982
2020-04-19,39.01035541620857
2020-04-26,18.032571951948412
2020-05-03,25.145600732727775
2020-05-10,15.948663317714601
2020-05-17,14.22605756155873
2020-05-24,25.145600732727775
2020-05-31,22.200389220416028
2020-06-07,12.64214892732492
2020-06-14,19.255177708104284
2020-06-21,20.11648058618222
2020-06-28,13.003451805402856
2020-07-05,34.84253814774095
2020-07-12,19.755177708104284
2020-07-19,29.813418001195394
2020-08-02,28.090812245039523
2020-08-09,26.368206488883647
2020-08-16,54.09771585584524
2020-08-30,72.13028780779365
2020-09-06,26.00690361080571
2020-09-13,25.645600732727775
2020-09-20,21.839086342338092
2020-09-27,25.145600732727775
2020-10-04,23.061692098493964
2020-10-18,23.9229949765719
2020-10-25,33.98123526966302
2020-11-01,20.11648058618222
2020-11-08,10.05824029309111
2020-11-15,31.036023757351266
2020-11-22,36.92644678197476
2020-11-29,61.2107446366246
2020-12-06,35.20384102581889
2020-12-20,21.839086342338092
2020-12-27,47.8459899531438
2021-01-03,11.280846049246982
2021-01-10,10.919543171169046
2021-01-24,17.171269073870477
2021-01-31,19.255177708104284
2021-02-07,33.119932391585074
2021-02-14,32.75862951350714
2021-02-21,10.919543171169046
2021-02-28,17.671269073870477
2021-03-07,42.31686980659825
2021-03-21,16.309966195792537
2021-03-28,39.871658294286505
2021-04-04,23.061692098493964
2021-04-25,27.729509366961587
2021-05-02,45.26208131890999
2021-05-09,28.090812245039523
2021-05-16,10.05824029309111
2021-05-23,28.95211512311746
2021-05-30,15.087360439636665
2021-06-20,32.75862951350714
2021-06-27,20.61648058618222
2021-07-04,31.897326635429202
2021-07-18,17.171269073870477
2021-07-25,28.95211512311746
2021-08-08,43.178172684676184
2021-08-15,27.229509366961587
2021-08-22,15.948663317714601
2021-08-29,37.2877496600527
2021-09-05,26.868206488883647
2021-09-12,43.178172684676184
2021-09-19,22.700389220416028
2021-10-03,33.98123526966302
2021-10-10,45.26208131890999
2021-10-17,31.036023757351266
2021-10-24,15.948663317714601
2021-10-31,39.871658294286505
2021-11-07,31.897326635429202
2021-11-14,61.2107446366246
2021-11-21,31.036023757351266
2021-11-28,15.087360439636665
2021-12-05,42.81686980659825
2021-12-19,48.707292831221736
2021-12-26,26.868206488883647
2022-01-02,33.96247053932603
2022-01-09,33.23986478317015
2022-01-23,23.12338419698793
2022-01-30,42.6337396131965
2022-02-06,34.6850762954819
2022-02-13,41.18852810088475
2022-02-20,25.29120146545555
2022-03-06,34.6850762954819
2022-03-13,36.13028780779364
2022-03-20,34.6850762954819
2022-03-27,48.41458566244348
2022-04-03,24.56859570929968
2022-04-10,28.904230246234913
2022-04-17,31.794653270858404
2022-04-24,31.794653270858404
2022-05-01,30.34944175854666
2022-05-08,32.517259027014276
2022-05-15,20.23296117236444
2022-05-22,59.97627776093745
2022-06-05,39.02071083241714
2022-06-12,13.006903610805711
2022-06-19,30.34944175854666
2022-06-26,23.845989953143803
2022-07-03,41.911133857040625
2022-07-10,46.969374150131735
2022-07-17,58.5310662486257
2022-07-24,57.085854736313955
2022-07-31,33.96247053932603
2022-08-07,16.619932391585074
2022-08-14,37.575499320105386
2022-08-21,28.904230246234913
2022-08-28,33.23986478317015
2022-09-04,27.45901873392317
2022-09-11,38.29810507626126
2022-09-18,40.46592234472888
2022-09-25,33.96247053932603
2022-10-02,41.911133857040625
2022-10-09,30.34944175854666
2022-10-16,16.619932391585074
2022-10-23,39.02071083241714
2022-10-30,34.6850762954819
2022-11-06,50.5824029309111
2022-11-13,36.13028780779364
2022-11-20,17.34253814774095
2022-11-27,18.06514390389682
2022-12-04,70.81536410327554
2022-12-11,32.517259027014276
2022-12-18,32.517259027014276
2022-12-25,15.17472087927333
