date,Seattle-Tacoma WA
2017-01-01,69.587
2017-01-08,38.4
2017-01-15,44.241
2017-01-22,50.904
2017-02-05,58.757
2017-02-12,41.441
2017-02-19,44.99
2017-02-26,58.181
2017-03-05,27.766
2017-03-12,35.231
2017-03-19,45.623
2017-03-26,38.653
2017-04-02,34.217
2017-04-09,57.605
2017-04-16,34.217
2017-04-23,99.212
2017-04-30,24.655
2017-05-07,57.452
2017-05-14,48.734
2017-05-21,23.657
2017-05-28,37.766
2017-06-04,30.416
2017-06-11,29.909
2017-06-18,61.983
2017-06-25,56.223
2017-07-02,42.328
2017-07-09,52.421
2017-07-16,44.702
2017-07-23,31.542
2017-07-30,72.928
2017-08-06,27.305
2017-08-13,40.439
2017-08-20,36.982
2017-08-27,48.411
2017-09-03,61.817
2017-09-10,74.311
2017-09-17,34.534
2017-09-24,31.337
2017-10-01,30.257
2017-10-08,25.346
2017-10-15,45.278
2017-10-22,34.102
2017-10-29,21.671
2017-11-05,35.485
2017-11-12,26.297
2017-11-19,40.208
2017-11-26,51.729
2017-12-03,40.916
2017-12-10,36.061
2017-12-17,34.059
2017-12-24,43.895
2017-12-31,29.655
2018-01-07,40.919
2018-01-14,48.839
2018-01-21,35.668
2018-01-28,22.577
2018-02-04,16.475
2018-02-11,26.968
2018-02-18,24.338
2018-02-25,51.133
2018-03-04,44.966
2018-03-11,56.231
2018-03-18,38.583
2018-03-25,29.996
2018-04-01,73.504
2018-04-08,55.173
2018-04-15,56.095
2018-04-22,27.481
2018-04-29,40.264
2018-05-06,44.645
2018-05-13,55.404
2018-05-20,45.087
2018-05-27,33.705
2018-06-03,46.468
2018-06-10,31.664
2018-06-17,78.543
2018-06-24,50.864
2018-07-01,37.215
2018-07-08,31.97
2018-07-15,33.947
2018-07-22,64.621
2018-07-29,41.749
2018-08-05,56.044
2018-08-12,31.754
2018-08-19,28.241
2018-09-02,42.88
2018-09-09,24.098
2018-09-16,63.029
2018-09-23,43.503
2018-09-30,29.931
2018-10-07,37.56
2018-10-14,86.747
2018-10-21,55.506
2018-10-28,25.129
2018-11-04,46.066
2018-11-11,45.617
2018-11-18,37.359
2018-11-25,51.219
2018-12-02,38.272
2018-12-09,60.645
2018-12-16,38.468
2018-12-23,31.651
2018-12-30,47.26
2019-01-06,39.219
2019-01-13,48.501
2019-01-20,46.059
2019-01-27,37.411
2019-02-03,23.844
2019-02-10,24.001
2019-02-17,59.563
2019-02-24,27.963
2019-03-03,25.959
2019-03-10,34.255
2019-03-17,61.319
2019-03-31,53.28
2019-04-07,61.628
2019-04-14,63.244
2019-04-21,77.186
2019-04-28,65.339
2019-05-05,43.221
2019-05-12,35.616
2019-05-19,30.163
2019-05-26,33.625
2019-06-02,48.558
2019-06-09,48.382
2019-06-16,45.424
2019-06-23,21.812
2019-06-30,49.405
2019-07-07,39.418
2019-07-14,48.334
2019-07-21,55.853
2019-07-28,35.462
2019-08-04,40.897
2019-08-11,100.0
2019-08-18,44.061
2019-08-25,44.565
2019-09-01,54.161
2019-09-08,50.924
2019-09-15,32.221
2019-09-22,27.278
2019-09-29,35.889
2019-10-06,63.798
2019-10-13,40.541
2019-10-20,35.955
2019-10-27,24.89
2019-11-03,56.622
2019-11-10,77.551
2019-11-17,43.909
2019-11-24,45.489
2019-12-01,36.842
2019-12-08,24.3
2019-12-15,46.837
2019-12-22,58.512
2019-12-29,35.38
2020-01-05,43.705
2020-01-12,38.86
2020-01-19,44.456
2020-01-26,56.476
2020-02-09,33.967
2020-02-16,46.891
2020-02-23,48.421
2020-03-01,62.607
2020-03-08,30.169
2020-03-15,27.097
2020-03-22,17.257
2020-03-29,36.84
2020-04-05,32.9
2020-04-12,44.603
2020-04-19,42.032
2020-04-26,56.36
2020-05-03,44.329
2020-05-10,38.686
2020-05-17,27.675
2020-05-24,58.619
2020-05-31,35.012
2020-06-07,23.412
2020-06-14,41.278
2020-06-21,49.835
2020-06-28,41.464
2020-07-05,34.201
2020-07-12,32.748
2020-07-19,62.481
2020-07-26,37.509
2020-08-02,51.219
2020-08-09,53.172
2020-08-16,65.175
2020-08-23,46.264
2020-08-30,30.076
2020-09-06,63.428
2020-09-13,24.059
2020-09-20,48.709
2020-09-27,29.419
2020-10-04,44.338
2020-10-11,47.002
2020-10-18,36.959
2020-10-25,30.278
2020-11-01,67.593
2020-11-08,36.101
2020-11-15,44.655
2020-11-22,41.99
2020-11-29,85.777
2020-12-06,55.745
2020-12-13,48.219
2020-12-20,40.604
2020-12-27,31.597
2021-01-03,15.208
2021-01-10,40.244
2021-01-17,17.742
2021-01-24,37.378
2021-01-31,52.642
2021-02-07,85.985
2021-02-14,86.228
2021-02-21,40.474
2021-02-28,34.97
2021-03-07,61.29
2021-03-14,31.019
2021-03-21,44.112
2021-03-28,89.019
2021-04-04,70.207
2021-04-11,42.701
2021-04-18,24.678
2021-04-25,61.711
2021-05-02,85.505
2021-05-09,39.397
2021-05-16,55.252
2021-05-23,43.357
2021-05-30,50.517
2021-06-06,42.883
2021-06-13,49.023
2021-06-20,77.235
2021-06-27,34.351
2021-07-04,58.732
2021-07-11,35.98
2021-07-18,57.367
